index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_qw,base_qx,base_qy,base_qz
0,0.000,1786878741659.440,13529477.375,0.000000000,0.999860048,-0.003246132,0.016409205,-0.000183166
1,19.993,1786878741679.433,13529497.368,0.000000000,0.999422669,-0.007056806,0.033233222,0.000353509
2,39.988,1786878741699.428,13529517.363,0.000000000,0.998799741,-0.017520875,0.045302782,0.006301942
3,59.992,1786878741719.432,13529537.367,0.000000000,0.998028278,-0.025117852,0.055740338,0.014199558
4,80.029,1786878741739.470,13529557.405,0.000000000,0.996871531,-0.035048496,0.067565419,0.021298954
5,99.991,1786878741759.431,13529577.366,0.000000000,0.996126890,-0.045452964,0.071962409,0.022061286
6,119.988,1786878741779.428,13529597.363,0.000000000,0.995872915,-0.058823813,0.068053119,0.012068253
7,139.988,1786878741799.428,13529617.363,0.000000000,0.996328592,-0.066762328,0.053514425,-0.002887050
8,159.987,1786878741819.427,13529637.362,0.000000000,0.996919632,-0.065967046,0.041081648,-0.010579317
9,179.986,1786878741839.426,13529657.361,0.000000000,0.998112202,-0.048917316,0.036499500,-0.006853673
10,199.986,1786878741859.427,13529677.361,0.000000000,0.999058127,-0.023365483,0.036424536,-0.003187449
11,219.986,1786878741879.426,13529697.361,0.000000000,0.998469710,-0.028750503,0.044464748,0.015955422
12,239.987,1786878741899.427,13529717.362,0.000000000,0.996305168,-0.037747514,0.071944796,0.027840097
13,259.988,1786878741919.428,13529737.363,0.000000000,0.994676411,-0.054938890,0.081389174,0.031247001
14,279.988,1786878741939.428,13529757.363,0.000000000,0.993739784,-0.076278076,0.071450286,0.039469004
15,299.988,1786878741959.429,13529777.364,0.000000000,0.992546499,-0.088451117,0.065838486,0.051895656
16,319.987,1786878741979.427,13529797.362,0.000000000,0.990133226,-0.095042109,0.077973060,0.067255929
17,339.986,1786878741999.427,13529817.362,0.000000000,0.988033831,-0.095661789,0.095872685,0.073799901
18,359.986,1786878742019.427,13529837.362,0.000000000,0.987747610,-0.087816171,0.108643383,0.069567427
19,379.988,1786878742039.428,13529857.363,0.000000000,0.991104066,-0.069208875,0.105582632,0.042133108
20,399.987,1786878742059.427,13529877.362,0.000000000,0.994170904,-0.046673570,0.097131871,0.003349463
21,419.987,1786878742079.427,13529897.363,0.000000000,0.995465815,-0.034328662,0.086384118,-0.020178385
22,439.987,1786878742099.427,13529917.362,0.000000000,0.995443463,-0.035320770,0.082767077,-0.031532843
23,459.986,1786878742119.427,13529937.362,0.000000000,0.995894015,-0.033269089,0.075596556,-0.037059199
24,479.988,1786878742139.428,13529957.363,0.000000000,0.997017801,-0.029748218,0.062422182,-0.034264803
25,499.987,1786878742159.427,13529977.362,0.000000000,0.998020411,-0.031944923,0.047180928,-0.026622392
26,519.988,1786878742179.428,13529997.363,0.000000000,0.998151541,-0.041538514,0.038234200,-0.022499958
27,539.988,1786878742199.428,13530017.363,0.000000000,0.997702003,-0.051452052,0.032123525,-0.030190865
28,559.987,1786878742219.428,13530037.363,0.000000000,0.997382462,-0.053009331,0.032334797,-0.037049487
29,579.987,1786878742239.427,13530057.362,0.000000000,0.997317493,-0.053840831,0.034449372,-0.035668664
30,599.986,1786878742259.427,13530077.362,0.000000000,0.997206092,-0.057275955,0.036528133,-0.031067027
31,619.986,1786878742279.427,13530097.362,0.000000000,0.996925473,-0.061351079,0.039048158,-0.029169526
32,639.987,1786878742299.428,13530117.363,0.000000000,0.996653855,-0.062373694,0.041701976,-0.032427419
33,659.986,1786878742319.427,13530137.361,0.000000000,0.996694326,-0.056256067,0.042383678,-0.040488951
34,679.987,1786878742339.427,13530157.362,0.000000000,0.997152627,-0.047648616,0.039176352,-0.043376103
35,699.988,1786878742359.428,13530177.363,0.000000000,0.997306585,-0.042664878,0.037420873,-0.046464272
36,719.987,1786878742379.427,13530197.362,0.000000000,0.997356772,-0.036626972,0.030462326,-0.054863401
37,739.986,1786878742399.426,13530217.361,0.000000000,0.997559726,-0.033488251,0.022309894,-0.057056427
38,759.988,1786878742419.428,13530237.363,0.000000000,0.998013616,-0.032883316,0.016384942,-0.051177032
39,779.987,1786878742439.427,13530257.362,0.000000000,0.998459637,-0.032696273,0.015909048,-0.041907676
40,799.988,1786878742459.428,13530277.364,0.000000000,0.998623729,-0.034094125,0.018079711,-0.035516359
41,819.987,1786878742479.427,13530297.363,0.000000000,0.998491764,-0.041237712,0.019434458,-0.030592728
42,839.989,1786878742499.429,13530317.364,0.000000000,0.998089790,-0.048231505,0.017767094,-0.034275346
43,859.987,1786878742519.427,13530337.362,0.000000000,0.998201787,-0.045205787,0.012674146,-0.037269183
44,879.987,1786878742539.427,13530357.362,0.000000000,0.998517990,-0.039672382,0.008976341,-0.036156755
45,899.987,1786878742559.427,13530377.362,0.000000000,0.998826623,-0.034946095,0.006787358,-0.032834161
