index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_wx,torso_wy,torso_wz
0,0.000,1786876812233.054,11600050.989,0.000000000,0.447040707,-0.542569220,0.284434676
1,19.989,1786876812253.043,11600070.978,0.000000000,0.842395604,-1.616129398,0.720419943
2,39.988,1786876812273.042,11600090.977,0.000000000,0.779831290,-1.759048700,1.349754453
3,59.989,1786876812293.043,11600110.978,0.000000000,0.532298565,-2.449969769,1.851607203
4,79.986,1786876812313.040,11600130.975,0.000000000,1.098254204,-3.249347925,1.658094525
5,99.987,1786876812333.041,11600150.976,0.000000000,2.416813612,-3.264621258,0.701308072
6,119.986,1786876812353.041,11600170.976,0.000000000,3.028761148,-2.452872276,-0.691943288
7,139.988,1786876812373.042,11600190.977,0.000000000,2.775562048,-1.425391436,-1.922022700
8,159.987,1786876812393.041,11600210.976,0.000000000,1.641904950,-0.083467104,-2.029943466
9,179.986,1786876812413.041,11600230.976,0.000000000,-0.360064089,2.033838511,-1.128192067
10,199.989,1786876812433.043,11600250.978,0.000000000,-1.719459176,2.505444288,-0.212700114
11,219.987,1786876812453.042,11600270.976,0.000000000,-1.635280132,2.185084820,1.623765469
12,239.986,1786876812473.041,11600290.975,0.000000000,-1.797319174,1.480912447,2.724258900
13,259.988,1786876812493.043,11600310.978,0.000000000,-1.712351561,1.837709427,2.380158663
14,279.987,1786876812513.041,11600330.976,0.000000000,-0.749998569,1.880559921,1.950083017
15,299.987,1786876812533.041,11600350.976,0.000000000,0.081747159,1.318485141,1.619341373
16,319.987,1786876812553.041,11600370.976,0.000000000,0.635416329,0.941418171,0.670730889
17,339.986,1786876812573.041,11600390.975,0.000000000,0.961801946,0.952446580,-0.528048277
18,360.000,1786876812593.054,11600410.989,0.000000000,1.195106149,1.060487866,-1.581289887
19,379.988,1786876812613.042,11600430.977,0.000000000,1.510283470,-0.137330636,-2.506886959
20,399.990,1786876812633.044,11600450.979,0.000000000,1.599926233,-1.146129727,-2.626451969
21,419.990,1786876812653.044,11600470.979,0.000000000,1.207749963,-1.581159353,-1.393706799
22,439.989,1786876812673.043,11600490.978,0.000000000,0.415520132,-1.226595998,-0.263438791
23,459.992,1786876812693.046,11600510.981,0.000000000,-0.114700578,-0.876642048,0.274387956
24,479.987,1786876812713.041,11600530.976,0.000000000,-0.573286772,-0.564032733,0.658536017
25,499.991,1786876812733.045,11600550.980,0.000000000,-0.843741953,-0.466853380,0.609403729
26,519.987,1786876812753.042,11600570.977,0.000000000,-1.218148828,-0.251931340,0.183674276
27,539.988,1786876812773.042,11600590.977,0.000000000,-1.401565909,-0.044332068,-0.297394186
28,559.988,1786876812793.042,11600610.977,0.000000000,-0.957756937,0.551684856,-0.526269674
29,579.987,1786876812813.041,11600630.976,0.000000000,-0.259586543,0.881494105,-0.609596372
30,599.993,1786876812833.047,11600650.982,0.000000000,0.460717946,0.730330646,-0.950942576
31,619.992,1786876812853.046,11600670.981,0.000000000,1.020061135,0.552598059,-1.493944764
32,639.990,1786876812873.044,11600690.979,0.000000000,1.350117922,0.268406898,-2.028625250
33,659.988,1786876812893.042,11600710.977,0.000000000,1.365465879,-0.348684877,-1.954014421
34,679.989,1786876812913.043,11600730.978,0.000000000,1.271248460,-0.683580160,-0.935409665
35,699.988,1786876812933.042,11600750.977,0.000000000,0.870615363,-0.868892133,0.035654090
36,719.988,1786876812953.042,11600770.977,0.000000000,0.173837975,-0.563039720,0.949100614
37,739.995,1786876812973.049,11600790.984,0.000000000,-0.315450966,-0.408425838,1.237437844
38,759.989,1786876812993.043,11600810.978,0.000000000,-0.561849475,-0.506610751,1.174077511
39,779.988,1786876813013.042,11600830.977,0.000000000,-0.769786477,-0.560757756,0.849857628
40,799.989,1786876813033.043,11600850.978,0.000000000,-0.891853929,-0.425411224,0.362047166
41,819.991,1786876813053.045,11600870.980,0.000000000,-0.655044675,0.096824042,0.029950233
42,839.990,1786876813073.044,11600890.979,0.000000000,-0.278343260,0.746072114,-0.092753530
43,859.990,1786876813093.044,11600910.979,0.000000000,0.124102823,0.746161699,-0.177717745
44,879.989,1786876813113.043,11600930.978,0.000000000,0.481690377,0.438226402,-0.245074078
45,899.989,1786876813133.043,11600950.978,0.000000000,0.696651697,0.117390089,-0.329714030
46,919.988,1786876813153.043,11600970.978,0.000000000,0.799166203,-0.351330489,-0.273388982
47,939.987,1786876813173.041,11600990.976,0.000000000,0.739499271,-0.521428049,0.029088231
48,959.990,1786876813193.044,11601010.979,0.000000000,0.529006600,-0.420922488,0.394563198
49,979.987,1786876813213.041,11601030.976,0.000000000,0.307231069,-0.115233921,0.452323854
50,999.987,1786876813233.042,11601050.977,0.000000000,0.077943303,-0.032517761,0.404192001
51,1019.992,1786876813253.046,11601070.981,0.000000000,-0.134413391,-0.047572259,0.342195809
52,1039.988,1786876813273.042,11601090.977,0.000000000,-0.313720018,-0.061431058,0.272337049
53,1059.989,1786876813293.044,11601110.979,0.000000000,-0.406347990,-0.071447648,0.214010969
54,1079.987,1786876813313.041,11601130.976,0.000000000,-0.357368261,0.009244662,0.161886811
55,1099.987,1786876813333.041,11601150.976,0.000000000,-0.252142102,0.079476126,0.121144056
56,1119.988,1786876813353.042,11601170.977,0.000000000,-0.137449130,0.113894120,0.099133983
57,1139.988,1786876813373.042,11601190.977,0.000000000,-0.044064742,0.175534621,0.065157063
58,1159.989,1786876813393.044,11601210.979,0.000000000,0.000079487,0.228905618,0.056215476
59,1179.987,1786876813413.042,11601230.977,0.000000000,0.032750014,0.299799562,0.054244287
60,1199.988,1786876813433.042,11601250.977,0.000000000,0.038773235,0.317236245,0.073479146
61,1219.989,1786876813453.043,11601270.978,0.000000000,0.022991212,0.314770252,0.088578030
62,1239.988,1786876813473.042,11601290.977,0.000000000,-0.008358843,0.286845267,0.093611971
63,1259.989,1786876813493.043,11601310.978,0.000000000,-0.055745095,0.212394819,0.090885811
64,1279.987,1786876813513.041,11601330.976,0.000000000,-0.138648808,0.078447096,0.176602006
65,1299.993,1786876813533.047,11601350.982,0.000000000,-0.349171221,0.068583600,0.513625741
66,1319.988,1786876813553.043,11601370.978,0.000000000,-0.519019842,0.263085335,0.904375136
67,1339.990,1786876813573.045,11601390.980,0.000000000,-0.444094688,0.208237424,0.994841337
68,1360.000,1786876813593.054,11601410.989,0.000000000,-0.299469173,-0.048798341,0.734522283
69,1379.994,1786876813613.048,11601430.983,0.000000000,-0.554591298,0.105319977,0.388688952
70,1399.991,1786876813633.045,11601450.980,0.000000000,-0.466769695,0.124320880,0.154288590
71,1419.988,1786876813653.043,11601470.977,0.000000000,-0.000703926,0.120897040,-0.040021002
72,1439.987,1786876813673.041,11601490.976,0.000000000,0.371754497,0.126609176,-0.175275251
73,1459.989,1786876813693.043,11601510.978,0.000000000,0.677133679,0.221104011,-0.317662656
74,1479.987,1786876813713.041,11601530.976,0.000000000,0.865866184,0.186792210,-0.390012026
75,1499.986,1786876813733.041,11601550.976,0.000000000,0.880323112,0.074328028,-0.394539028
76,1519.990,1786876813753.044,11601570.979,0.000000000,0.710674524,0.008215860,-0.323795229
77,1539.988,1786876813773.042,11601590.977,0.000000000,0.409517527,-0.144669697,-0.263700217
78,1559.987,1786876813793.042,11601610.977,0.000000000,0.052761108,-0.291159749,-0.209027395
79,1579.992,1786876813813.046,11601630.981,0.000000000,-0.174521580,-0.344011843,-0.120933473
80,1599.987,1786876813833.042,11601650.976,0.000000000,-0.279957592,-0.313619435,-0.073628455
81,1619.986,1786876813853.040,11601670.975,0.000000000,-0.288602650,-0.235085428,-0.021029515
82,1639.988,1786876813873.042,11601690.977,0.000000000,-0.249876946,-0.175899372,0.026663883
83,1659.988,1786876813893.042,11601710.977,0.000000000,-0.166709363,-0.119589038,0.074293613
84,1679.987,1786876813913.042,11601730.976,0.000000000,-0.076985635,-0.063559011,0.081892975
