index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_wx,base_wy,base_wz
0,0.000,1786752172056.095,29129978.495,0.000000000,0.000034842,6.181234837,0.001071084
1,19.980,1786752172076.075,29129998.475,0.000000000,-0.845156789,1.833463430,1.164223313
2,39.962,1786752172096.056,29130018.457,0.000000000,-0.484315902,1.343008876,-0.699315786
3,59.963,1786752172116.058,29130038.458,0.000000000,0.111679949,0.129278481,-1.087722778
4,79.963,1786752172136.058,29130058.458,0.000000000,0.237642467,0.087099977,-0.193779036
5,99.963,1786752172156.058,29130078.458,0.000000000,0.216738611,0.217055231,0.418187022
6,119.963,1786752172176.058,29130098.458,0.000000000,-0.787419617,-0.754641235,0.112365730
7,139.960,1786752172196.055,29130118.455,0.000000000,-1.937890887,-2.056848288,0.831507981
8,159.961,1786752172216.056,29130138.456,0.000000000,-0.481641084,-1.803809881,0.538819432
9,179.962,1786752172236.056,29130158.456,0.000000000,0.564332306,-1.662039638,-0.191753894
10,199.961,1786752172256.056,29130178.456,0.000000000,1.086775064,-2.070544720,0.263316303
11,219.961,1786752172276.055,29130198.456,0.000000000,1.117961645,-1.833067417,0.561477661
12,239.962,1786752172296.056,29130218.457,0.000000000,0.456924230,-1.512472510,0.259541035
13,259.963,1786752172316.058,29130238.458,0.000000000,0.151726112,-0.835557878,-0.296832174
14,279.965,1786752172336.060,29130258.460,0.000000000,-0.455575854,0.022873444,-0.496726692
15,299.964,1786752172356.059,29130278.459,0.000000000,-0.335066170,0.324543625,-0.709911108
16,319.963,1786752172376.057,29130298.457,0.000000000,-0.402686894,0.351991355,-0.878819942
17,339.964,1786752172396.059,29130318.459,0.000000000,-0.418081760,0.317064375,-0.762087226
18,359.963,1786752172416.057,29130338.457,0.000000000,-0.614568949,-0.142772585,-0.087605447
19,379.962,1786752172436.056,29130358.456,0.000000000,-1.621634364,-1.089846253,0.341866225
20,399.963,1786752172456.058,29130378.458,0.000000000,-1.208891630,-0.710857987,-0.269407392
21,419.963,1786752172476.058,29130398.458,0.000000000,-0.767377794,-0.712835133,-0.406231791
22,439.961,1786752172496.055,29130418.456,0.000000000,-0.882155836,-0.731995523,0.068535402
23,459.961,1786752172516.056,29130438.456,0.000000000,-0.960052669,-0.344927371,0.393355846
