command_completed,has_motion,joint_speed_p99_rad_s,joint_speed_peak_rad_s,motion_frames,recovered_upright,run,torque_p99_nm,torque_peak_nm,upright_after_2s,upright_motion_end,upright_start
True,True,11.116655464439953,25.558300018,181,True,run_01,72.2667327881999,139.0,0.8036868071709315,1.0,0.8935646229392841
True,True,9.16978656788,23.594614029,181,True,run_02,50.951075134439776,139.0,0.8066001358662828,0.9853690370625023,0.8574613617227843
True,True,11.81780883803998,29.769197464,181,False,run_03,73.75759246811998,139.0,0.2872683208976635,0.9861798937205195,0.8816621665677733
True,True,10.274577942239995,24.174352646,181,True,run_04,70.47049896239923,139.0,0.9839583876355138,0.7582268696665846,0.8500599145102868
True,True,11.248085556119948,26.792337418,181,False,run_05,77.69677368167986,139.0,0.7304162367758382,0.9820878967482447,0.8729838481142387
True,True,10.74771793407998,24.213657379,181,True,run_06,74.35309875483988,139.0,0.9930583187963553,0.8179630947427935,0.9080019054719585
True,True,11.79835296599999,39.461345673,181,True,run_07,72.09399261479989,139.0,0.9881991211279872,0.9974265432779187,0.8768485992018048
True,True,11.400757713519974,24.101257324,181,False,run_08,78.96754455539968,139.0,0.7464041544144626,0.9906234050894563,-0.04713654224049346
True,True,11.122836494479996,25.651994705,181,True,run_09,72.0770330811199,139.0,0.8231866871801116,0.9990141985993544,0.8858183717028462
True,True,10.975545043999997,29.693941116,181,False,run_10,69.2056759643599,139.0,0.6583459890085902,0.9928283899635636,0.8818097011966464
