index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,left_hand_q_0,left_hand_q_1,left_hand_q_2,left_hand_q_3,left_hand_q_4,left_hand_q_5,left_hand_q_6
0,0.000,1786880300493.464,15088311.399,0.000000000,-0.007223395,0.145108879,0.074657001,-0.033763580,-0.039681863,-0.034349933,-0.039573804
1,19.959,1786880300513.423,15088331.357,0.000000000,-0.007206710,0.141442582,0.078242660,-0.037630990,-0.043407194,-0.037806232,-0.043238446
2,39.957,1786880300533.420,15088351.356,0.000000000,-0.007575249,0.137914911,0.091403008,-0.050080150,-0.055669770,-0.049824320,-0.055437136
3,60.000,1786880300553.464,15088371.399,0.000000000,-0.007957148,0.138109356,0.112968586,-0.068647496,-0.074121810,-0.068460137,-0.073899381
4,79.958,1786880300573.421,15088391.356,0.000000000,-0.007962142,0.135482028,0.138334021,-0.091258503,-0.097003661,-0.091378316,-0.096826911
5,99.955,1786880300593.418,15088411.353,0.000000000,-0.007944447,0.132054716,0.159197494,-0.110117316,-0.116316780,-0.110515602,-0.116181776
6,119.954,1786880300613.418,15088431.353,0.000000000,-0.007918949,0.125771627,0.188785926,-0.137147337,-0.144207492,-0.137810662,-0.144112796
7,139.954,1786880300633.418,15088451.353,0.000000000,-0.007895065,0.117611043,0.219787613,-0.166012317,-0.173966601,-0.166489765,-0.173845336
8,159.954,1786880300653.417,15088471.352,0.000000000,-0.007871927,0.107749805,0.251699328,-0.196674153,-0.205167562,-0.196510285,-0.204950765
9,179.954,1786880300673.418,15088491.353,0.000000000,-0.007849385,0.096770376,0.284201056,-0.229025021,-0.237486959,-0.228082106,-0.237152725
10,199.953,1786880300693.417,15088511.352,0.000000000,-0.007827450,0.085869573,0.317165822,-0.262767136,-0.270641029,-0.260973960,-0.270181268
11,219.955,1786880300713.418,15088531.353,0.000000000,-0.007802350,0.076995328,0.350668043,-0.296888262,-0.304272860,-0.294348538,-0.303708315
12,239.955,1786880300733.418,15088551.353,0.000000000,-0.007771973,0.071949236,0.384801060,-0.331032753,-0.338149846,-0.328244597,-0.337559253
13,259.954,1786880300753.418,15088571.353,0.000000000,-0.007737070,0.070834249,0.419521630,-0.365484089,-0.372188509,-0.362687856,-0.371607065
14,279.954,1786880300773.417,15088591.352,0.000000000,-0.007699653,0.070697531,0.454603881,-0.400405437,-0.406374693,-0.397992343,-0.405847043
15,299.954,1786880300793.418,15088611.353,0.000000000,-0.007664205,0.070595287,0.489851177,-0.435568959,-0.440675586,-0.433732182,-0.440219134
16,319.957,1786880300813.420,15088631.355,0.000000000,-0.007632379,0.070460126,0.525155842,-0.470517486,-0.475041628,-0.469168812,-0.474641263
17,339.956,1786880300833.419,15088651.354,0.000000000,-0.007610971,0.070346005,0.551663876,-0.496267825,-0.500818849,-0.495117486,-0.500439942
18,359.954,1786880300853.418,15088671.353,0.000000000,-0.007584989,0.070187233,0.587062776,-0.529664338,-0.535146177,-0.528621435,-0.534781933
19,379.959,1786880300873.423,15088691.358,0.000000000,-0.007560506,0.070016846,0.622501493,-0.562146664,-0.569440126,-0.561214983,-0.569096446
