index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_wx,base_wy,base_wz
0,0.000,1786878927330.469,13715148.404,0.000000000,-0.185132369,1.125098825,-0.069250211
1,20.002,1786878927350.470,13715168.405,0.000000000,-0.767487288,1.786561489,0.223612249
2,40.004,1786878927370.473,13715188.408,0.000000000,-1.148345947,1.102942944,0.626863122
3,59.995,1786878927390.464,13715208.399,0.000000000,-0.674604535,1.181573629,0.721446812
4,79.993,1786878927410.462,13715228.397,0.000000000,-1.053013444,1.236986876,0.779848039
5,99.991,1786878927430.460,13715248.395,0.000000000,-1.199371457,0.162969425,-0.184955075
6,119.990,1786878927450.459,13715268.394,0.000000000,-0.948225319,-1.198133349,-1.364065647
7,139.991,1786878927470.459,13715288.395,0.000000000,-0.141742364,-1.944411397,-1.266373277
8,159.993,1786878927490.461,13715308.396,0.000000000,0.414035738,-1.528814912,-0.811851621
9,179.995,1786878927510.463,13715328.398,0.000000000,1.682825208,-0.803957462,0.148018077
10,199.996,1786878927530.465,13715348.400,0.000000000,3.158460617,-1.724086523,0.398622364
11,220.001,1786878927550.470,13715368.405,0.000000000,0.786644697,0.763540089,0.066898882
12,240.026,1786878927570.495,13715388.430,0.000000000,-1.139113903,0.844029665,-0.565615654
13,260.014,1786878927590.483,13715408.418,0.000000000,-2.039592505,1.316313505,0.090210646
14,280.031,1786878927610.499,13715428.434,0.000000000,-1.563797116,1.476972461,0.384294361
15,300.002,1786878927630.471,13715448.406,0.000000000,-0.276031673,0.701285481,-0.170458332
16,320.024,1786878927650.493,13715468.428,0.000000000,0.917596996,-0.247688487,-0.926799774
17,340.027,1786878927670.495,13715488.430,0.000000000,1.287150145,-0.475904405,-1.735504031
18,360.076,1786878927690.545,13715508.480,0.000000000,1.088921428,-0.994839787,-2.332305908
19,380.027,1786878927710.495,13715528.430,0.000000000,1.346282959,-0.453231663,-1.468968749
20,400.025,1786878927730.494,13715548.429,0.000000000,0.775211811,-0.385458320,0.253752559
21,420.025,1786878927750.494,13715568.429,0.000000000,0.026918294,-0.442672074,1.179882646
22,440.027,1786878927770.495,13715588.430,0.000000000,-0.741390407,-0.243101552,1.108683467
23,460.010,1786878927790.479,13715608.414,0.000000000,-1.000264406,-0.248132691,-0.574622750
24,480.038,1786878927810.506,13715628.441,0.000000000,0.104043633,0.043774143,-0.706912518
25,500.002,1786878927830.471,13715648.406,0.000000000,0.484796137,0.360800296,0.247233212
26,520.026,1786878927850.495,13715668.430,0.000000000,0.658237815,-0.076993331,0.438668281
27,540.026,1786878927870.495,13715688.430,0.000000000,0.420103490,-0.156206414,-0.055392191
28,560.033,1786878927890.501,13715708.437,0.000000000,0.498470485,-0.431307524,-0.412943751
29,580.025,1786878927910.493,13715728.428,0.000000000,-0.313166618,-0.363098204,-0.363127887
30,600.027,1786878927930.495,13715748.430,0.000000000,0.184774637,0.125912026,-0.964943767
31,620.027,1786878927950.495,13715768.430,0.000000000,0.352588087,-0.337754905,-0.851277471
32,640.026,1786878927970.495,13715788.430,0.000000000,0.148299336,-0.474683166,-0.205980211
33,660.025,1786878927990.493,13715808.428,0.000000000,0.070005126,-0.337751538,0.342605621
34,680.026,1786878928010.494,13715828.429,0.000000000,-0.043300971,-0.053395063,0.739086330
35,700.005,1786878928030.474,13715848.409,0.000000000,-0.080318846,0.133554608,0.823062003
36,720.030,1786878928050.499,13715868.434,0.000000000,0.169258088,0.133630604,0.735267758
37,740.112,1786878928070.581,13715888.516,0.000000000,0.109043844,0.069965295,0.653150558
38,760.031,1786878928090.499,13715908.434,0.000000000,0.208331823,-0.015884619,0.449439198
