body_0_w,body_0_x,body_0_y,body_0_z
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
0.628975,0.000000,0.000000,-0.777426
