joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-1.361249,-1.042182,0.155477,0.128863,-0.195691,0.000037,0.074391,-0.094876,0.520000,0.875675,2.340337,0.505541,-0.784213,-0.121521,-0.773562,0.577579,-0.805975,-0.095888,-0.091868,-0.332772,0.806613,1.330364,0.730261,-0.107990,-0.097734,-0.217847,-0.237081,0.609926,-0.519225
-1.405540,-1.095186,0.181418,0.077560,-0.160210,0.057422,0.138074,-0.177883,0.520000,1.008056,2.398833,0.546213,-0.848098,-0.129027,-0.762418,0.535668,-0.768092,-0.062020,-0.092146,-0.333489,0.811673,1.339157,0.713075,-0.102057,-0.125494,-0.236899,-0.248719,0.673736,-0.588704
-1.429325,-1.161929,0.209551,0.031426,-0.116823,0.118356,0.196730,-0.261894,0.520000,1.145230,2.444190,0.586150,-0.896315,-0.133827,-0.724272,0.503632,-0.740015,-0.025630,-0.086697,-0.324024,0.814144,1.346356,0.686030,-0.097659,-0.158229,-0.254409,-0.257561,0.745745,-0.654358
-1.426257,-1.199461,0.241399,0.017249,-0.096603,0.179313,0.261487,-0.320316,0.520000,1.279677,2.457117,0.607589,-0.908035,-0.149489,-0.682227,0.493526,-0.743722,0.021421,-0.070916,-0.287363,0.804145,1.348139,0.631547,-0.093794,-0.183504,-0.264459,-0.256872,0.814976,-0.708387
-1.415061,-1.224348,0.271560,0.008037,-0.086134,0.236786,0.317313,-0.364449,0.520000,1.395533,2.471270,0.623427,-0.920829,-0.163033,-0.650188,0.488607,-0.760933,0.064013,-0.056997,-0.241138,0.792537,1.348943,0.572233,-0.084803,-0.205559,-0.270289,-0.257573,0.882680,-0.751429
-1.387606,-1.223942,0.298346,0.008752,-0.095167,0.287294,0.355276,-0.380005,0.520000,1.474207,2.487873,0.628065,-0.935769,-0.172343,-0.638158,0.494059,-0.805152,0.097688,-0.046801,-0.175783,0.777710,1.347787,0.503260,-0.065562,-0.221173,-0.267680,-0.261055,0.947328,-0.772499
-1.354549,-1.194983,0.319838,0.014469,-0.109715,0.327512,0.365012,-0.377232,0.520000,1.529489,2.522436,0.630007,-0.966614,-0.189831,-0.649258,0.504424,-0.859621,0.127810,-0.042015,-0.111934,0.757303,1.336230,0.434274,-0.047285,-0.241043,-0.262047,-0.261436,0.982983,-0.787724
-1.318690,-1.151747,0.338681,0.022687,-0.127020,0.362586,0.360635,-0.365295,0.520000,1.573076,2.565979,0.630602,-1.005410,-0.211408,-0.671921,0.517246,-0.919214,0.156155,-0.039935,-0.048837,0.734105,1.319471,0.365282,-0.029488,-0.263041,-0.254903,-0.260268,1.004140,-0.800028
-1.288827,-1.080927,0.352422,0.025980,-0.139446,0.369520,0.350551,-0.348702,0.520000,1.596839,2.588328,0.622255,-1.061352,-0.235757,-0.690745,0.528359,-0.992462,0.171316,-0.032421,0.022839,0.713709,1.313011,0.305601,-0.016213,-0.267362,-0.248865,-0.262255,1.029287,-0.840114
-1.263048,-1.006929,0.365677,0.028833,-0.152568,0.366301,0.342211,-0.335731,0.520000,1.620887,2.600962,0.613145,-1.128091,-0.261647,-0.711436,0.541942,-1.068262,0.184472,-0.025536,0.095231,0.698336,1.307213,0.253560,-0.006875,-0.268619,-0.242677,-0.264067,1.053632,-0.879419
-1.245438,-0.926574,0.377958,0.030805,-0.167079,0.342777,0.337356,-0.330001,0.520000,1.645504,2.594165,0.602508,-1.216424,-0.290618,-0.735860,0.560461,-1.149169,0.193618,-0.019910,0.169058,0.693007,1.302740,0.216803,-0.005409,-0.263748,-0.236189,-0.265528,1.076371,-0.917160
-1.227964,-0.841021,0.386855,0.029702,-0.180032,0.301114,0.342383,-0.338231,0.520000,1.677577,2.567230,0.590034,-1.316707,-0.327741,-0.751139,0.589177,-1.226939,0.196466,-0.012069,0.244262,0.695137,1.302281,0.197080,-0.011664,-0.246208,-0.236188,-0.275931,1.106157,-0.950941
-1.210558,-0.752869,0.394060,0.027061,-0.192206,0.250381,0.352351,-0.353441,0.520000,1.713379,2.530226,0.576641,-1.422965,-0.368941,-0.761846,0.622992,-1.303141,0.196166,-0.003121,0.320154,0.700994,1.303830,0.185874,-0.021780,-0.222333,-0.239432,-0.290806,1.139467,-0.982741
-1.199088,-0.724244,0.399276,0.016153,-0.216864,0.171462,0.348276,-0.377054,0.520000,1.715042,2.459888,0.563975,-1.519016,-0.382174,-0.664453,0.709998,-1.375099,0.179315,0.017570,0.405724,0.719881,1.304807,0.209299,-0.038316,-0.184278,-0.241679,-0.305097,1.162505,-1.003867
-1.185341,-0.669504,0.402760,0.009138,-0.228686,0.084511,0.347914,-0.414142,0.519496,1.722882,2.380085,0.544802,-1.606175,-0.403791,-0.582007,0.799691,-1.448479,0.161274,0.044418,0.490092,0.741725,1.302823,0.236385,-0.051604,-0.142874,-0.246830,-0.324548,1.181914,-1.019355
-1.167041,-0.562534,0.402780,0.009911,-0.214835,-0.018504,0.354975,-0.478180,0.517984,1.743077,2.281350,0.512618,-1.675552,-0.442175,-0.529458,0.894756,-1.524704,0.140855,0.083580,0.572054,0.769480,1.294916,0.270792,-0.058395,-0.094771,-0.257789,-0.354317,1.194065,-1.023565
