joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-2.214558,-2.650181,1.297052,-2.565157,1.774076,2.869231,3.184148,-4.150357,0.000000,6.619056,2.924814,2.033562,-3.194240,-0.375303,0.557180,-2.095557,1.894178,1.693393,-0.013898,-0.035838,0.253010,0.439613,-0.859301,0.296661,-1.387975,-0.952610,-0.581921,3.190498,-3.473922
-1.189259,-3.337137,1.406657,-2.306705,2.169347,3.046731,2.932809,-4.200530,0.000000,6.858703,2.267833,1.996885,-2.410830,-0.240028,1.907326,-1.601830,1.403840,1.819522,0.272491,0.473221,0.123551,0.359970,-1.352255,0.219919,-1.636737,-0.875514,-0.442080,3.600463,-3.282722
0.153369,-1.876620,1.592406,-0.708819,1.010994,3.047824,3.237863,-2.921087,0.000000,6.722370,0.646369,1.071929,-0.586016,-0.783070,2.102222,-0.505258,-0.185350,2.352540,0.789037,1.833044,-0.499949,0.089164,-2.724166,0.193263,-1.263753,-0.502489,0.034452,3.461570,-2.701440
0.559825,-1.244329,1.508038,-0.460628,0.523447,2.873676,2.791284,-2.206662,0.000000,5.792803,0.707626,0.791914,-0.639680,-0.677212,1.601973,-0.245975,-0.860553,2.129605,0.695959,2.311273,-0.580412,0.040181,-2.965672,0.449520,-1.102747,-0.291508,-0.035062,3.385180,-2.152116
1.372737,0.020252,1.339303,0.035755,-0.451646,2.525381,1.898125,-0.777813,0.000000,3.933667,0.830140,0.231884,-0.747008,-0.465496,0.601473,0.272589,-2.210961,1.683736,0.509803,3.267730,-0.741338,-0.057786,-3.448683,0.962034,-0.780735,0.130453,-0.174090,3.232402,-1.053466
1.652871,1.447953,1.074564,0.285863,-0.727395,2.010917,0.486811,0.138644,0.000000,2.764124,1.728158,0.097113,-1.542229,-0.874399,-0.554959,0.518260,-2.723435,1.506081,0.239267,3.192474,-1.020378,-0.577879,-3.449282,0.913896,-0.993492,0.281641,-0.019082,1.782728,-0.761283
1.792939,2.161803,0.942194,0.410917,-0.865269,1.753685,-0.218846,0.596872,0.000000,2.179352,2.177167,0.029728,-1.939840,-1.078851,-1.133174,0.641095,-2.979671,1.417254,0.103999,3.154846,-1.159898,-0.837926,-3.449581,0.889826,-1.099871,0.357235,0.058421,1.057892,-0.615191
1.493161,3.541009,0.687048,0.164626,-0.621300,0.346706,-0.504179,0.829620,0.000000,1.188154,1.117451,-0.417325,-2.797079,-1.217475,-0.941214,0.555682,-3.662381,0.758052,0.375722,3.583779,-1.019779,-0.323006,-2.984090,0.663742,-0.216069,0.301884,-0.099367,1.257344,-2.004308
1.288941,3.699918,0.662717,0.142632,-0.656063,-0.160928,-0.417029,0.648583,0.000000,1.202387,0.631680,-0.455505,-3.336935,-1.294495,-1.034541,0.679105,-3.790028,0.657799,0.344247,3.619635,-0.768660,-0.289891,-2.602016,0.466927,-0.062864,0.309396,-0.090591,1.217220,-1.965225
0.880501,4.017736,0.614055,0.098643,-0.725589,-1.176196,-0.242728,0.286509,0.000000,1.230851,-0.339861,-0.531866,-4.416647,-1.448535,-1.221194,0.925950,-4.045322,0.457293,0.281296,3.691347,-0.266422,-0.223660,-1.837867,0.073298,0.243546,0.324418,-0.073038,1.136971,-1.887059
