index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28
14,279.991,1786878695851.473,13483669.408,0.000000000,-0.739019632,0.117677636,-0.267253160,1.211518049,-0.499951631,-0.208857626,-0.156871498,-0.097760238,-0.106722370,1.034705400,-0.640298486,0.099948034,0.018127404,-0.009625304,0.202129945,0.226720408,0.224258482,-0.180048302,0.027014278,0.244633615,-0.028936433,0.106872752,0.020708086,-0.102589548,0.205976129,-0.064066656,-0.488860846,-0.096883014,0.098041885
15,299.987,1786878695871.469,13483689.404,0.000000000,-0.748402238,0.115233123,-0.284963518,1.267360330,-0.439377755,-0.213149369,-0.163858578,-0.086956084,-0.081851207,1.058356404,-0.626450956,0.098162055,0.048391815,0.022465462,0.194410130,0.237787157,0.215034679,-0.183534637,-0.003471040,0.267849237,-0.076948486,0.151840627,0.064027175,-0.113269947,0.200708136,-0.082056500,-0.556771219,-0.115286015,0.138457924
16,320.029,1786878695891.512,13483709.447,0.000000000,-0.731744885,0.110004105,-0.279604644,1.295615315,-0.376585871,-0.201364994,-0.163962454,-0.087807313,-0.044185203,1.080725789,-0.597467780,0.097053342,0.062915936,0.041850999,0.194362298,0.254716575,0.215262353,-0.183751926,-0.016402416,0.279368997,-0.130360335,0.201250002,0.089415669,-0.125506893,0.194055289,-0.085798644,-0.612519920,-0.137174994,0.168425679
17,339.988,1786878695911.470,13483729.405,0.000000000,-0.715432465,0.108417198,-0.257249147,1.326953888,-0.295032680,-0.153206676,-0.165812418,-0.091202810,-0.002877950,1.111378431,-0.546578109,0.097713314,0.077025004,0.052743468,0.199937016,0.262671977,0.223520115,-0.187537447,-0.012002883,0.284142613,-0.181373805,0.239763081,0.106697023,-0.142609373,0.185527951,-0.083049476,-0.650972188,-0.156894356,0.175723106
18,360.024,1786878695931.506,13483749.441,0.000000000,-0.699958622,0.098441392,-0.218615785,1.335752845,-0.306949645,-0.093329713,-0.174877748,-0.103254147,0.035722483,1.161229134,-0.470143855,0.100374110,0.099054813,0.041844554,0.210027769,0.251889199,0.241575047,-0.199071705,0.008506076,0.288008690,-0.228538439,0.264974654,0.120940775,-0.161780566,0.176712766,-0.069304891,-0.667362452,-0.171928480,0.160150051
19,380.025,1786878695951.507,13483769.442,0.000000000,-0.692407191,0.082262382,-0.178444847,1.262359381,-0.359131247,-0.053555872,-0.192485318,-0.106346600,0.059309062,1.223337412,-0.354815215,0.105299056,0.115332730,0.022369778,0.220831916,0.221978143,0.264654160,-0.220127940,0.041034948,0.290455043,-0.267852724,0.284098446,0.132220522,-0.183495268,0.171139836,-0.048360419,-0.672650158,-0.182770491,0.132266030
20,400.025,1786878695971.507,13483789.442,0.000000000,-0.689487219,0.076099604,-0.161361337,1.137279749,-0.377010047,-0.037427705,-0.219550774,-0.093868256,0.052530233,1.289239764,-0.208335280,0.107545033,0.118272699,0.012753585,0.230153143,0.193762213,0.286625713,-0.245395035,0.069556475,0.290750444,-0.296470582,0.306480825,0.134572417,-0.205950931,0.172478989,-0.028853884,-0.676135004,-0.196641117,0.108286515
21,420.025,1786878695991.507,13483809.442,0.000000000,-0.689418614,0.078098126,-0.172293335,1.049343348,-0.364186317,-0.033293571,-0.255795598,-0.086640656,0.031822786,1.349889517,-0.272329509,0.093009062,0.114355028,0.011332306,0.229761705,0.188140705,0.299614459,-0.259516865,0.081343107,0.290831298,-0.315287799,0.327795982,0.127788499,-0.222957537,0.180218682,-0.021803118,-0.676717877,-0.213224739,0.096309401
22,440.026,1786878696011.509,13483829.444,0.000000000,-0.679284513,0.090324953,-0.219743222,0.977756321,-0.254089177,-0.052755803,-0.310987830,-0.089376710,0.006947991,1.405943632,-0.475457281,0.063763313,0.100215517,0.024479769,0.233640224,0.202604309,0.305719107,-0.266755730,0.089633435,0.293859661,-0.338854462,0.357909143,0.102914460,-0.249183774,0.198062226,-0.021233987,-0.676783085,-0.245043561,0.081491627
23,460.024,1786878696031.506,13483849.441,0.000000000,-0.660501003,0.098914787,-0.256609678,0.980711579,-0.279653996,-0.135440946,-0.368653953,-0.122310206,-0.005577672,1.389089108,-0.606430531,0.035795402,0.081177369,0.025802677,0.241002128,0.225470021,0.309059858,-0.263766855,0.097644158,0.305592090,-0.354793638,0.379067719,0.072037019,-0.262387216,0.218214333,-0.016558846,-0.679228723,-0.278743118,0.060219944
