body_0_w,body_0_x,body_0_y,body_0_z
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
1.000000,-0.000004,-0.000010,-0.000000
1.000000,-0.000030,-0.000075,-0.000001
1.000000,-0.000096,-0.000243,-0.000004
1.000000,-0.000218,-0.000549,-0.000010
0.999999,-0.000406,-0.001023,-0.000018
0.999998,-0.000668,-0.001685,-0.000029
0.999996,-0.001010,-0.002548,-0.000044
0.999992,-0.001434,-0.003617,-0.000063
0.999986,-0.001939,-0.004891,-0.000085
0.999977,-0.002523,-0.006365,-0.000111
0.999963,-0.003182,-0.008028,-0.000140
0.999944,-0.003909,-0.009862,-0.000172
0.999919,-0.004697,-0.011848,-0.000207
0.999887,-0.005535,-0.013964,-0.000244
0.999848,-0.006415,-0.016182,-0.000282
0.999802,-0.007324,-0.018476,-0.000322
0.999749,-0.008252,-0.020816,-0.000363
0.999689,-0.009185,-0.023170,-0.000404
0.999623,-0.010112,-0.025510,-0.000445
0.999553,-0.011022,-0.027803,-0.000485
0.999478,-0.011901,-0.030021,-0.000524
0.999402,-0.012739,-0.032135,-0.000561
0.999326,-0.013526,-0.034121,-0.000595
0.999252,-0.014253,-0.035954,-0.000627
0.999181,-0.014911,-0.037615,-0.000656
0.999115,-0.015495,-0.039088,-0.000682
0.999057,-0.016000,-0.040361,-0.000704
0.999006,-0.016423,-0.041429,-0.000723
0.998964,-0.016765,-0.042290,-0.000738
0.998932,-0.017027,-0.042952,-0.000749
0.998908,-0.017215,-0.043425,-0.000757
0.998893,-0.017336,-0.043732,-0.000763
0.998884,-0.017402,-0.043899,-0.000766
0.998881,-0.017428,-0.043964,-0.000767
0.998880,-0.017432,-0.043974,-0.000767
0.998880,-0.017432,-0.043974,-0.000767
0.998877,-0.017351,-0.044067,-0.000928
0.998869,-0.017108,-0.044347,-0.001410
0.998853,-0.016703,-0.044813,-0.002214
0.998830,-0.016136,-0.045465,-0.003339
0.998797,-0.015406,-0.046304,-0.004786
0.998752,-0.014515,-0.047329,-0.006555
0.998690,-0.013461,-0.048603,-0.008679
0.998559,-0.012242,-0.050945,-0.011600
0.998392,-0.010860,-0.053599,-0.014911
0.998148,-0.009313,-0.057067,-0.018883
0.997687,-0.007594,-0.062985,-0.024402
0.997104,-0.005711,-0.069461,-0.030444
0.996296,-0.003057,-0.077060,-0.038033
0.995279,-0.000142,-0.085301,-0.046306
0.993968,0.003289,-0.094417,-0.055691
0.992314,0.007518,-0.104701,-0.065531
0.990251,0.012569,-0.116186,-0.075798
0.987784,0.017582,-0.128598,-0.086238
0.984875,0.022377,-0.142073,-0.096622
0.981475,0.026458,-0.156519,-0.107274
0.977529,0.029461,-0.171810,-0.118532
0.972955,0.031548,-0.187994,-0.130468
0.967391,0.030593,-0.206048,-0.144092
0.961270,0.028352,-0.223924,-0.158160
0.955007,0.023491,-0.240267,-0.172282
0.949415,0.014998,-0.250578,-0.188670
