body_0_wx,body_0_wy,body_0_wz
-0.414996,0.272071,1.837526
-0.388558,0.233203,1.714940
-0.388558,0.233203,1.714940
-0.388558,0.233203,1.714940
-0.388451,-0.020725,1.920146
-0.388451,-0.020725,1.920146
-0.388451,-0.020725,1.920146
-0.314343,-0.037812,1.689300
-0.314343,-0.037812,1.689300
-0.314343,-0.037812,1.689300
-0.164264,-0.068855,1.230121
-0.164264,-0.068855,1.230121
-0.164264,-0.068855,1.230121
-0.116011,-0.068053,1.101639
-0.116011,-0.068053,1.101639
-0.116011,-0.068053,1.101639
-0.091811,-0.067136,1.037799
-0.091821,-0.067144,1.037912
-0.091811,-0.067136,1.037799
-0.086072,-0.062951,0.972943
-0.086081,-0.062957,0.973036
-0.086072,-0.062951,0.972943
-0.080325,-0.058724,0.908088
-0.080331,-0.058729,0.908164
-0.080325,-0.058724,0.908088
-0.074620,-0.054562,0.843218
-0.074625,-0.054566,0.843278
-0.074620,-0.054562,0.843218
-0.068856,-0.050347,0.778350
-0.068860,-0.050351,0.778398
-0.068856,-0.050347,0.778350
-0.063109,-0.046174,0.713499
-0.063112,-0.046176,0.713535
-0.063109,-0.046174,0.713499
-0.057408,-0.041947,0.648656
-0.057411,-0.041948,0.648683
-0.057408,-0.041947,0.648656
-0.051639,-0.037760,0.583760
-0.051641,-0.037761,0.583780
-0.051639,-0.037760,0.583760
-0.045887,-0.033575,0.518923
-0.045888,-0.033576,0.518937
-0.045887,-0.033575,0.518923
-0.040161,-0.029374,0.454060
-0.040162,-0.029375,0.454069
-0.040161,-0.029374,0.454060
-0.034451,-0.025167,0.389185
-0.034451,-0.025168,0.389191
-0.034451,-0.025167,0.389185
-0.028675,-0.020979,0.324320
-0.028676,-0.020979,0.324323
-0.028675,-0.020979,0.324320
-0.022971,-0.016785,0.259450
-0.022972,-0.016785,0.259452
-0.022971,-0.016785,0.259450
-0.017212,-0.012607,0.194590
-0.017213,-0.012607,0.194591
-0.017212,-0.012607,0.194590
-0.011470,-0.008393,0.129717
-0.011470,-0.008393,0.129717
-0.011470,-0.008393,0.129717
-0.005732,-0.004203,0.064872
-0.005733,-0.004203,0.064872
-0.005732,-0.004203,0.064872
-0.000032,0.000067,-0.000000
-0.000032,0.000067,-0.000000
-0.000032,0.000067,-0.000000
-0.000137,0.000316,0.000020
-0.000137,0.000316,0.000020
-0.000137,0.000316,0.000020
-0.000369,0.000833,-0.000006
-0.000369,0.000833,-0.000006
-0.000369,0.000833,-0.000006
-0.000706,0.001596,0.000020
-0.000706,0.001596,0.000020
-0.000706,0.001596,0.000020
-0.001114,0.002544,0.000008
-0.001114,0.002544,0.000008
-0.001114,0.002544,0.000008
-0.001593,0.003670,0.000009
-0.001593,0.003670,0.000009
-0.001593,0.003670,0.000009
-0.002158,0.004904,0.000049
-0.002158,0.004904,0.000049
-0.002158,0.004904,0.000049
-0.002760,0.006254,0.000016
-0.002760,0.006254,0.000016
-0.002760,0.006254,0.000016
-0.003435,0.007783,0.000057
-0.003435,0.007783,0.000057
-0.003435,0.007783,0.000057
-0.004087,0.009339,0.000052
-0.004087,0.009339,0.000052
-0.004087,0.009339,0.000052
-0.004794,0.010937,0.000066
-0.004794,0.010937,0.000066
-0.004794,0.010937,0.000066
-0.005559,0.012620,0.000085
-0.005559,0.012620,0.000085
-0.005559,0.012620,0.000085
-0.006251,0.014290,0.000080
-0.006251,0.014290,0.000080
-0.006251,0.014290,0.000080
-0.010524,0.023961,0.000141
-0.010524,0.023961,0.000141
-0.011631,0.026457,0.000132
-0.011631,0.026457,0.000132
-0.012700,0.028921,0.000163
-0.012700,0.028921,0.000163
-0.013760,0.031317,0.000184
-0.013760,0.031317,0.000184
-0.014769,0.033609,0.000184
-0.014769,0.033609,0.000184
-0.015771,0.035833,0.000214
-0.015771,0.035833,0.000214
-0.016614,0.037934,0.000246
-0.016614,0.037934,0.000246
-0.017538,0.039847,0.000204
-0.017538,0.039847,0.000204
-0.018305,0.041637,0.000235
-0.018305,0.041637,0.000235
-0.018984,0.043294,0.000276
-0.018984,0.043294,0.000276
-0.019664,0.044702,0.000244
-0.019664,0.044702,0.000244
-0.020188,0.045990,0.000276
-0.020188,0.045990,0.000276
-0.020643,0.047035,0.000245
-0.020643,0.047035,0.000245
-0.021042,0.047909,0.000285
-0.021042,0.047909,0.000285
-0.021303,0.048551,0.000294
-0.021303,0.048551,0.000294
-0.021537,0.048984,0.000263
-0.021537,0.048984,0.000263
-0.021634,0.049184,0.000302
-0.021634,0.049184,0.000302
-0.021603,0.049222,0.000312
-0.021603,0.049222,0.000312
-0.021535,0.048981,0.000250
-0.021535,0.048981,0.000250
-0.021301,0.048547,0.000291
-0.021301,0.048547,0.000291
-0.021039,0.047902,0.000269
-0.021039,0.047902,0.000269
