index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_wx,torso_wy,torso_wz
0,0.000,1786884122206.493,18910024.428,0.000000000,0.185873225,0.002142581,0.104120977
1,19.975,1786884122226.468,18910044.403,0.000000000,0.391370982,-1.385425925,0.508303642
2,39.982,1786884122246.475,18910064.410,0.000000000,0.352798611,-1.409697056,0.848958671
3,59.981,1786884122266.474,18910084.409,0.000000000,0.131059870,-2.080200195,1.439191461
4,79.974,1786884122286.467,18910104.402,0.000000000,0.100443587,-3.187767267,1.675170541
5,99.976,1786884122306.469,18910124.404,0.000000000,0.917814076,-3.558056116,1.342906952
6,119.973,1786884122326.467,18910144.402,0.000000000,2.049098253,-2.914985418,0.446425319
7,139.977,1786884122346.470,18910164.405,0.000000000,2.512468338,-2.714408636,-0.170393497
8,159.973,1786884122366.466,18910184.401,0.000000000,2.342042446,-1.095923305,-1.366582394
9,179.976,1786884122386.469,18910204.404,0.000000000,1.944710851,-0.637489140,-1.818490624
10,199.974,1786884122406.468,18910224.402,0.000000000,0.409787476,0.954985917,-0.272503972
11,219.978,1786884122426.471,18910244.406,0.000000000,-0.700239420,2.188230038,0.485168278
12,239.972,1786884122446.466,18910264.400,0.000000000,-2.077831030,1.879967332,1.420906305
13,259.979,1786884122466.472,18910284.407,0.000000000,-1.719482064,1.616542578,1.958082080
14,279.979,1786884122486.472,18910304.407,0.000000000,-0.217011377,0.833055615,2.484780312
15,299.972,1786884122506.465,18910324.400,0.000000000,-0.388769269,1.094038367,2.005592823
16,319.973,1786884122526.466,18910344.401,0.000000000,-0.839308679,0.691548526,1.529293418
17,339.970,1786884122546.463,18910364.398,0.000000000,-0.602776349,0.450940907,1.162172437
18,359.981,1786884122566.474,18910384.409,0.000000000,-0.351229161,0.702719331,1.080298781
19,379.971,1786884122586.464,18910404.399,0.000000000,-0.434371293,2.091463804,0.471005857
20,399.976,1786884122606.469,18910424.404,0.000000000,-0.427658021,2.253569841,0.141697243
21,419.998,1786884122626.491,18910444.426,0.000000000,-0.302502394,1.833534241,-0.655071318
22,439.979,1786884122646.472,18910464.407,0.000000000,0.090377830,1.478725076,-1.273476362
23,459.971,1786884122666.464,18910484.399,0.000000000,1.067770839,0.103396751,-1.857197165
24,479.973,1786884122686.466,18910504.401,0.000000000,1.334712148,0.006263535,-2.262733936
25,499.979,1786884122706.473,18910524.407,0.000000000,1.670192242,-0.659916282,-2.038910389
26,519.974,1786884122726.467,18910544.402,0.000000000,1.454479218,-0.886034727,-1.578085780
27,539.979,1786884122746.472,18910564.407,0.000000000,1.112455606,-0.700027525,-0.844775558
28,560.008,1786884122766.501,18910584.436,0.000000000,0.421546608,-0.418017179,0.160545319
29,579.979,1786884122786.472,18910604.407,0.000000000,0.148393258,-0.376929075,0.597166836
30,599.974,1786884122806.467,18910624.402,0.000000000,-0.364714265,-0.234541640,0.801713765
