index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_ax,base_ay,base_az
0,0.000,1786878504694.408,13292512.343,0.000000000,4.125212669,1.975587010,-11.078269958
1,20.057,1786878504714.465,13292532.400,0.000000000,-2.472170115,0.826290846,-6.511546135
2,40.036,1786878504734.444,13292552.379,0.000000000,3.955966234,-2.763146877,-10.068835258
3,60.027,1786878504754.435,13292572.370,0.000000000,5.176022053,0.714039564,-11.155097961
4,79.995,1786878504774.403,13292592.338,0.000000000,1.559282184,8.024772644,-12.341395378
5,99.991,1786878504794.399,13292612.334,0.000000000,-1.470050812,9.271080971,-11.686785698
6,120.023,1786878504814.431,13292632.366,0.000000000,-3.362703085,3.014366865,-10.639409065
7,140.000,1786878504834.407,13292652.342,0.000000000,-3.628446341,-6.351110935,-9.726974487
8,160.000,1786878504854.408,13292672.343,0.000000000,-6.664835453,-9.887540817,-7.887651920
9,179.992,1786878504874.400,13292692.335,0.000000000,-15.188146591,-17.062074661,5.802321911
10,199.991,1786878504894.399,13292712.334,0.000000000,-4.664374828,-7.648032188,12.601110458
11,220.000,1786878504914.408,13292732.343,0.000000000,13.754669189,-1.699568987,23.852367401
12,239.991,1786878504934.398,13292752.333,0.000000000,8.941841125,1.121541262,19.107482910
13,259.990,1786878504954.398,13292772.333,0.000000000,5.817627907,7.347161770,13.061975479
14,279.991,1786878504974.399,13292792.334,0.000000000,4.607181072,6.515861034,9.626246452
15,299.990,1786878504994.398,13292812.333,0.000000000,2.829264641,4.027439594,9.349869728
16,319.990,1786878505014.398,13292832.333,0.000000000,2.419196367,0.996963143,9.184478760
17,339.992,1786878505034.400,13292852.335,0.000000000,3.903712988,-1.105894685,7.606097698
18,359.991,1786878505054.399,13292872.334,0.000000000,1.490122676,-1.987916589,1.467644334
19,379.991,1786878505074.398,13292892.333,0.000000000,-0.733429492,-6.185240269,1.178371191
20,399.992,1786878505094.400,13292912.335,0.000000000,-2.637133360,-2.765104294,-4.121540070
