index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_wx,torso_wy,torso_wz
0,0.000,1786878504694.408,13292512.343,0.000000000,0.407616764,-0.843707263,0.274307787
1,20.057,1786878504714.465,13292532.400,0.000000000,0.572506785,-1.811141372,0.488668025
2,40.036,1786878504734.444,13292552.379,0.000000000,0.427729487,-1.912526727,0.990272462
3,60.027,1786878504754.435,13292572.370,0.000000000,0.078866415,-2.508530617,1.496246338
4,79.995,1786878504774.403,13292592.338,0.000000000,0.436376721,-3.090073824,1.502028823
5,99.991,1786878504794.399,13292612.334,0.000000000,1.470842242,-2.924446821,0.771413028
6,120.023,1786878504814.431,13292632.366,0.000000000,2.346979380,-2.109940290,-0.339652628
7,140.000,1786878504834.407,13292652.342,0.000000000,2.542096138,-1.020971894,-1.446528792
8,160.000,1786878504854.408,13292672.343,0.000000000,1.656520963,-0.122188628,-2.008536816
9,179.992,1786878504874.400,13292692.335,0.000000000,0.087561354,1.159192801,-1.951150179
10,199.991,1786878504894.399,13292712.334,0.000000000,-1.713791251,2.971518517,-1.530757666
11,220.000,1786878504914.408,13292732.343,0.000000000,-1.629032969,1.884491324,0.071378939
12,239.991,1786878504934.398,13292752.333,0.000000000,-1.440873384,1.362698913,1.152594924
13,259.990,1786878504954.398,13292772.333,0.000000000,-0.762444973,0.619976521,1.843695521
14,279.991,1786878504974.399,13292792.334,0.000000000,0.260921061,0.043153919,1.773176074
15,299.990,1786878504994.398,13292812.333,0.000000000,0.985256076,-0.114546552,1.269282699
16,319.990,1786878505014.398,13292832.333,0.000000000,1.388360500,-0.103782058,0.513972342
17,339.992,1786878505034.400,13292852.335,0.000000000,1.533551216,-0.271169633,-0.380310774
18,359.991,1786878505054.399,13292872.334,0.000000000,1.396504045,-0.345727473,-0.998809695
19,379.991,1786878505074.398,13292892.333,0.000000000,0.694950283,-0.389556557,-0.823002338
20,399.992,1786878505094.400,13292912.335,0.000000000,-0.099936329,-0.101206914,0.077391081
21,419.992,1786878505114.399,13292932.334,0.000000000,-0.682705402,0.223571539,0.619258463
22,439.991,1786878505134.399,13292952.334,0.000000000,-0.790240943,0.043483403,0.385095030
23,459.990,1786878505154.398,13292972.333,0.000000000,-0.380000740,-0.243010148,-0.397390306
24,479.992,1786878505174.400,13292992.335,0.000000000,-0.050438039,-0.241042346,-1.044818997
25,499.990,1786878505194.398,13293012.333,0.000000000,0.021398615,-0.097679280,-1.446560264
26,519.991,1786878505214.399,13293032.334,0.000000000,0.084914617,0.050746076,-1.221578479
27,539.994,1786878505234.402,13293052.337,0.000000000,0.297789127,0.170951352,-0.772318840
28,559.994,1786878505254.402,13293072.337,0.000000000,0.532564461,0.238780871,-0.433019757
29,579.992,1786878505274.400,13293092.335,0.000000000,0.746080637,0.101091243,-0.251482576
30,599.991,1786878505294.399,13293112.333,0.000000000,0.688302398,-0.106085792,-0.070320681
31,619.991,1786878505314.399,13293132.334,0.000000000,0.477587223,0.069030434,0.241293564
32,639.992,1786878505334.400,13293152.335,0.000000000,0.290347427,0.300201088,0.516396940
33,659.993,1786878505354.401,13293172.336,0.000000000,0.094430946,0.338045597,0.694622219
34,679.991,1786878505374.399,13293192.334,0.000000000,-0.139930218,0.194758669,0.740705967
35,699.990,1786878505394.397,13293212.332,0.000000000,-0.311630338,0.085441045,0.743664861
36,719.990,1786878505414.398,13293232.333,0.000000000,-0.482978225,0.031787083,0.745089710
37,739.991,1786878505434.399,13293252.334,0.000000000,-0.592010558,0.045951299,0.741726577
38,759.992,1786878505454.400,13293272.335,0.000000000,-0.592219591,0.101862058,0.527763367
