index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,encoder_mode_0
0,0.000,1786876952029.487,11739847.422,0.000000000,0.000000000
1,20.015,1786876952049.502,11739867.437,0.000000000,0.000000000
2,40.013,1786876952069.500,11739887.436,0.000000000,0.000000000
3,60.018,1786876952089.505,11739907.440,0.000000000,0.000000000
4,79.991,1786876952109.478,11739927.413,0.000000000,0.000000000
5,99.991,1786876952129.478,11739947.413,0.000000000,0.000000000
6,119.989,1786876952149.477,11739967.411,0.000000000,0.000000000
7,140.014,1786876952169.502,11739987.437,0.000000000,0.000000000
8,159.989,1786876952189.476,11740007.411,0.000000000,0.000000000
9,179.988,1786876952209.475,11740027.410,0.000000000,0.000000000
10,199.988,1786876952229.476,11740047.411,0.000000000,0.000000000
11,219.989,1786876952249.476,11740067.411,0.000000000,0.000000000
12,239.988,1786876952269.475,11740087.410,0.000000000,0.000000000
13,259.988,1786876952289.475,11740107.410,0.000000000,0.000000000
14,279.990,1786876952309.477,11740127.412,0.000000000,0.000000000
15,299.989,1786876952329.477,11740147.411,0.000000000,0.000000000
16,319.988,1786876952349.476,11740167.410,0.000000000,0.000000000
17,339.989,1786876952369.476,11740187.411,0.000000000,0.000000000
18,359.989,1786876952389.476,11740207.411,0.000000000,0.000000000
19,379.991,1786876952409.478,11740227.413,0.000000000,0.000000000
20,399.988,1786876952429.475,11740247.410,0.000000000,0.000000000
21,419.987,1786876952449.475,11740267.410,0.000000000,0.000000000
22,439.988,1786876952469.475,11740287.410,0.000000000,0.000000000
23,459.989,1786876952489.476,11740307.411,0.000000000,0.000000000
24,479.988,1786876952509.475,11740327.410,0.000000000,0.000000000
25,499.988,1786876952529.475,11740347.410,0.000000000,0.000000000
26,519.988,1786876952549.475,11740367.410,0.000000000,0.000000000
27,539.987,1786876952569.474,11740387.409,0.000000000,0.000000000
28,559.990,1786876952589.478,11740407.412,0.000000000,0.000000000
29,579.990,1786876952609.478,11740427.413,0.000000000,0.000000000
30,599.989,1786876952629.476,11740447.411,0.000000000,0.000000000
31,619.992,1786876952649.479,11740467.414,0.000000000,0.000000000
32,639.990,1786876952669.478,11740487.413,0.000000000,0.000000000
33,659.990,1786876952689.477,11740507.412,0.000000000,0.000000000
34,679.989,1786876952709.476,11740527.411,0.000000000,0.000000000
35,699.990,1786876952729.477,11740547.412,0.000000000,0.000000000
36,719.991,1786876952749.479,11740567.414,0.000000000,0.000000000
37,739.988,1786876952769.475,11740587.410,0.000000000,0.000000000
38,760.001,1786876952789.488,11740607.423,0.000000000,0.000000000
39,779.992,1786876952809.479,11740627.414,0.000000000,0.000000000
40,799.989,1786876952829.476,11740647.411,0.000000000,0.000000000
41,820.023,1786876952849.510,11740667.445,0.000000000,0.000000000
42,839.993,1786876952869.480,11740687.415,0.000000000,0.000000000
43,860.000,1786876952889.487,11740707.422,0.000000000,0.000000000
44,879.992,1786876952909.479,11740727.414,0.000000000,0.000000000
45,899.991,1786876952929.478,11740747.413,0.000000000,0.000000000
46,919.987,1786876952949.474,11740767.409,0.000000000,0.000000000
47,939.989,1786876952969.477,11740787.412,0.000000000,0.000000000
48,959.986,1786876952989.473,11740807.408,0.000000000,0.000000000
49,979.987,1786876953009.475,11740827.410,0.000000000,0.000000000
50,999.988,1786876953029.476,11740847.411,0.000000000,0.000000000
51,1019.987,1786876953049.475,11740867.410,0.000000000,0.000000000
52,1039.987,1786876953069.475,11740887.410,0.000000000,0.000000000
53,1059.987,1786876953089.474,11740907.409,0.000000000,0.000000000
54,1079.987,1786876953109.474,11740927.409,0.000000000,0.000000000
55,1099.987,1786876953129.474,11740947.409,0.000000000,0.000000000
56,1119.987,1786876953149.474,11740967.409,0.000000000,0.000000000
57,1139.987,1786876953169.475,11740987.410,0.000000000,0.000000000
58,1159.987,1786876953189.474,11741007.409,0.000000000,0.000000000
59,1179.987,1786876953209.474,11741027.409,0.000000000,0.000000000
60,1199.987,1786876953229.474,11741047.409,0.000000000,0.000000000
61,1219.987,1786876953249.474,11741067.409,0.000000000,0.000000000
62,1239.988,1786876953269.476,11741087.410,0.000000000,0.000000000
63,1259.988,1786876953289.475,11741107.410,0.000000000,0.000000000
