index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_ax,base_ay,base_az
0,0.000,1786876952029.487,11739847.422,0.000000000,4.876639366,2.053802252,-10.408179283
1,20.015,1786876952049.502,11739867.437,0.000000000,-1.595249772,0.638686121,-6.902393341
2,40.013,1786876952069.500,11739887.436,0.000000000,4.503950596,-2.877672672,-10.333592415
3,60.018,1786876952089.505,11739907.440,0.000000000,5.910918236,0.679159582,-11.680509567
4,79.991,1786876952109.478,11739927.413,0.000000000,1.401145816,8.343021393,-12.381290436
5,99.991,1786876952129.478,11739947.413,0.000000000,-2.071089983,8.708573341,-10.503376007
6,119.989,1786876952149.477,11739967.411,0.000000000,-4.620998383,1.917372823,-9.192183495
7,140.014,1786876952169.502,11739987.437,0.000000000,-4.309302330,-5.522896290,-8.811201096
8,159.989,1786876952189.476,11740007.411,0.000000000,-5.625304222,-9.573569298,-7.691490650
9,179.988,1786876952209.475,11740027.410,0.000000000,-22.296928406,-15.383042336,-0.796887755
10,199.988,1786876952229.476,11740047.411,0.000000000,-15.731148720,-11.188073158,4.259791851
11,219.989,1786876952249.476,11740067.411,0.000000000,17.596633911,3.328238010,24.672969818
12,239.988,1786876952269.475,11740087.410,0.000000000,12.088585854,0.615944862,18.632019043
13,259.988,1786876952289.475,11740107.410,0.000000000,6.503334999,-0.791764259,21.848037720
14,279.990,1786876952309.477,11740127.412,0.000000000,8.820919037,3.161385059,15.912728310
15,299.989,1786876952329.477,11740147.411,0.000000000,3.860736847,7.809974670,12.341527939
16,319.988,1786876952349.476,11740167.410,0.000000000,0.672284663,5.499783516,8.058058739
17,339.989,1786876952369.476,11740187.411,0.000000000,1.278126359,0.816367626,4.369466305
18,359.989,1786876952389.476,11740207.411,0.000000000,-2.169099808,-1.547456503,1.949538112
19,379.991,1786876952409.478,11740227.413,0.000000000,-0.516974270,-5.066310406,-4.635174274
20,399.988,1786876952429.475,11740247.410,0.000000000,3.027426958,-2.864690781,-2.427309036
21,419.987,1786876952449.475,11740267.410,0.000000000,-0.452501118,-1.408456445,-2.228737116
22,439.988,1786876952469.475,11740287.410,0.000000000,1.477293611,-1.105075717,-1.787069321
23,459.989,1786876952489.476,11740307.411,0.000000000,2.827665806,0.652681887,-2.585886478
24,479.988,1786876952509.475,11740327.410,0.000000000,3.490309954,2.447312355,-6.295246601
25,499.988,1786876952529.475,11740347.410,0.000000000,2.544851065,1.732771516,-4.973986626
