index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,encoder_mode_0
0,0.000,1786879693093.467,14480911.402,0.000000000,0.000000000
1,20.016,1786879693113.483,14480931.418,0.000000000,0.000000000
2,39.994,1786879693133.461,14480951.396,0.000000000,0.000000000
3,59.990,1786879693153.457,14480971.392,0.000000000,0.000000000
4,79.989,1786879693173.456,14480991.391,0.000000000,0.000000000
5,99.992,1786879693193.458,14481011.394,0.000000000,0.000000000
6,119.990,1786879693213.457,14481031.392,0.000000000,0.000000000
7,139.991,1786879693233.458,14481051.393,0.000000000,0.000000000
8,159.991,1786879693253.458,14481071.393,0.000000000,0.000000000
9,179.990,1786879693273.457,14481091.392,0.000000000,0.000000000
10,199.989,1786879693293.456,14481111.391,0.000000000,0.000000000
11,219.989,1786879693313.456,14481131.391,0.000000000,0.000000000
12,239.990,1786879693333.457,14481151.391,0.000000000,0.000000000
13,259.990,1786879693353.457,14481171.392,0.000000000,0.000000000
14,279.992,1786879693373.458,14481191.393,0.000000000,0.000000000
15,299.992,1786879693393.459,14481211.394,0.000000000,0.000000000
16,319.992,1786879693413.459,14481231.394,0.000000000,0.000000000
17,339.994,1786879693433.460,14481251.395,0.000000000,0.000000000
18,359.991,1786879693453.458,14481271.393,0.000000000,0.000000000
19,379.992,1786879693473.459,14481291.394,0.000000000,0.000000000
20,399.992,1786879693493.458,14481311.393,0.000000000,0.000000000
21,419.993,1786879693513.459,14481331.394,0.000000000,0.000000000
22,439.995,1786879693533.462,14481351.397,0.000000000,0.000000000
23,459.995,1786879693553.462,14481371.397,0.000000000,0.000000000
24,479.995,1786879693573.462,14481391.397,0.000000000,0.000000000
25,499.996,1786879693593.463,14481411.398,0.000000000,0.000000000
26,519.996,1786879693613.463,14481431.398,0.000000000,0.000000000
27,539.994,1786879693633.461,14481451.396,0.000000000,0.000000000
28,559.993,1786879693653.460,14481471.395,0.000000000,0.000000000
29,579.995,1786879693673.461,14481491.396,0.000000000,0.000000000
30,599.994,1786879693693.461,14481511.396,0.000000000,0.000000000
31,619.994,1786879693713.461,14481531.396,0.000000000,0.000000000
32,639.994,1786879693733.461,14481551.396,0.000000000,0.000000000
33,659.994,1786879693753.461,14481571.396,0.000000000,0.000000000
34,679.993,1786879693773.460,14481591.395,0.000000000,0.000000000
35,699.993,1786879693793.459,14481611.394,0.000000000,0.000000000
36,719.992,1786879693813.459,14481631.394,0.000000000,0.000000000
37,739.992,1786879693833.458,14481651.393,0.000000000,0.000000000
38,759.995,1786879693853.462,14481671.397,0.000000000,0.000000000
39,779.994,1786879693873.461,14481691.396,0.000000000,0.000000000
40,799.994,1786879693893.461,14481711.396,0.000000000,0.000000000
41,819.994,1786879693913.461,14481731.396,0.000000000,0.000000000
42,839.994,1786879693933.461,14481751.396,0.000000000,0.000000000
43,859.993,1786879693953.460,14481771.395,0.000000000,0.000000000
44,879.995,1786879693973.462,14481791.397,0.000000000,0.000000000
45,899.993,1786879693993.460,14481811.395,0.000000000,0.000000000
46,919.990,1786879694013.457,14481831.392,0.000000000,0.000000000
47,939.990,1786879694033.457,14481851.392,0.000000000,0.000000000
48,959.989,1786879694053.456,14481871.391,0.000000000,0.000000000
49,979.990,1786879694073.457,14481891.392,0.000000000,0.000000000
50,999.989,1786879694093.456,14481911.391,0.000000000,0.000000000
51,1019.989,1786879694113.456,14481931.391,0.000000000,0.000000000
52,1039.992,1786879694133.458,14481951.394,0.000000000,0.000000000
53,1059.993,1786879694153.460,14481971.395,0.000000000,0.000000000
54,1079.991,1786879694173.458,14481991.393,0.000000000,0.000000000
55,1099.990,1786879694193.457,14482011.392,0.000000000,0.000000000
56,1119.994,1786879694213.460,14482031.395,0.000000000,0.000000000
57,1139.993,1786879694233.460,14482051.395,0.000000000,0.000000000
58,1159.993,1786879694253.460,14482071.395,0.000000000,0.000000000
59,1179.992,1786879694273.459,14482091.394,0.000000000,0.000000000
60,1199.992,1786879694293.459,14482111.394,0.000000000,0.000000000
61,1219.992,1786879694313.458,14482131.394,0.000000000,0.000000000
62,1239.995,1786879694333.462,14482151.397,0.000000000,0.000000000
63,1259.995,1786879694353.461,14482171.396,0.000000000,0.000000000
64,1279.994,1786879694373.461,14482191.396,0.000000000,0.000000000
65,1299.993,1786879694393.460,14482211.395,0.000000000,0.000000000
66,1319.997,1786879694413.464,14482231.399,0.000000000,0.000000000
67,1339.997,1786879694433.463,14482251.398,0.000000000,0.000000000
