index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20,tau_21,tau_22,tau_23,tau_24,tau_25,tau_26,tau_27,tau_28
12,239.985,1786880068405.600,14856223.535,0.000000000,68.683502197,39.131900787,-44.226551056,-102.284637451,35.850616455,1.918396831,-10.465970993,10.053946495,-8.026326180,5.677027225,14.165736198,-0.420786381,-3.005331516,47.829326630,-40.672069550,4.532279968,-4.366128922,-2.636466742,-10.761975288,0.684853256,-3.260117769,0.078744479,5.001003265,-9.141617775,-5.453749180,-5.313244343,-0.074154750,-0.083515421,-0.511324763
13,259.985,1786880068425.600,14856243.535,0.000000000,62.574195862,8.653377533,-2.513365030,-30.406356812,45.842182159,3.536730051,-15.958534241,-8.410825729,-0.082210883,-30.772344589,25.676834106,-6.726590157,1.613902450,38.076820374,-41.073722839,7.119354725,-1.556733489,-1.143676281,-9.792757034,0.284329087,-4.112346172,0.565859973,-1.382317662,-7.273962975,-5.456407547,-6.166347980,-0.858415008,-1.317291498,-0.884324372
14,279.983,1786880068445.598,14856263.533,0.000000000,62.474521637,-9.580770493,15.328125954,10.090415955,45.546012878,4.441751480,-19.558153152,-15.931611061,2.848762035,-37.473075867,31.065603256,-9.768844604,-2.621336937,27.806344986,-34.903728485,4.773956776,1.342324495,0.810260892,-6.867959499,-0.032850184,-3.392682076,0.848895490,-5.128207684,-5.409664631,-5.002417088,-6.422644138,-0.153591141,-1.890141726,-1.241320014
15,299.986,1786880068465.601,14856283.536,0.000000000,64.541091919,-13.836527824,19.236700058,15.980255127,39.274299622,5.398879528,-29.536275864,-10.604087830,3.886848211,-42.457683563,33.972717285,-6.333531380,-7.676383972,17.234880447,-30.645021439,1.391676307,2.244091272,1.110340834,-4.946606159,-0.141902238,-2.270849943,0.653301895,-6.475863457,-3.308162212,-5.019453049,-7.024803638,0.283775300,-2.135395765,-1.485690117
16,319.986,1786880068485.600,14856303.535,0.000000000,56.301456451,-11.124634743,17.293640137,1.883173704,29.879676819,6.987304688,-32.182075500,1.561746359,-1.745618582,-42.979778290,36.210685730,-4.536051750,-11.863137245,6.462207317,-26.035402298,-1.287164092,2.243956327,0.522901595,-3.522086859,0.292991549,-1.439498425,0.172049835,-5.940897465,-2.110899448,-5.248050213,-7.778601646,0.645064592,-2.097033262,-1.879330873
17,339.985,1786880068505.599,14856323.534,0.000000000,30.751886368,-9.249960899,14.937551498,6.901642323,21.525949478,5.522402287,-13.584928513,6.028301716,-3.902218580,-35.907829285,41.057403564,-3.564070463,-3.497544527,-9.939347267,-18.932035446,-2.625943184,1.725107551,-0.147919282,-1.944414973,0.114464372,-0.940756798,-0.240453586,-6.917202950,-0.648250818,-3.549832344,-7.082152843,0.698327303,-2.001003981,-2.042813540
18,359.984,1786880068525.598,14856343.533,0.000000000,-2.351146698,-13.119896889,12.956344604,7.777864933,3.930512905,0.657654107,9.650806427,6.325418949,-4.351799488,-25.719247818,45.031894684,-2.797500134,10.930323601,-25.812881470,-8.693740845,-1.900863051,1.352330685,0.074560173,0.181018054,-0.508512795,-0.413461298,-0.120462991,-8.299139977,0.586366236,-0.679700196,-4.947046757,0.610138834,-1.744736671,-1.623951554
19,379.986,1786880068545.601,14856363.536,0.000000000,-30.672245026,-14.371061325,9.542614937,-15.974739075,-2.641068459,-0.419573814,26.704694748,16.034988403,-8.615053177,-11.820793152,40.538585663,-1.304185510,17.514806747,-25.297101974,-0.357041627,0.268027216,1.095306873,0.683983624,1.425204754,-0.414160490,0.525893092,0.243210182,-9.379805565,0.831176400,1.331438541,-4.262094498,0.472912908,-1.646814466,-0.444110453
20,399.986,1786880068565.601,14856383.536,0.000000000,-20.287942886,-5.961773872,2.094785213,-8.864123344,-1.250194073,-0.052149761,20.320919037,14.381227493,-10.031415939,-4.157716274,30.387887955,0.024699135,12.695248604,-20.478576660,0.288354456,2.383754253,0.578330576,-0.062469054,1.823614478,-0.337652117,0.747440994,0.205945909,-7.292861938,1.778628230,1.615470529,-4.143868923,0.295265764,-1.693596244,-0.206414178
21,419.985,1786880068585.599,14856403.534,0.000000000,9.806528091,10.531441689,-11.087010384,2.104463339,0.149015471,0.405852824,-12.586527824,2.316778660,-6.872919559,-4.703670502,-1.313363791,0.389845848,-2.401726723,-6.247907162,1.940302134,1.159829021,-0.654635906,-1.562168837,0.859441996,-0.149418652,0.379770458,-0.135540932,-3.981155396,1.997961044,0.762770534,-4.249267101,0.524343669,-1.826365352,-0.462259173
22,439.984,1786880068605.598,14856423.533,0.000000000,19.085577011,18.854255676,-13.648272514,13.003735542,1.087388396,0.120465942,-18.756675720,-21.675598145,11.523772240,-9.899582863,-1.528460026,-0.243835241,-12.289384842,6.440059662,0.606112123,-0.249664426,-0.585439086,-1.991026521,0.049749970,0.216616765,-0.085626207,-0.463116199,-0.679544628,1.884981632,0.338852465,-2.913738489,0.514392436,-1.558758974,-0.692203104
23,459.984,1786880068625.598,14856443.533,0.000000000,20.814613342,24.707319260,-13.059842110,9.544857025,6.554962158,0.180478498,-15.599566460,-24.922183990,12.546557426,-18.732896805,0.160899907,-0.385101527,-10.482645988,8.086901665,-7.702734947,-0.610098541,-0.170014530,-0.935824633,-1.887854815,0.536464512,-0.512411952,-0.406711996,3.080174685,1.101587534,0.389973491,-1.035095453,0.099004500,-0.894934177,-0.599345922
24,479.987,1786880068645.602,14856463.537,0.000000000,12.631577492,24.942523956,-9.062778473,-30.786521912,31.000478745,10.547501564,-2.105766296,-12.740796089,12.180616379,-7.489660740,0.430427343,-0.383232743,-10.893108368,10.605502129,-11.309076309,-1.951267838,0.083634511,0.311959743,-1.902089953,0.375057936,-0.883589864,-0.120847814,4.093625546,0.085235350,0.437261164,-0.164348066,-0.232917726,-0.307929814,-0.225098029
25,499.986,1786880068665.600,14856483.535,0.000000000,-1.782511234,22.271442413,-11.402050018,-17.920188904,26.782609940,9.471004486,15.395102501,-12.425599098,12.626064301,4.837320328,1.685888410,-0.279288739,-3.163991213,8.370449066,-10.143037796,-0.878393948,-0.784482539,1.022368789,-2.536514282,0.206014514,-0.996985734,0.318114311,3.361408234,-0.134210601,0.460823596,0.520137489,-0.517629921,0.004472679,-0.154297456
26,519.985,1786880068685.600,14856503.535,0.000000000,1.566606164,11.112387657,-6.079485416,-0.143390626,16.721529007,6.122475147,11.289934158,-8.489138603,2.446862936,-12.588961601,14.236380577,-5.716838837,9.928793907,1.153898716,-7.406608105,-0.101826102,-0.312157989,1.124654293,-2.928798676,-0.543455780,-1.367827892,0.847619951,-0.881615281,-0.141677484,0.653582573,-0.683751941,-0.580444276,0.112382151,0.162788585
27,539.985,1786880068705.599,14856523.534,0.000000000,4.203638554,-9.040966988,5.939617157,-0.899346530,12.102787971,4.066111088,13.830730438,-2.093104839,-2.671111584,-30.681270599,44.779132843,-14.391882896,15.456537247,-6.459386826,-14.527123451,1.253481269,1.076566458,1.672080994,-3.519847631,-0.316732913,-1.418696165,1.117994905,-3.400299311,-1.056662917,0.708565176,-1.691573381,-0.148920149,-0.158703968,0.312544405
28,559.984,1786880068725.599,14856543.534,0.000000000,1.015334487,-17.622457504,11.355346680,0.120509446,9.106743813,1.596294165,17.464012146,-2.647576571,1.929895639,-47.585132599,50.000000000,-4.686494350,13.746917725,-7.919479847,-19.746479034,1.568484545,3.108790636,2.267315149,-3.905933142,0.100837737,-1.691001534,1.193619013,-5.110597134,-0.474182993,-0.084556818,-3.870983839,-0.052658878,-0.599609971,-0.147746950
29,579.986,1786880068745.601,14856563.536,0.000000000,3.054015160,-20.107620239,13.757526398,-0.058154505,11.204390526,1.672998905,16.175792694,2.663394690,3.392801762,-45.831577301,50.000000000,-3.143910646,8.441711426,-8.771121979,-19.510555267,1.485362887,4.107622623,2.043307304,-3.449142218,0.086220957,-1.664846182,0.947445750,-4.573465824,0.333075374,-0.269099116,-4.946879387,0.396005780,-1.125465274,-0.476786137
30,599.986,1786880068765.600,14856583.535,0.000000000,2.143845797,-20.929050446,15.214435577,-0.189900398,8.136060715,0.918805778,15.256043434,5.153117657,2.124060869,-45.662761688,50.000000000,-1.201590419,6.219029427,-12.046616554,-18.899682999,0.628764629,4.120639324,1.679435730,-3.391450882,-0.213023052,-1.535047770,0.772171378,-4.240043163,1.067276120,-0.448477745,-6.003805161,0.548358083,-1.501561880,-0.656945944
31,619.984,1786880068785.599,14856603.534,0.000000000,-2.609042406,-21.713941574,15.486435890,-3.624426126,3.125446320,-0.354144394,14.711286545,6.585760117,1.470595241,-37.010612488,50.000000000,-0.102635197,5.041970730,-9.165109634,-14.372506142,0.297257632,3.492731810,1.287164807,-2.459230423,-0.709215760,-1.291724086,0.585523069,-4.435565472,1.571292639,-0.246993810,-5.871039867,0.680182636,-1.660501599,-0.617561936
32,639.986,1786880068805.601,14856623.536,0.000000000,-5.990124702,-22.575557709,17.253950119,-6.015480042,2.245544434,-0.413470834,15.374372482,7.072419643,1.344522834,-34.159637451,50.000000000,0.085478008,3.444283247,-6.560771942,-12.501271248,0.117272124,3.102797985,1.200598121,-2.056376219,-0.327967972,-0.986750424,0.470301002,-4.103300095,1.692881227,-0.346797913,-5.374549866,0.286464036,-1.711544394,-0.743291736
33,659.986,1786880068825.601,14856643.536,0.000000000,-10.808252335,-18.044433594,13.339332581,-1.251930594,0.148416325,-0.311472833,17.323543549,0.507051468,6.788979053,-33.736419678,50.000000000,-0.302962899,5.351343155,-6.295553207,-8.450964928,0.672374129,3.203600407,1.261626720,-1.263420463,-0.226706579,-0.687104583,0.427819788,-4.048528194,1.554191470,-0.107553042,-4.519013405,0.093066923,-1.530236125,-0.522836626
34,679.985,1786880068845.600,14856663.535,0.000000000,-4.301500797,-12.013138771,8.662229538,-0.313214719,5.014011383,-1.027677178,12.212121964,-9.647838593,10.223070145,-38.547698975,47.719196320,-0.898124218,4.878654003,-5.685031414,-8.604614258,0.942518473,3.328307152,0.870705426,-1.505057693,-0.144743800,-0.696129501,0.394451588,-3.204834938,1.364128113,0.260485709,-3.671904564,-0.140970513,-1.299045920,-0.269508094
35,699.984,1786880068865.599,14856683.534,0.000000000,4.382664680,-5.365693092,4.616498470,0.810446143,5.282505512,-0.344877541,4.046793461,-12.527083397,8.850887299,-35.114025116,34.934043884,-1.010536075,2.086456299,-2.803023338,-9.651957512,0.697737694,2.065065622,0.239159927,-1.704100251,-0.100135595,-0.750343978,0.271078616,-2.052702904,1.375018477,0.148877680,-3.096659899,-0.128511637,-1.173729897,-0.207572520
36,719.983,1786880068885.597,14856703.532,0.000000000,25.979402542,6.145038605,-4.826662064,-1.377228022,16.006072998,3.415830612,-8.300749779,-6.748006344,1.746782303,-8.294193268,22.130962372,0.634875059,-7.427155495,4.880054474,-11.560399055,-0.606473505,0.691522419,-0.461133331,-2.166887283,0.492339015,-0.721780956,0.156737819,-0.297069669,0.829540074,-0.595480859,-2.870304346,0.022956954,-1.214741468,-0.311886787
