index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33,token_34,token_35,token_36,token_37,token_38,token_39,token_40,token_41,token_42,token_43,token_44,token_45,token_46,token_47,token_48,token_49,token_50,token_51,token_52,token_53,token_54,token_55,token_56,token_57,token_58,token_59,token_60,token_61,token_62,token_63
0,0.000,1786752407299.049,29365221.449,0.000000000,0.250000000,-0.312500000,0.687500000,-0.187500000,-0.687500000,0.062500000,-0.187500000,-0.312500000,0.062500000,0.000000000,0.312500000,-0.125000000,-0.500000000,0.125000000,-0.125000000,-0.125000000,0.687500000,-0.062500000,0.312500000,0.750000000,-0.187500000,-0.187500000,-0.250000000,0.125000000,-0.375000000,0.062500000,0.062500000,0.125000000,-0.437500000,-0.500000000,0.187500000,-0.625000000,-0.187500000,0.000000000,-0.125000000,-0.062500000,0.000000000,-0.187500000,-0.375000000,-0.312500000,0.187500000,-0.187500000,-0.562500000,0.187500000,-0.500000000,-0.312500000,0.312500000,-0.062500000,0.000000000,0.125000000,-0.500000000,0.062500000,-0.625000000,-0.437500000,-0.250000000,0.437500000,0.312500000,-0.062500000,0.437500000,0.250000000,0.312500000,0.125000000,0.062500000,0.250000000
1,19.992,1786752407319.041,29365241.440,0.000000000,0.250000000,-0.312500000,0.687500000,-0.187500000,-0.687500000,0.062500000,-0.187500000,-0.312500000,0.062500000,0.000000000,0.312500000,-0.125000000,-0.500000000,0.125000000,-0.125000000,-0.125000000,0.687500000,-0.062500000,0.312500000,0.750000000,-0.187500000,-0.187500000,-0.250000000,0.125000000,-0.375000000,0.062500000,0.062500000,0.125000000,-0.437500000,-0.500000000,0.187500000,-0.625000000,-0.187500000,0.000000000,-0.125000000,-0.062500000,-0.062500000,-0.187500000,-0.375000000,-0.312500000,0.187500000,-0.187500000,-0.562500000,0.250000000,-0.500000000,-0.312500000,0.312500000,-0.062500000,0.062500000,0.125000000,-0.500000000,0.125000000,-0.625000000,-0.437500000,-0.250000000,0.437500000,0.250000000,-0.062500000,0.437500000,0.250000000,0.312500000,0.125000000,0.062500000,0.250000000
2,39.988,1786752407339.037,29365261.437,0.000000000,0.250000000,-0.312500000,0.687500000,-0.187500000,-0.687500000,0.062500000,-0.187500000,-0.312500000,0.062500000,0.000000000,0.312500000,-0.125000000,-0.500000000,0.125000000,-0.125000000,-0.125000000,0.687500000,-0.062500000,0.312500000,0.750000000,-0.187500000,-0.187500000,-0.250000000,0.125000000,-0.375000000,0.062500000,0.125000000,0.125000000,-0.437500000,-0.500000000,0.187500000,-0.625000000,-0.187500000,0.000000000,-0.125000000,-0.062500000,-0.062500000,-0.187500000,-0.375000000,-0.312500000,0.187500000,-0.187500000,-0.562500000,0.250000000,-0.500000000,-0.312500000,0.312500000,-0.062500000,0.062500000,0.125000000,-0.500000000,0.125000000,-0.625000000,-0.437500000,-0.250000000,0.437500000,0.250000000,-0.062500000,0.437500000,0.250000000,0.312500000,0.125000000,0.062500000,0.250000000
3,59.989,1786752407359.037,29365281.437,0.000000000,0.250000000,-0.312500000,0.687500000,-0.187500000,-0.687500000,0.062500000,-0.187500000,-0.312500000,0.062500000,0.000000000,0.312500000,-0.125000000,-0.500000000,0.125000000,-0.125000000,-0.125000000,0.687500000,-0.062500000,0.312500000,0.750000000,-0.187500000,-0.187500000,-0.250000000,0.125000000,-0.375000000,0.062500000,0.062500000,0.125000000,-0.437500000,-0.500000000,0.187500000,-0.625000000,-0.187500000,0.000000000,-0.125000000,-0.062500000,0.000000000,-0.187500000,-0.375000000,-0.312500000,0.187500000,-0.187500000,-0.562500000,0.187500000,-0.500000000,-0.312500000,0.312500000,-0.062500000,0.000000000,0.125000000,-0.500000000,0.062500000,-0.625000000,-0.437500000,-0.250000000,0.437500000,0.250000000,-0.062500000,0.437500000,0.250000000,0.312500000,0.125000000,0.062500000,0.250000000
4,79.987,1786752407379.036,29365301.436,0.000000000,0.250000000,-0.312500000,0.687500000,-0.187500000,-0.687500000,0.062500000,-0.187500000,-0.312500000,0.062500000,0.000000000,0.312500000,-0.125000000,-0.500000000,0.125000000,-0.187500000,-0.062500000,0.750000000,-0.062500000,0.312500000,0.750000000,-0.187500000,-0.187500000,-0.250000000,0.125000000,-0.375000000,0.062500000,0.062500000,0.125000000,-0.437500000,-0.500000000,0.250000000,-0.625000000,-0.187500000,0.000000000,-0.125000000,-0.062500000,0.000000000,-0.250000000,-0.312500000,-0.312500000,0.187500000,-0.187500000,-0.562500000,0.187500000,-0.500000000,-0.312500000,0.312500000,-0.062500000,0.000000000,0.125000000,-0.500000000,0.062500000,-0.625000000,-0.437500000,-0.250000000,0.437500000,0.312500000,-0.062500000,0.437500000,0.250000000,0.312500000,0.125000000,0.062500000,0.250000000
5,99.986,1786752407399.034,29365321.434,0.000000000,0.250000000,-0.250000000,0.687500000,-0.187500000,-0.687500000,0.062500000,-0.187500000,-0.312500000,0.062500000,0.062500000,0.312500000,-0.125000000,-0.500000000,0.125000000,-0.187500000,-0.062500000,0.750000000,-0.062500000,0.312500000,0.750000000,-0.187500000,-0.187500000,-0.312500000,0.125000000,-0.375000000,0.062500000,0.062500000,0.125000000,-0.500000000,-0.500000000,0.250000000,-0.625000000,-0.187500000,0.000000000,-0.125000000,-0.062500000,0.000000000,-0.250000000,-0.312500000,-0.312500000,0.187500000,-0.187500000,-0.500000000,0.187500000,-0.437500000,-0.312500000,0.375000000,-0.062500000,-0.062500000,0.125000000,-0.500000000,0.062500000,-0.625000000,-0.375000000,-0.250000000,0.437500000,0.312500000,-0.062500000,0.437500000,0.250000000,0.312500000,0.125000000,0.062500000,0.250000000
6,119.987,1786752407419.036,29365341.436,0.000000000,0.250000000,-0.312500000,0.687500000,-0.187500000,-0.687500000,0.062500000,-0.187500000,-0.312500000,0.062500000,0.000000000,0.312500000,-0.125000000,-0.500000000,0.125000000,-0.125000000,-0.125000000,0.687500000,-0.062500000,0.312500000,0.750000000,-0.187500000,-0.187500000,-0.250000000,0.125000000,-0.375000000,0.062500000,0.062500000,0.125000000,-0.437500000,-0.500000000,0.187500000,-0.625000000,-0.187500000,0.000000000,-0.125000000,-0.062500000,0.000000000,-0.187500000,-0.375000000,-0.312500000,0.187500000,-0.187500000,-0.562500000,0.250000000,-0.500000000,-0.312500000,0.312500000,-0.062500000,0.062500000,0.125000000,-0.500000000,0.062500000,-0.625000000,-0.437500000,-0.250000000,0.437500000,0.250000000,-0.062500000,0.437500000,0.250000000,0.312500000,0.125000000,0.062500000,0.250000000
7,139.987,1786752407439.036,29365361.436,0.000000000,-0.250000000,-0.625000000,0.750000000,0.312500000,-0.375000000,0.125000000,-0.187500000,-0.125000000,0.312500000,-0.562500000,0.250000000,0.000000000,-0.625000000,0.125000000,0.125000000,-0.687500000,0.625000000,-0.312500000,0.437500000,0.750000000,-0.562500000,-0.187500000,0.125000000,-0.500000000,-0.375000000,-0.437500000,0.625000000,0.312500000,-0.250000000,-0.125000000,-0.437500000,-0.500000000,-0.125000000,0.000000000,0.125000000,-0.312500000,-0.687500000,0.562500000,-0.750000000,0.125000000,0.125000000,-0.125000000,-0.625000000,0.625000000,-0.937500000,-0.625000000,-0.312500000,0.062500000,0.875000000,-0.187500000,-0.625000000,0.812500000,-0.750000000,-0.625000000,0.062500000,-0.125000000,-0.312500000,-0.125000000,0.312500000,0.312500000,0.562500000,0.500000000,-0.062500000,0.375000000
8,159.988,1786752407459.037,29365381.437,0.000000000,-0.187500000,-0.625000000,0.750000000,0.375000000,-0.250000000,0.125000000,-0.250000000,-0.062500000,0.250000000,-0.437500000,0.312500000,0.062500000,-0.562500000,0.062500000,0.125000000,-0.625000000,0.625000000,-0.437500000,0.250000000,0.687500000,-0.562500000,0.000000000,-0.062500000,-0.437500000,-0.500000000,-0.437500000,0.437500000,0.312500000,-0.437500000,-0.250000000,-0.375000000,-0.437500000,-0.125000000,-0.250000000,0.187500000,-0.375000000,-0.625000000,0.562500000,-0.625000000,0.187500000,0.187500000,-0.062500000,-0.625000000,0.562500000,-0.812500000,-0.625000000,-0.250000000,0.125000000,0.812500000,-0.312500000,-0.625000000,0.812500000,-0.750000000,-0.562500000,0.000000000,0.000000000,-0.312500000,-0.250000000,0.187500000,0.250000000,0.375000000,0.250000000,-0.187500000,0.125000000
9,179.988,1786752407479.036,29365401.436,0.000000000,0.625000000,0.437500000,0.687500000,-0.562500000,-0.812500000,-0.125000000,0.000000000,-0.250000000,-0.312500000,0.750000000,-0.062500000,-0.125000000,-0.437500000,-0.125000000,-0.500000000,0.500000000,0.812500000,0.250000000,-0.125000000,0.687500000,0.062500000,-0.062500000,-0.750000000,0.562500000,-0.562500000,0.562500000,-0.687500000,-0.062500000,-0.812500000,-0.750000000,0.812500000,-0.812500000,-0.375000000,-0.437500000,-0.562500000,0.000000000,0.625000000,-0.750000000,0.500000000,-0.750000000,0.062500000,-0.187500000,-0.562500000,-0.250000000,0.500000000,0.187500000,0.687500000,0.000000000,-1.000000000,0.500000000,-0.437500000,-0.875000000,-0.187500000,0.062500000,-0.687500000,0.687500000,0.750000000,0.187500000,0.312500000,0.000000000,0.000000000,-0.500000000,0.437500000,-0.250000000
10,199.986,1786752407499.035,29365421.435,0.000000000,0.500000000,0.062500000,0.687500000,-0.312500000,-0.625000000,-0.062500000,-0.125000000,-0.250000000,-0.187500000,0.437500000,0.187500000,0.000000000,-0.437500000,0.000000000,-0.250000000,0.250000000,0.750000000,-0.125000000,-0.062500000,0.687500000,-0.125000000,0.000000000,-0.625000000,0.437500000,-0.500000000,0.250000000,-0.437500000,0.062500000,-0.750000000,-0.687500000,0.562500000,-0.687500000,-0.250000000,-0.437500000,-0.250000000,-0.125000000,0.250000000,-0.500000000,0.125000000,-0.500000000,0.250000000,-0.187500000,-0.562500000,-0.062500000,0.125000000,-0.125000000,0.500000000,0.062500000,-0.812500000,0.250000000,-0.500000000,-0.562500000,-0.500000000,-0.187500000,-0.437500000,0.562500000,0.437500000,0.000000000,0.187500000,0.125000000,0.062500000,-0.375000000,0.187500000,-0.250000000
11,219.987,1786752407519.036,29365441.436,0.000000000,-0.375000000,-0.687500000,0.750000000,0.437500000,-0.187500000,0.187500000,-0.250000000,0.000000000,0.375000000,-0.625000000,0.312500000,0.062500000,-0.562500000,0.125000000,0.187500000,-0.750000000,0.562500000,-0.500000000,0.312500000,0.687500000,-0.625000000,-0.125000000,0.187500000,-0.687500000,-0.437500000,-0.562500000,0.687500000,0.375000000,-0.312500000,-0.062500000,-0.562500000,-0.437500000,-0.125000000,-0.125000000,0.250000000,-0.375000000,-0.812500000,0.687500000,-0.750000000,0.312500000,0.062500000,-0.062500000,-0.625000000,0.687500000,-0.937500000,-0.750000000,-0.500000000,0.125000000,0.875000000,-0.312500000,-0.687500000,0.875000000,-0.750000000,-0.687500000,0.125000000,-0.250000000,-0.437500000,-0.250000000,0.187500000,0.312500000,0.562500000,0.437500000,-0.187500000,0.312500000
12,239.990,1786752407539.039,29365461.439,0.000000000,-0.187500000,-0.687500000,0.750000000,0.375000000,-0.250000000,0.125000000,-0.250000000,-0.062500000,0.250000000,-0.500000000,0.312500000,0.062500000,-0.562500000,0.062500000,0.125000000,-0.687500000,0.625000000,-0.437500000,0.250000000,0.687500000,-0.562500000,0.000000000,0.000000000,-0.500000000,-0.500000000,-0.500000000,0.500000000,0.312500000,-0.437500000,-0.187500000,-0.375000000,-0.437500000,-0.125000000,-0.250000000,0.187500000,-0.375000000,-0.625000000,0.562500000,-0.687500000,0.187500000,0.125000000,-0.062500000,-0.625000000,0.562500000,-0.875000000,-0.687500000,-0.312500000,0.125000000,0.812500000,-0.312500000,-0.625000000,0.812500000,-0.750000000,-0.625000000,0.062500000,-0.062500000,-0.312500000,-0.250000000,0.187500000,0.250000000,0.437500000,0.250000000,-0.187500000,0.125000000
13,259.991,1786752407559.040,29365481.440,0.000000000,0.562500000,0.187500000,0.687500000,-0.375000000,-0.687500000,-0.062500000,-0.062500000,-0.250000000,-0.250000000,0.500000000,0.125000000,0.000000000,-0.437500000,-0.062500000,-0.312500000,0.312500000,0.750000000,-0.062500000,-0.062500000,0.687500000,-0.062500000,0.000000000,-0.687500000,0.500000000,-0.562500000,0.312500000,-0.500000000,0.000000000,-0.750000000,-0.687500000,0.625000000,-0.750000000,-0.312500000,-0.437500000,-0.312500000,-0.062500000,0.375000000,-0.562500000,0.250000000,-0.562500000,0.187500000,-0.187500000,-0.562500000,-0.125000000,0.250000000,-0.062500000,0.562500000,0.062500000,-0.875000000,0.312500000,-0.500000000,-0.687500000,-0.437500000,-0.125000000,-0.500000000,0.625000000,0.500000000,0.062500000,0.187500000,0.125000000,0.000000000,-0.375000000,0.250000000,-0.250000000
14,279.990,1786752407579.038,29365501.438,0.000000000,0.125000000,-0.500000000,0.750000000,0.187500000,-0.375000000,0.062500000,-0.187500000,-0.187500000,0.062500000,-0.187500000,0.375000000,0.062500000,-0.562500000,0.062500000,0.062500000,-0.375000000,0.625000000,-0.375000000,0.187500000,0.687500000,-0.437500000,0.125000000,-0.312500000,-0.062500000,-0.500000000,-0.250000000,0.125000000,0.187500000,-0.625000000,-0.437500000,0.000000000,-0.500000000,-0.125000000,-0.375000000,0.125000000,-0.312500000,-0.375000000,0.187500000,-0.500000000,-0.062500000,0.250000000,-0.125000000,-0.625000000,0.375000000,-0.625000000,-0.500000000,0.062500000,0.125000000,0.375000000,-0.187500000,-0.562500000,0.500000000,-0.750000000,-0.500000000,-0.125000000,0.250000000,-0.062500000,-0.187500000,0.187500000,0.250000000,0.187500000,0.000000000,-0.125000000,-0.062500000
15,299.985,1786752407599.034,29365521.434,0.000000000,-0.312500000,-0.687500000,0.750000000,0.375000000,-0.187500000,0.187500000,-0.250000000,0.000000000,0.312500000,-0.562500000,0.312500000,0.062500000,-0.562500000,0.125000000,0.125000000,-0.750000000,0.562500000,-0.500000000,0.250000000,0.687500000,-0.625000000,-0.062500000,0.125000000,-0.625000000,-0.500000000,-0.562500000,0.625000000,0.375000000,-0.375000000,-0.125000000,-0.500000000,-0.437500000,-0.125000000,-0.187500000,0.250000000,-0.375000000,-0.750000000,0.687500000,-0.750000000,0.250000000,0.062500000,-0.062500000,-0.625000000,0.625000000,-0.937500000,-0.687500000,-0.437500000,0.125000000,0.875000000,-0.312500000,-0.687500000,0.875000000,-0.750000000,-0.625000000,0.062500000,-0.187500000,-0.375000000,-0.250000000,0.187500000,0.312500000,0.500000000,0.375000000,-0.187500000,0.250000000
16,319.992,1786752407619.040,29365541.440,0.000000000,-0.312500000,-0.687500000,0.750000000,0.375000000,-0.250000000,0.187500000,-0.250000000,0.000000000,0.312500000,-0.562500000,0.312500000,0.062500000,-0.562500000,0.125000000,0.125000000,-0.750000000,0.562500000,-0.500000000,0.250000000,0.687500000,-0.625000000,0.000000000,0.062500000,-0.562500000,-0.500000000,-0.500000000,0.562500000,0.312500000,-0.375000000,-0.125000000,-0.500000000,-0.437500000,-0.125000000,-0.187500000,0.250000000,-0.375000000,-0.750000000,0.625000000,-0.687500000,0.250000000,0.125000000,-0.062500000,-0.625000000,0.625000000,-0.875000000,-0.687500000,-0.375000000,0.125000000,0.875000000,-0.312500000,-0.687500000,0.875000000,-0.750000000,-0.625000000,0.062500000,-0.125000000,-0.375000000,-0.250000000,0.187500000,0.312500000,0.500000000,0.375000000,-0.187500000,0.187500000
17,339.990,1786752407639.039,29365561.439,0.000000000,0.187500000,-0.500000000,0.750000000,0.187500000,-0.375000000,0.062500000,-0.187500000,-0.187500000,0.062500000,-0.125000000,0.375000000,0.062500000,-0.562500000,0.062500000,0.000000000,-0.312500000,0.625000000,-0.375000000,0.187500000,0.687500000,-0.375000000,0.125000000,-0.312500000,0.000000000,-0.500000000,-0.250000000,0.062500000,0.187500000,-0.625000000,-0.437500000,0.062500000,-0.500000000,-0.125000000,-0.437500000,0.125000000,-0.312500000,-0.312500000,0.125000000,-0.437500000,-0.062500000,0.312500000,-0.125000000,-0.625000000,0.375000000,-0.562500000,-0.500000000,0.125000000,0.125000000,0.312500000,-0.125000000,-0.562500000,0.437500000,-0.750000000,-0.500000000,-0.125000000,0.250000000,-0.062500000,-0.187500000,0.125000000,0.250000000,0.187500000,-0.062500000,-0.125000000,-0.125000000
18,359.990,1786752407659.039,29365581.439,0.000000000,0.375000000,-0.250000000,0.687500000,-0.062500000,-0.500000000,0.000000000,-0.187500000,-0.250000000,-0.062500000,0.125000000,0.312500000,0.062500000,-0.500000000,0.062500000,-0.062500000,-0.062500000,0.687500000,-0.250000000,0.062500000,0.687500000,-0.250000000,0.062500000,-0.500000000,0.250000000,-0.500000000,-0.062500000,-0.187500000,0.125000000,-0.687500000,-0.562500000,0.312500000,-0.562500000,-0.187500000,-0.437500000,-0.062500000,-0.187500000,0.000000000,-0.187500000,-0.187500000,-0.250000000,0.250000000,-0.187500000,-0.562500000,0.187500000,-0.187500000,-0.375000000,0.312500000,0.062500000,-0.312500000,0.000000000,-0.500000000,-0.062500000,-0.687500000,-0.375000000,-0.250000000,0.437500000,0.187500000,-0.125000000,0.125000000,0.187500000,0.062500000,-0.187500000,0.000000000,-0.187500000
19,379.991,1786752407679.040,29365601.440,0.000000000,0.125000000,-0.500000000,0.750000000,0.187500000,-0.375000000,0.062500000,-0.187500000,-0.187500000,0.062500000,-0.125000000,0.375000000,0.062500000,-0.562500000,0.062500000,0.062500000,-0.375000000,0.625000000,-0.375000000,0.187500000,0.687500000,-0.437500000,0.125000000,-0.312500000,-0.062500000,-0.500000000,-0.250000000,0.125000000,0.187500000,-0.625000000,-0.437500000,0.000000000,-0.500000000,-0.125000000,-0.375000000,0.125000000,-0.312500000,-0.375000000,0.187500000,-0.437500000,-0.062500000,0.250000000,-0.125000000,-0.625000000,0.375000000,-0.562500000,-0.500000000,0.062500000,0.125000000,0.375000000,-0.187500000,-0.562500000,0.500000000,-0.750000000,-0.500000000,-0.125000000,0.250000000,-0.062500000,-0.187500000,0.187500000,0.250000000,0.187500000,0.000000000,-0.125000000,-0.062500000
