index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28
14,279.986,1786751905796.017,28863718.417,0.000000000,-0.743107378,0.415200323,-0.578482211,1.494572639,-0.295786619,-0.098901540,-0.422779769,-0.036690876,0.389052302,1.606509924,-0.518103778,0.156262279,0.123751603,0.002286909,0.190635234,-0.120236658,0.182226554,-0.053955376,0.398889095,-0.097769789,0.060605384,0.089671358,-0.224505499,-0.535014033,0.257006079,0.199058309,0.154602587,0.043724578,-0.236444175
15,299.989,1786751905816.019,28863738.420,0.000000000,-0.734773874,0.391227216,-0.606597006,1.541841269,-0.258991152,-0.086279549,-0.540966988,-0.061490908,0.297048539,1.646654844,-0.728390038,0.150029674,0.111192487,0.022305707,0.184605137,-0.107868910,0.192848638,-0.040323772,0.366908640,-0.098193020,0.058889333,0.112648889,-0.242992222,-0.555964530,0.282100260,0.145490125,0.171573505,0.027988473,-0.242336527
16,319.988,1786751905836.019,28863758.419,0.000000000,-0.696498871,0.352130204,-0.616525412,1.573447108,-0.290167600,-0.070251152,-0.678385198,-0.081471570,0.180475116,1.629751563,-0.784105480,0.123856574,0.084706232,0.046355747,0.175185531,-0.073068939,0.204096258,-0.015111811,0.308985770,-0.094889455,0.059137113,0.125311702,-0.262605071,-0.558444381,0.292640060,0.097140647,0.179394007,0.012426563,-0.240149677
17,339.985,1786751905856.016,28863778.416,0.000000000,-0.652592480,0.284901023,-0.619747043,1.623972893,-0.378660262,-0.069385655,-0.779726982,-0.094797008,0.102816679,1.549881816,-0.746468484,0.078864396,0.036845181,0.065608621,0.169934392,-0.035329197,0.218674108,0.007415876,0.256369621,-0.086954683,0.049102567,0.133017987,-0.273514986,-0.553416312,0.296552956,0.055227201,0.169466183,0.005211662,-0.239952862
18,359.985,1786751905876.015,28863798.415,0.000000000,-0.621834636,0.208711714,-0.614828765,1.696365237,-0.456804425,-0.065074325,-0.803769529,-0.115281329,0.133477390,1.501477599,-0.518635452,0.080173790,-0.012810136,0.071653664,0.174241886,-0.023278400,0.237410694,0.005542494,0.236795649,-0.081952393,0.032742433,0.137106374,-0.254284471,-0.554423094,0.286783010,0.022563312,0.136501491,0.006421091,-0.248418152
19,379.989,1786751905896.019,28863818.419,0.000000000,-0.617997944,0.193996876,-0.606314301,1.745685935,-0.507141054,-0.076336533,-0.770849288,-0.114764750,0.203670248,1.529960275,-0.645313680,0.116008133,-0.017969912,0.104526483,0.168328151,-0.037687287,0.242106527,-0.026199734,0.260872602,-0.077057555,0.020102352,0.138230383,-0.204426423,-0.570869803,0.267761946,0.015391697,0.091966599,0.013777855,-0.261650085
20,399.987,1786751905916.018,28863838.418,0.000000000,-0.616571009,0.196792036,-0.583970785,1.776942492,-0.531366289,-0.102043346,-0.752358139,-0.123618826,0.253966630,1.553178906,-0.698584855,0.133722708,0.002097779,0.121004604,0.165873826,-0.052623756,0.244197503,-0.056549788,0.292060614,-0.072398692,0.015736014,0.136818543,-0.166545615,-0.583342195,0.259817302,0.027630838,0.065726288,0.029121663,-0.270381749
21,419.990,1786751905936.021,28863858.421,0.000000000,-0.635490537,0.207789257,-0.550563633,1.836276412,-0.543521464,-0.151044682,-0.713787436,-0.138791576,0.323751569,1.552428842,-0.733472586,0.103136830,0.030405262,0.131319195,0.169367567,-0.070847280,0.249849841,-0.092219494,0.342382938,-0.068981364,0.015218576,0.129722953,-0.125650868,-0.596393526,0.262744337,0.056371387,0.047626834,0.061573427,-0.275394648
22,439.987,1786751905956.018,28863878.418,0.000000000,-0.687251627,0.236607254,-0.551201344,1.896624446,-0.532387257,-0.195432410,-0.648728013,-0.133664921,0.401978314,1.495571852,-0.740760863,0.084648348,0.055929538,0.147832111,0.174402103,-0.089075953,0.257399499,-0.122180194,0.401209354,-0.069031484,0.020781090,0.116451524,-0.096233122,-0.606034994,0.276108801,0.090471640,0.042732514,0.100545295,-0.274029195
23,459.988,1786751905976.019,28863898.419,0.000000000,-0.766935706,0.289425164,-0.567987025,1.917857289,-0.517220914,-0.214112893,-0.573131740,-0.106995597,0.537275016,1.384586811,-0.777795434,0.074583806,0.098475091,0.131511122,0.166475058,-0.104381494,0.281107187,-0.136904150,0.452777296,-0.076261327,0.028894277,0.100435041,-0.080383338,-0.596224427,0.298385382,0.124174170,0.044973500,0.143442586,-0.263495117
24,479.986,1786751905996.017,28863918.417,0.000000000,-0.833702207,0.368807316,-0.595963478,1.877906680,-0.499635100,-0.192921758,-0.521279275,-0.096328661,0.665202200,1.307269454,-0.736870706,0.102516852,0.148181200,0.081051461,0.185066596,-0.124947667,0.320575178,-0.126230463,0.491442531,-0.094045520,0.030986063,0.090255976,-0.091748782,-0.576831758,0.325965285,0.150659189,0.049714006,0.180161580,-0.240602821
25,499.986,1786751906016.017,28863938.417,0.000000000,-0.877708733,0.446343631,-0.633979142,1.754693508,-0.445735157,-0.151495576,-0.489320010,-0.114987344,0.709536016,1.266039968,-0.617470980,0.140448734,0.174542725,0.042468503,0.233677357,-0.147228524,0.353972584,-0.092666902,0.518543184,-0.112045705,0.033674758,0.088620640,-0.121484891,-0.569852650,0.347504765,0.162976190,0.050145715,0.198863119,-0.214137718
