index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_qw,torso_qx,torso_qy,torso_qz
0,0.000,1786751905516.031,28863438.431,0.000000000,0.999938905,-0.000076618,0.011053966,-0.000000242
1,19.990,1786751905536.020,28863458.420,0.000000000,0.999938071,0.000087843,0.011101060,-0.000753784
2,39.988,1786751905556.018,28863478.418,0.000000000,0.999793231,-0.000166303,0.018210329,-0.009046312
3,59.990,1786751905576.020,28863498.420,0.000000000,0.999144554,-0.002290570,0.034231186,-0.023090629
4,79.988,1786751905596.018,28863518.419,0.000000000,0.998020291,-0.004309811,0.050301563,-0.037505601
5,99.986,1786751905616.017,28863538.417,0.000000000,0.997036695,-0.004391947,0.062339116,-0.044860031
6,119.985,1786751905636.016,28863558.416,0.000000000,0.997023582,-0.002685979,0.068351164,-0.035565089
7,139.988,1786751905656.018,28863578.418,0.000000000,0.997012258,0.004930603,0.075981446,-0.013002458
8,159.988,1786751905676.019,28863598.419,0.000000000,0.996892333,0.013831611,0.076959006,0.009576908
9,179.985,1786751905696.016,28863618.416,0.000000000,0.996546924,0.022086557,0.071376346,0.036218598
10,199.987,1786751905716.018,28863638.418,0.000000000,0.996350944,0.020995580,0.063182093,0.053404305
11,219.989,1786751905736.020,28863658.420,0.000000000,0.996013701,0.010096823,0.059026867,0.066110738
12,239.987,1786751905756.018,28863678.418,0.000000000,0.994949043,-0.003626560,0.061895471,0.078944132
13,259.988,1786751905776.018,28863698.418,0.000000000,0.993942320,-0.015264941,0.066273026,0.086333983
14,279.986,1786751905796.017,28863718.417,0.000000000,0.994116127,-0.019147363,0.065422133,0.084180802
15,299.989,1786751905816.019,28863738.420,0.000000000,0.995124042,-0.014196279,0.063311718,0.074284680
16,319.988,1786751905836.019,28863758.419,0.000000000,0.996580303,-0.003827394,0.062450785,0.053971279
17,339.985,1786751905856.016,28863778.416,0.000000000,0.997721612,0.008446771,0.061104264,0.027321860
18,359.985,1786751905876.015,28863798.415,0.000000000,0.998216927,0.018068783,0.056154087,0.009118901
19,379.989,1786751905896.019,28863818.419,0.000000000,0.998427570,0.027494047,0.047759045,0.010272509
20,399.987,1786751905916.018,28863838.418,0.000000000,0.998448491,0.033094149,0.041279275,0.017361000
21,419.990,1786751905936.021,28863858.421,0.000000000,0.998388708,0.035653993,0.035015952,0.026881585
22,439.987,1786751905956.018,28863878.418,0.000000000,0.998285651,0.034735121,0.031017087,0.035457041
23,459.988,1786751905976.019,28863898.419,0.000000000,0.998371720,0.025102893,0.028905459,0.042287476
24,479.986,1786751905996.017,28863918.417,0.000000000,0.998421073,0.001562544,0.032776523,0.045591671
25,499.986,1786751906016.017,28863938.417,0.000000000,0.997737229,-0.025832282,0.044229034,0.043553762
26,519.985,1786751906036.016,28863958.416,0.000000000,0.996377945,-0.049847886,0.055224273,0.041188598
