index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_wx,torso_wy,torso_wz
0,0.000,1786751905516.031,28863438.431,0.000000000,-0.001988474,0.203567222,-0.000279830
1,19.990,1786751905536.020,28863458.420,0.000000000,0.075819239,-0.659376919,-0.304706931
2,39.988,1786751905556.018,28863478.418,0.000000000,-0.069616653,1.015210629,-1.111354709
3,59.990,1786751905576.020,28863498.420,0.000000000,-0.168042973,1.709176540,-1.527559280
4,79.988,1786751905596.018,28863518.419,0.000000000,-0.071538679,1.497130275,-1.347215772
5,99.986,1786751905616.017,28863538.417,0.000000000,0.071742535,0.970087051,-0.012896083
6,119.985,1786751905636.016,28863558.416,0.000000000,0.019918185,0.528773963,1.539088368
7,139.988,1786751905656.018,28863578.418,0.000000000,0.735119164,0.678412557,2.844141722
8,159.988,1786751905676.019,28863598.419,0.000000000,0.753635585,0.063548632,3.147473097
9,179.985,1786751905696.016,28863618.416,0.000000000,0.230420798,-0.620012105,2.350469589
10,199.987,1786751905716.018,28863638.418,0.000000000,-0.789170325,-0.772513449,1.379615545
11,219.989,1786751905736.020,28863658.420,0.000000000,-1.485710502,-0.221562147,1.155778527
12,239.987,1786751905756.018,28863678.418,0.000000000,-1.441740990,0.457068563,1.022734165
13,259.988,1786751905776.018,28863698.418,0.000000000,-0.991203904,0.033383485,0.318652064
14,279.986,1786751905796.017,28863718.417,0.000000000,0.011341646,-0.258093059,-0.560570478
15,299.989,1786751905816.019,28863738.420,0.000000000,0.898873210,-0.351282597,-1.273077488
16,319.988,1786751905836.019,28863758.419,0.000000000,1.324330211,-0.118008249,-2.339020252
17,339.985,1786751905856.016,28863778.416,0.000000000,1.471013427,-0.304790258,-2.428912878
18,359.985,1786751905876.015,28863798.415,0.000000000,0.925310731,-0.673622966,-0.843230665
19,379.989,1786751905896.019,28863818.419,0.000000000,0.798861623,-0.959115446,0.737414122
20,399.987,1786751905916.018,28863838.418,0.000000000,0.526611686,-0.741983116,1.076876879
21,419.990,1786751905936.021,28863858.421,0.000000000,0.067080289,-0.542520881,0.940246403
22,439.987,1786751905956.018,28863878.418,0.000000000,-0.347629398,-0.268810987,0.795775115
23,459.988,1786751905976.019,28863898.419,0.000000000,-1.636989474,-0.133119002,0.475059450
24,479.986,1786751905996.017,28863918.417,0.000000000,-2.639366865,0.878304899,-0.081538551
25,499.986,1786751906016.017,28863938.417,0.000000000,-2.655200481,1.435981035,-0.486407071
26,519.985,1786751906036.016,28863958.416,0.000000000,-2.201843023,0.862243772,-0.242955133
27,539.985,1786751906056.016,28863978.416,0.000000000,-1.476146102,-0.244786665,0.103061296
28,559.984,1786751906076.015,28863998.415,0.000000000,-0.963133991,-1.083554983,-0.095334962
29,579.985,1786751906096.016,28864018.416,0.000000000,-1.648824930,-0.167862013,-0.624494135
30,599.986,1786751906116.016,28864038.416,0.000000000,-1.906923056,0.293885708,-0.943346620
31,619.986,1786751906136.016,28864058.416,0.000000000,-1.555683494,0.610762119,-0.824251056
32,639.984,1786751906156.015,28864078.415,0.000000000,-0.906499088,0.771762133,-0.283910513
33,659.985,1786751906176.016,28864098.416,0.000000000,-0.275336891,0.477771729,0.202586293
34,679.986,1786751906196.017,28864118.417,0.000000000,0.811932206,-0.631715536,-0.058732245
35,699.984,1786751906216.015,28864138.415,0.000000000,0.716471553,-1.905325413,-0.721619606
36,719.986,1786751906236.016,28864158.416,0.000000000,-0.255570173,-2.137279034,-1.333726406
37,739.985,1786751906256.016,28864178.416,0.000000000,-0.547772944,-2.357977390,-1.372350931
38,759.985,1786751906276.016,28864198.416,0.000000000,-0.299257964,-2.712888718,-0.801517069
39,779.985,1786751906296.016,28864218.416,0.000000000,-0.826777220,-2.559790850,-0.077185228
40,799.985,1786751906316.016,28864238.416,0.000000000,-1.938771248,-1.897022367,0.925503671
41,819.985,1786751906336.016,28864258.416,0.000000000,-2.432566404,-1.591715693,1.701820970
42,839.985,1786751906356.015,28864278.415,0.000000000,-1.684770823,-1.532452822,1.758406639
43,859.987,1786751906376.017,28864298.417,0.000000000,-1.165560365,-0.295531362,1.289139628
44,879.984,1786751906396.015,28864318.415,0.000000000,-1.206079602,0.128345996,0.289554656
45,899.985,1786751906416.016,28864338.416,0.000000000,-1.343203068,-0.143298700,-0.573231041
46,919.988,1786751906436.019,28864358.419,0.000000000,-1.387191534,0.700080276,-0.809909880
47,939.985,1786751906456.016,28864378.416,0.000000000,-1.856495738,0.685185313,-0.286693156
48,959.985,1786751906476.016,28864398.416,0.000000000,-2.217188358,-0.268336654,0.638484001
49,979.984,1786751906496.015,28864418.415,0.000000000,-1.542111039,-1.458910704,0.703039229
50,999.984,1786751906516.015,28864438.415,0.000000000,0.018683739,-1.659931779,0.004209053
51,1019.985,1786751906536.015,28864458.415,0.000000000,-0.020277379,-2.286421537,-0.371493876
52,1039.984,1786751906556.014,28864478.415,0.000000000,-0.719319582,-1.923384070,-0.342355609
53,1059.983,1786751906576.014,28864498.414,0.000000000,-1.274932861,-1.376274347,-0.606610417
54,1079.992,1786751906596.022,28864518.422,0.000000000,-2.221498728,-1.050290346,-0.809326470
55,1099.986,1786751906616.017,28864538.417,0.000000000,-3.301749945,-1.038569450,-0.110250816
56,1119.986,1786751906636.017,28864558.417,0.000000000,-4.191529751,-1.421751738,0.840029538
57,1139.986,1786751906656.017,28864578.417,0.000000000,-4.094377995,-1.821858287,1.081878185
