index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_wx,base_wy,base_wz
0,0.000,1786751905516.031,28863438.431,0.000000000,-0.000264204,0.462143838,-0.000099827
1,19.990,1786751905536.020,28863458.420,0.000000000,-0.558436453,2.801147699,0.245718479
2,39.988,1786751905556.018,28863478.418,0.000000000,-0.283914208,1.844304442,-0.053487927
3,59.990,1786751905576.020,28863498.420,0.000000000,-0.148070931,1.196853757,0.026870431
4,79.988,1786751905596.018,28863518.419,0.000000000,-0.324546218,0.600572348,0.231478512
5,99.986,1786751905616.017,28863538.417,0.000000000,-0.519618094,0.407075077,-0.136805013
6,119.985,1786751905636.016,28863558.416,0.000000000,-0.119472370,-0.150891200,-1.074644566
7,139.988,1786751905656.018,28863578.418,0.000000000,-1.027532339,-1.399819374,0.413571328
8,159.988,1786751905676.019,28863598.419,0.000000000,-0.252373517,-1.662755609,0.316501439
9,179.985,1786751905696.016,28863618.416,0.000000000,0.582253516,-1.705490708,0.116416745
10,199.987,1786751905716.018,28863638.418,0.000000000,1.502242088,-1.588734150,0.884674132
11,219.989,1786751905736.020,28863658.420,0.000000000,1.019259334,-2.049047232,0.526684642
12,239.987,1786751905756.018,28863678.418,0.000000000,-0.275357008,-2.514496326,-0.002593648
13,259.988,1786751905776.018,28863698.418,0.000000000,-0.271482438,-1.096630454,0.303001076
14,279.986,1786751905796.017,28863718.417,0.000000000,-0.316688925,-0.281906039,-0.171057165
15,299.989,1786751905816.019,28863738.420,0.000000000,-0.642019808,0.367178738,-0.975651085
16,319.988,1786751905836.019,28863758.419,0.000000000,-0.333714396,0.420861125,-1.006009221
17,339.985,1786751905856.016,28863778.416,0.000000000,0.341195375,0.082452223,-0.020405382
18,359.985,1786751905876.015,28863798.415,0.000000000,0.087066337,-0.956286073,1.498486042
19,379.989,1786751905896.019,28863818.419,0.000000000,-0.539370656,-0.468493849,0.005264495
20,399.987,1786751905916.018,28863838.418,0.000000000,-0.192464560,-0.860074699,-0.693120420
21,419.990,1786751905936.021,28863858.421,0.000000000,-0.612011194,-0.802687705,-0.340456992
22,439.987,1786751905956.018,28863878.418,0.000000000,-1.362392426,-0.552603960,-0.592793584
23,459.988,1786751905976.019,28863898.419,0.000000000,0.130264446,0.249070942,-1.991051912
24,479.986,1786751905996.017,28863918.417,0.000000000,-0.165418863,-0.679103076,-1.814492583
25,499.986,1786751906016.017,28863938.417,0.000000000,-0.692349136,-1.462060690,-0.772533476
26,519.985,1786751906036.016,28863958.416,0.000000000,-0.780365765,-1.167443991,0.492774367
27,539.985,1786751906056.016,28863978.416,0.000000000,-1.381967068,-0.560871899,0.642604470
28,559.984,1786751906076.015,28863998.415,0.000000000,-1.306733727,-0.222168535,0.214172497
29,579.985,1786751906096.016,28864018.416,0.000000000,0.084933102,-1.054193854,0.285985202
30,599.986,1786751906116.016,28864038.416,0.000000000,0.750876486,-0.041434802,0.493070215
31,619.986,1786751906136.016,28864058.416,0.000000000,1.039225101,0.340712458,0.187220261
32,639.984,1786751906156.015,28864078.415,0.000000000,1.619625092,0.236103714,0.365055323
33,659.985,1786751906176.016,28864098.416,0.000000000,1.504381776,-0.504023254,-0.573224604
34,679.986,1786751906196.017,28864118.417,0.000000000,-2.544437408,-0.700701177,-0.561771691
35,699.984,1786751906216.015,28864138.415,0.000000000,-2.745668888,-0.963417947,-0.870529950
36,719.986,1786751906236.016,28864158.416,0.000000000,-1.807645082,-2.388251066,-1.257695079
37,739.985,1786751906256.016,28864178.416,0.000000000,-1.511024117,-2.543110847,-0.358443320
38,759.985,1786751906276.016,28864198.416,0.000000000,-0.726073921,-2.280688286,-0.751167834
39,779.985,1786751906296.016,28864218.416,0.000000000,0.884009182,-2.103596449,-1.220031261
40,799.985,1786751906316.016,28864238.416,0.000000000,1.756466746,-1.380003333,-0.526884854
41,819.985,1786751906336.016,28864258.416,0.000000000,2.434312344,0.193343729,0.414364368
42,839.985,1786751906356.015,28864278.415,0.000000000,-0.961864769,0.800041258,1.441155791
43,859.987,1786751906376.017,28864298.417,0.000000000,-2.779958248,-1.041383266,1.674910426
44,879.984,1786751906396.015,28864318.415,0.000000000,-3.228893042,-1.418601871,0.305763751
45,899.985,1786751906416.016,28864338.416,0.000000000,-2.502349615,-1.033175230,0.238435000
46,919.988,1786751906436.019,28864358.419,0.000000000,-1.413713813,-2.525174856,0.560816586
47,939.985,1786751906456.016,28864378.416,0.000000000,0.415848434,-1.886295915,-1.013759017
48,959.985,1786751906476.016,28864398.416,0.000000000,1.388126254,0.255279899,-1.856511116
49,979.984,1786751906496.015,28864418.415,0.000000000,1.195863008,1.421633840,-0.047650538
50,999.984,1786751906516.015,28864438.415,0.000000000,-1.489687324,-0.693245590,1.854890823
51,1019.985,1786751906536.015,28864458.415,0.000000000,-1.889817715,-0.526127517,1.521125078
52,1039.984,1786751906556.014,28864478.415,0.000000000,-1.761603236,-1.670960665,-0.155495659
53,1059.983,1786751906576.014,28864498.414,0.000000000,-1.667188406,-2.805187941,-0.569950759
54,1079.992,1786751906596.022,28864518.422,0.000000000,-2.017069578,-3.434648514,-1.296005845
55,1099.986,1786751906616.017,28864538.417,0.000000000,-1.478165150,-2.678940296,-1.873893499
56,1119.986,1786751906636.017,28864558.417,0.000000000,0.323278546,-1.031328797,-2.002285242
57,1139.986,1786751906656.017,28864578.417,0.000000000,0.885162473,0.135491833,-0.631131470
58,1159.985,1786751906676.016,28864598.416,0.000000000,-1.186473608,-0.652926445,0.313753575
59,1179.985,1786751906696.016,28864618.416,0.000000000,-2.337986708,-2.371245623,0.418122590
60,1199.984,1786751906716.014,28864638.415,0.000000000,-2.589336872,-2.511496544,0.060611296
