index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,dq_16,dq_17,dq_18,dq_19,dq_20,dq_21,dq_22,dq_23,dq_24,dq_25,dq_26,dq_27,dq_28
10,199.981,1786883984822.448,18772640.383,0.000000000,1.439304352,-0.939019024,0.380859077,-1.783904910,1.349658251,-0.661398709,2.068741560,-2.478250980,-1.577430010,-2.663367987,1.332713127,0.578977823,-1.222369313,-0.666338623,1.785003781,0.010746544,0.842793524,-0.489025474,-2.437990904,-0.084555045,-1.301560998,0.404231906,-5.438910007,-0.969392300,2.537405968,-0.318113774,-1.094067097,-4.535070419,-0.934577942
11,219.981,1786883984842.448,18772660.383,0.000000000,-2.262994051,-2.726340771,2.042385817,5.536273479,13.274635315,-0.684725463,0.936604738,-3.320288181,0.686028719,-2.835805655,0.237393484,0.276588380,0.437890291,-4.611019135,3.946417332,-2.273740292,2.427629471,0.048273623,-1.641394854,0.187223122,-1.706802011,1.233997464,-4.982857227,1.949896216,2.011326313,0.632137299,-1.693424940,-3.569855213,-0.954732358
12,239.990,1786883984862.458,18772680.392,0.000000000,-6.299317360,-1.343091011,2.525408745,9.415657997,-1.028284788,-0.204790547,-4.246991158,-1.552364111,1.857731342,0.676339865,-3.741005182,0.253005773,1.011256576,-4.254071236,0.159846202,-1.686503291,2.381700277,0.192938745,-0.740109324,0.610697389,-1.861157775,1.448104382,-3.100933790,2.559695959,2.649706841,0.509403110,-1.841056705,-2.358573675,-0.546197414
13,259.982,1786883984882.449,18772700.385,0.000000000,-5.915763378,-0.315482199,-2.110245466,8.257470131,-4.388078690,-0.940753579,-2.640504599,1.418697476,0.621024609,5.588683605,-8.885983467,-0.673708200,-1.893846989,-0.109660491,-0.026866831,-2.251610041,0.753050268,0.120104790,0.481515706,1.691237450,-0.696944654,1.218194246,-0.679535449,1.692110896,2.397034168,-0.947908998,-1.206529498,-0.877573907,0.516792417
14,279.977,1786883984902.444,18772720.379,0.000000000,-4.984653473,0.155084550,-2.274350882,6.313572407,-3.399914980,-1.252887964,-3.013828039,1.783193111,0.380460501,6.246447563,-6.257723808,-0.541290700,-1.081371069,0.591147363,-0.150292680,-2.478595257,0.475399613,-0.188291609,0.289576888,1.859022617,0.092581980,1.063397527,0.767192662,1.540435433,1.673893571,-1.830337524,-1.074686170,-0.356009901,1.277542949
15,299.984,1786883984922.452,18772740.387,0.000000000,-2.687900782,1.183637261,-1.820075154,3.765395164,-2.005220890,-1.020657063,-1.157085419,2.059302807,-0.079555385,1.379563451,0.102180026,0.741657615,1.228576779,1.990363836,0.357906461,-2.275259256,-0.041994005,-1.216766357,-0.853067815,2.164998770,0.709758759,0.942493379,3.057956934,0.801328719,0.140358329,-3.502532005,-1.753379822,0.168681473,2.358098745
16,319.977,1786883984942.445,18772760.380,0.000000000,-2.105061054,1.281509161,-1.644501925,2.822298050,-1.485037327,-0.527396381,-0.626457751,1.563324332,-0.840575814,0.925458670,-2.018326759,1.572804213,1.498606443,2.707887411,-0.318416059,-1.279768467,-0.402766883,-1.582821846,-1.236739397,1.768007517,-0.065323204,1.052489400,3.694915771,0.166983426,-0.044064872,-3.133025646,-2.257194281,-0.265126288,2.275120497
17,339.978,1786883984962.446,18772780.381,0.000000000,-2.215123892,0.865353942,-1.122148395,2.566599369,-0.298704654,-0.177698687,-1.370508194,0.963308036,-0.198247254,1.083724618,-1.741761923,0.760753572,1.645379186,2.359493971,-1.587277412,-0.190758035,-0.426865160,-1.505613089,-1.315436006,1.372854471,-0.779146910,1.144241929,3.724410534,-0.105251014,0.002971232,-1.891277194,-2.558638334,-0.851533294,2.072067261
18,359.977,1786883984982.445,18772800.379,0.000000000,-1.297697783,0.022714671,-0.707893372,2.526905298,1.511516690,-0.094777629,-0.819146395,0.353409380,0.708481848,1.041031122,-0.848263741,0.496571302,1.255987644,1.526831627,-1.167279720,0.309747994,-0.238001332,-0.986044526,-1.250802636,1.498153806,-1.164546728,1.112731338,2.946067333,-0.155253083,0.042494897,-0.603428006,-2.496785879,-1.008343101,1.887999654
19,379.978,1786883985002.446,18772820.380,0.000000000,0.510259151,-0.323899925,-0.297349721,2.011409521,2.693352699,-0.084358133,0.589287937,0.153852150,1.432459831,0.652187943,0.236339703,0.304151326,0.818446517,1.073487997,0.248002425,0.267570674,-0.083144657,-0.434341788,-0.869331479,1.431594014,-1.384891629,0.854539216,1.977285385,-0.285540462,0.023787228,0.264029324,-2.079373121,-0.767862499,1.529590249
