index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28
0,0.000,1786880396053.472,15183871.407,0.000000000,-0.299160510,0.003906449,-0.002749511,0.657646179,-0.358240843,0.000032259,-0.299272239,0.003724127,-0.001829208,0.656368017,-0.357902676,0.000032980,-0.015001140,-0.212995991,0.437807739,0.032590758,0.214579657,0.029678719,0.638177872,-0.011844448,0.008527217,0.013771602,0.075665168,-0.052404504,0.054273896,0.645599782,0.003705381,0.016315700,0.011883589
1,20.013,1786880396073.485,15183891.420,0.000000000,-0.337658316,0.000372326,-0.038485907,0.671559274,-0.340582639,-0.003841686,-0.342067510,0.004925441,-0.015422826,0.706103325,-0.347261369,0.002140840,-0.017841903,-0.191844806,0.373865455,0.058859687,0.205238491,0.017123925,0.632946670,0.002130001,0.011473396,0.011376807,0.104105078,-0.064632185,0.055673204,0.638683736,-0.001056290,0.020968761,0.009035072
2,40.012,1786880396093.484,15183911.419,0.000000000,-0.383497238,0.000768145,-0.153005257,0.705727458,-0.326508105,-0.010146432,-0.371723592,0.010677920,-0.049613010,0.811931014,-0.319791883,0.000748559,-0.015643647,-0.152942210,0.308437198,0.095292114,0.197095662,-0.007962029,0.606686056,0.042319961,0.018949229,0.011328531,0.130866006,-0.079729132,0.056924228,0.625422657,-0.018642746,0.042218167,0.000606932
3,59.996,1786880396113.468,15183931.403,0.000000000,-0.430961847,0.005861787,-0.263795018,0.736561298,-0.368739605,-0.023079515,-0.368628263,0.008545070,-0.048822086,0.893686652,-0.317051053,-0.013343575,0.001880018,-0.126605704,0.235188991,0.146595106,0.195914790,-0.042227704,0.558074474,0.072220288,0.025086815,0.011872523,0.158320934,-0.090017118,0.051844634,0.589860976,-0.045360968,0.081827007,-0.003675620
4,79.993,1786880396133.466,15183951.401,0.000000000,-0.488377362,0.046040457,-0.284946054,0.726731122,-0.432219416,-0.023433462,-0.335684150,-0.000079996,-0.030870954,0.950259864,-0.341512263,-0.021375217,0.013154579,-0.102597982,0.151788369,0.215831965,0.191620022,-0.071915112,0.494965136,0.081298217,0.026289305,0.012230484,0.185055360,-0.101686835,0.035616100,0.505038023,-0.081984118,0.135921881,0.002147707
5,99.993,1786880396153.465,15183971.400,0.000000000,-0.526130676,0.114984334,-0.225779817,0.688107908,-0.500159979,-0.007768381,-0.273659319,-0.010243033,-0.035219226,0.991079152,-0.373765290,-0.008823889,0.013947658,-0.057599448,0.085275114,0.292713940,0.175756395,-0.096753590,0.429146409,0.072167233,0.025953226,0.012431702,0.193079114,-0.124403000,0.009340611,0.366009861,-0.123371072,0.193280727,0.012753219
6,119.992,1786880396173.464,15183991.399,0.000000000,-0.499507904,0.163209125,-0.181876585,0.634819150,-0.592801094,-0.001594777,-0.198111877,-0.026448166,-0.040127296,1.009253144,-0.382986516,0.010931318,0.030746346,-0.004808502,0.065159060,0.355594009,0.152412534,-0.121194772,0.364508897,0.040288080,0.025946459,0.012459800,0.158674866,-0.164821148,-0.001143283,0.228570044,-0.145833313,0.203642562,0.007109216
7,139.992,1786880396193.464,15184011.399,0.000000000,-0.444798768,0.184476197,-0.156552657,0.583596885,-0.632954895,-0.011804155,-0.124603510,-0.058618098,-0.059726376,0.993965924,-0.368908823,0.030498978,0.036867265,0.040068492,0.082330674,0.398919880,0.131482676,-0.142031789,0.301058561,0.006817868,0.022422822,0.012948333,0.078835882,-0.214731053,0.020379920,0.134838820,-0.153358296,0.154237121,-0.012973144
8,159.991,1786880396213.463,15184031.398,0.000000000,-0.407222658,0.172001034,-0.146484151,0.556818962,-0.590880334,-0.073748723,-0.064221658,-0.110287584,-0.094000176,0.950548053,-0.338510245,0.046243738,0.019566575,0.049537282,0.118564613,0.419006705,0.127733007,-0.158144191,0.241097212,-0.013190433,0.011075703,0.015954833,-0.027207090,-0.250877231,0.069800414,0.091197856,-0.161007032,0.075315960,-0.036331918
9,179.990,1786880396233.462,15184051.397,0.000000000,-0.430090964,0.106043637,-0.121531397,0.657183468,-0.350989282,-0.113978408,-0.008885844,-0.196072459,-0.103649475,0.869783700,-0.320259333,0.054957706,0.008122861,-0.035387702,0.206722870,0.387250662,0.160424083,-0.157313213,0.199739307,-0.018543066,-0.005998377,0.024810206,-0.144561291,-0.231257841,0.122733966,0.098188482,-0.179606140,-0.007306093,-0.053262658
