index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28
0,0.000,1786879600174.486,14387992.421,0.000000000,-0.294021636,0.003295369,-0.002313409,0.657658696,-0.358016014,0.000028265,-0.294203311,0.003026229,-0.001300770,0.656523585,-0.357699603,0.000029627,-0.014983166,-0.222692132,0.449275821,0.027276492,0.219261616,0.032520380,0.638127327,-0.011871818,0.008194465,0.014804515,0.070404589,-0.048241366,0.055250980,0.646894097,0.003505874,0.016470369,0.011738608
1,19.995,1786879600194.482,14388012.417,0.000000000,-0.342856675,0.000923883,-0.056698576,0.679992139,-0.329066306,-0.006262802,-0.346205771,0.005787719,-0.021948224,0.733716726,-0.339349419,0.003457043,-0.020350961,-0.198215812,0.384073615,0.053272333,0.210279092,0.018462712,0.629330873,0.011792871,0.012550671,0.013313045,0.096498646,-0.060016397,0.057902556,0.638339400,-0.005777832,0.025227400,0.007209515
2,39.993,1786879600214.479,14388032.414,0.000000000,-0.376220614,0.003070763,-0.138500348,0.705826938,-0.320669532,-0.009299612,-0.364797741,0.010291659,-0.043472838,0.809771419,-0.323531389,0.001543026,-0.019047633,-0.170487136,0.339069813,0.079296403,0.204671845,-0.000915678,0.609730482,0.042684548,0.018072883,0.013738857,0.114527375,-0.070097245,0.058722235,0.626996756,-0.021577343,0.042396147,0.001638994
3,60.029,1786879600234.516,14388052.451,0.000000000,-0.417777389,0.008034119,-0.236273453,0.731413543,-0.344682783,-0.024765996,-0.358025938,0.007207987,-0.039432656,0.883270144,-0.324696809,-0.013634769,-0.002705215,-0.145193040,0.272824496,0.124465391,0.199205890,-0.030587630,0.565113783,0.070181347,0.023629455,0.017801823,0.140610546,-0.079660848,0.052259784,0.592177808,-0.050742034,0.080181740,-0.001652318
4,80.007,1786879600254.493,14388072.428,0.000000000,-0.466053993,0.044347793,-0.254976332,0.723172784,-0.373048335,-0.035025962,-0.319866031,0.001771709,-0.019270631,0.927370131,-0.348802477,-0.025848983,0.006850963,-0.116211884,0.193284020,0.189613387,0.188668236,-0.059212666,0.504476547,0.085241824,0.026504206,0.019284772,0.170651212,-0.091408253,0.032727443,0.506559312,-0.091394439,0.133065432,0.005654296
5,99.999,1786879600274.485,14388092.420,0.000000000,-0.500332415,0.110410616,-0.205544502,0.695036471,-0.352650523,-0.029280895,-0.262277752,-0.000973200,-0.026603654,0.953925371,-0.378266335,-0.017865099,0.005636921,-0.059911415,0.115076378,0.271293223,0.166614696,-0.087162212,0.436720282,0.087420106,0.028207911,0.019665942,0.189527377,-0.113492943,0.001589323,0.364952892,-0.141464502,0.187893331,0.019793894
6,120.002,1786879600294.489,14388112.424,0.000000000,-0.480730474,0.159209207,-0.168451190,0.672999680,-0.288993180,-0.026328873,-0.194680527,-0.013474505,-0.041302089,0.957534611,-0.391801149,-0.001762582,0.014176812,0.007671607,0.066854715,0.351595998,0.138117701,-0.114689544,0.367299229,0.083102763,0.028997317,0.019782780,0.169585869,-0.148740247,-0.017802982,0.218592927,-0.187241286,0.202168420,0.024195470
7,140.000,1786879600314.486,14388132.421,0.000000000,-0.417869478,0.178824797,-0.160478309,0.664471745,-0.194898516,-0.026107257,-0.120553195,-0.045459367,-0.063333377,0.926773131,-0.383839160,0.015070767,0.013735371,0.067688838,0.064146332,0.414330781,0.111508995,-0.133338839,0.299747050,0.079073124,0.026083656,0.020566614,0.097405076,-0.191766441,-0.003361721,0.114469610,-0.225695759,0.156629443,0.014644392
8,159.998,1786879600334.484,14388152.419,0.000000000,-0.373095363,0.161090270,-0.184516758,0.706722617,-0.072443277,-0.026765896,-0.054013375,-0.090922371,-0.091658309,0.856345057,-0.350409806,0.026359050,-0.014983781,0.099498488,0.089551106,0.448695719,0.100399762,-0.141598359,0.237657532,0.084082961,0.015391873,0.024400542,-0.007324372,-0.226327986,0.042797457,0.062923871,-0.264139652,0.074376322,-0.005529669
9,179.998,1786879600354.485,14388172.420,0.000000000,-0.409315318,0.098375753,-0.220368311,0.870022714,-0.257259995,-0.049105722,-0.012096547,-0.162244633,-0.120502122,0.758438528,-0.301368743,0.026530631,-0.063831136,0.065833874,0.131133825,0.437500536,0.119554229,-0.132211864,0.189522758,0.098166876,-0.007476390,0.034514148,-0.117714211,-0.228560075,0.090763263,0.055860553,-0.299279451,-0.021896757,-0.033245310
