index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_ax,torso_ay,torso_az
0,0.000,1786877230627.484,12018445.419,0.000000000,0.000000000,0.000000000,0.000000000
1,19.993,1786877230647.478,12018465.413,0.000000000,0.000000000,0.000000000,0.000000000
2,39.991,1786877230667.476,12018485.411,0.000000000,0.000000000,0.000000000,0.000000000
3,59.992,1786877230687.476,12018505.411,0.000000000,0.000000000,0.000000000,0.000000000
4,79.993,1786877230707.477,12018525.412,0.000000000,0.000000000,0.000000000,0.000000000
5,99.993,1786877230727.477,12018545.412,0.000000000,0.000000000,0.000000000,0.000000000
6,119.989,1786877230747.473,12018565.408,0.000000000,0.000000000,0.000000000,0.000000000
7,139.988,1786877230767.473,12018585.408,0.000000000,0.000000000,0.000000000,0.000000000
8,159.988,1786877230787.472,12018605.407,0.000000000,0.000000000,0.000000000,0.000000000
9,179.988,1786877230807.473,12018625.408,0.000000000,0.000000000,0.000000000,0.000000000
10,199.987,1786877230827.471,12018645.406,0.000000000,0.000000000,0.000000000,0.000000000
11,219.987,1786877230847.472,12018665.407,0.000000000,0.000000000,0.000000000,0.000000000
12,239.988,1786877230867.472,12018685.407,0.000000000,0.000000000,0.000000000,0.000000000
13,259.987,1786877230887.472,12018705.407,0.000000000,0.000000000,0.000000000,0.000000000
14,279.989,1786877230907.473,12018725.408,0.000000000,0.000000000,0.000000000,0.000000000
15,299.988,1786877230927.472,12018745.407,0.000000000,0.000000000,0.000000000,0.000000000
16,319.988,1786877230947.473,12018765.408,0.000000000,0.000000000,0.000000000,0.000000000
17,339.990,1786877230967.474,12018785.409,0.000000000,0.000000000,0.000000000,0.000000000
18,359.989,1786877230987.473,12018805.408,0.000000000,0.000000000,0.000000000,0.000000000
19,379.988,1786877231007.472,12018825.407,0.000000000,0.000000000,0.000000000,0.000000000
20,399.987,1786877231027.472,12018845.407,0.000000000,0.000000000,0.000000000,0.000000000
21,419.987,1786877231047.471,12018865.406,0.000000000,0.000000000,0.000000000,0.000000000
22,439.988,1786877231067.472,12018885.407,0.000000000,0.000000000,0.000000000,0.000000000
