index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,right_hand_q_0,right_hand_q_1,right_hand_q_2,right_hand_q_3,right_hand_q_4,right_hand_q_5,right_hand_q_6
12,239.991,1786752133088.015,29091010.415,0.000000000,-0.000053321,-0.000233191,-0.300929278,0.296473116,0.298638761,0.293944567,0.298237562
13,259.994,1786752133108.018,29091030.418,0.000000000,-0.000055902,-0.000242440,-0.326706886,0.321852148,0.324210405,0.319374710,0.323803097
14,279.991,1786752133128.015,29091050.415,0.000000000,-0.000057916,-0.000246177,-0.361186713,0.356605291,0.358596534,0.354375660,0.358200252
15,299.995,1786752133148.019,29091070.419,0.000000000,-0.000058466,-0.000238534,-0.395724386,0.392448366,0.393272132,0.390563011,0.392896980
16,319.994,1786752133168.018,29091090.418,0.000000000,-0.000058395,-0.000224115,-0.430277526,0.429114312,0.428163379,0.427545130,0.427808970
17,339.995,1786752133188.019,29091110.419,0.000000000,-0.000058839,-0.000215097,-0.464877158,0.465883315,0.463139743,0.464465380,0.462794989
18,359.995,1786752133208.019,29091130.419,0.000000000,-0.000061309,-0.000221376,-0.499587089,0.501890659,0.498061568,0.500445962,0.497723162
19,379.993,1786752133228.017,29091150.417,0.000000000,-0.000066101,-0.000259564,-0.534497619,0.536279559,0.532790363,0.534934103,0.532499731
20,399.993,1786752133248.017,29091170.417,0.000000000,-0.000070475,-0.000332590,-0.569641650,0.569205105,0.567308903,0.568049371,0.567090869
21,419.993,1786752133268.017,29091190.417,0.000000000,-0.000072308,-0.000428749,-0.604961038,0.601509988,0.601687491,0.600511312,0.601530790
22,439.993,1786752133288.017,29091210.417,0.000000000,-0.000072274,-0.000517892,-0.640342593,0.633940041,0.636013925,0.633090496,0.635901690
23,459.999,1786752133308.023,29091230.423,0.000000000,-0.000070767,-0.000579142,-0.675664425,0.667097390,0.670382440,0.666352212,0.670291007
24,479.996,1786752133328.020,29091250.420,0.000000000,-0.000068793,-0.000599774,-0.702047467,0.692801893,0.696248412,0.692023218,0.696145594
25,499.994,1786752133348.018,29091270.418,0.000000000,-0.000065808,-0.000593426,-0.737033606,0.728381872,0.730906427,0.727313519,0.730744898
26,519.994,1786752133368.018,29091290.418,0.000000000,-0.000063399,-0.000592361,-0.771866679,0.764908075,0.765690446,0.763297021,0.765437484
27,539.994,1786752133388.018,29091310.418,0.000000000,-0.000061962,-0.000616448,-0.806676567,0.801354110,0.800456405,0.799165487,0.800118029
28,559.993,1786752133408.017,29091330.417,0.000000000,-0.000060905,-0.000644678,-0.841506183,0.837265730,0.835169733,0.834793329,0.834781706
29,579.993,1786752133428.016,29091350.416,0.000000000,-0.000059020,-0.000661341,-0.876317501,0.872899890,0.869865954,0.870476544,0.869451106
30,599.991,1786752133448.014,29091370.415,0.000000000,-0.000056023,-0.000654316,-0.911050379,0.908768117,0.904599428,0.906539440,0.904150844
31,619.992,1786752133468.015,29091390.416,0.000000000,-0.000052820,-0.000626099,-0.945659697,0.945305765,0.939408839,0.943163395,0.938903868
32,639.991,1786752133488.015,29091410.415,0.000000000,-0.000050471,-0.000624915,-0.980223298,0.981894016,0.974201620,0.979847670,0.973643839
33,659.993,1786752133508.017,29091430.417,0.000000000,-0.000048661,-0.000666023,-1.014855623,1.017663240,1.008856535,1.015751839,1.008274198
34,679.993,1786752133528.017,29091450.417,0.000000000,-0.000046498,-0.000712712,-1.049571395,1.052698016,1.043395162,1.050659776,1.042798758
35,699.994,1786752133548.018,29091470.418,0.000000000,-0.000045664,-0.000740304,-1.084332466,1.087466955,1.077916026,1.085018396,1.077310920
36,719.991,1786752133568.015,29091490.415,0.000000000,-0.000046890,-0.000760727,-1.110443354,1.113275051,1.103813529,1.110605597,1.103223085
37,739.991,1786752133588.015,29091510.415,0.000000000,-0.000049312,-0.000788835,-1.145313263,1.147300601,1.138360739,1.144628048,1.137823105
38,760.000,1786752133608.024,29091530.424,0.000000000,-0.000048167,-0.000803238,-1.180141926,1.181238890,1.172894120,1.178804040,1.172399163
39,779.994,1786752133628.017,29091550.418,0.000000000,-0.000044726,-0.000778824,-1.214787960,1.215865016,1.207411647,1.213658094,1.206911087
40,799.993,1786752133648.017,29091570.417,0.000000000,-0.000041981,-0.000741497,-1.249257922,1.251378536,1.241923451,1.249185681,1.241398335
41,819.992,1786752133668.016,29091590.416,0.000000000,-0.000041016,-0.000738911,-1.283692241,1.286760211,1.276399732,1.284715056,1.275863290
42,839.992,1786752133688.016,29091610.416,0.000000000,-0.000039593,-0.000758308,-1.318134308,1.321566582,1.310796976,1.319748044,1.310278654
43,859.995,1786752133708.019,29091630.419,0.000000000,-0.000038056,-0.000772464,-1.352586985,1.356043339,1.345151305,1.354174137,1.344686270
44,879.992,1786752133728.016,29091650.416,0.000000000,-0.000038511,-0.000799270,-1.387088060,1.388672352,1.379515409,1.386946559,1.379112720
45,899.993,1786752133748.017,29091670.417,0.000000000,-0.000037088,-0.000817581,-1.421608925,1.418201566,1.413888097,1.416872382,1.413529992
46,919.992,1786752133768.016,29091690.416,0.000000000,-0.000033207,-0.000809226,-1.456039071,1.444416642,1.448226452,1.443405390,1.447872996
47,939.992,1786752133788.016,29091710.416,0.000000000,-0.000030248,-0.000789247,-1.481778264,1.461740255,1.473950744,1.460923076,1.473564148
