index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_26,act_27,act_28
0,0.000,1786752328892.971,29286815.371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,19.994,1786752328912.965,29286835.365,0.000000000,-0.957851470,-0.752142608,0.266420007,1.316247225,-1.011366129,-0.321281016,-1.719133615,1.750112772,-0.727852345,1.697347522,1.267532349,0.182904422,-0.885764420,-0.240948886,0.127483755,0.105762601,0.465383172,-0.184123039,0.195398226,-0.024333671,-0.160567433,-0.074153557,-0.118034787,0.239890844,-0.082417354,0.053987686,-0.409096837,0.381505907,-0.214608371
2,39.992,1786752328932.963,29286855.363,0.000000000,-1.045368552,-0.834322572,0.357812136,1.346607685,-1.194358468,-0.784198701,-2.130894661,1.671112537,-0.994542599,2.385838270,1.640514374,0.143220395,-1.012067199,-0.307966381,0.112472527,-0.002391189,0.281198859,-0.012129091,0.185120687,-0.135531142,-0.069337286,-0.350415856,-0.381410092,0.054359958,0.040059410,0.002901930,-0.531579077,0.777089119,-0.463625848
3,59.991,1786752328952.962,29286875.362,0.000000000,-0.782190561,-0.400500685,0.014440574,1.202334762,-1.167300940,-0.434637249,-1.862855554,1.590877771,-1.415863276,2.897426128,1.512368321,0.065213487,-0.716736436,-0.487001866,0.062138341,-0.124815211,0.135110527,0.000956692,0.125437945,-0.126612529,0.129913002,-0.451714665,-0.751605749,-0.039688535,0.116813526,-0.035356339,-0.615808785,1.016399741,-0.567694068
4,79.993,1786752328972.964,29286895.364,0.000000000,-0.500897467,0.108792387,-0.290935963,1.003296256,-1.113085151,0.080066644,-1.225199819,1.056444883,-1.159006357,2.503290176,0.645703614,-0.162103012,-0.613668680,-0.403940171,0.149001375,-0.184934780,0.040063795,-0.062498160,0.063125320,-0.072643936,0.288041115,-0.616194606,-1.146410346,-0.213785827,0.178316578,0.038511749,-0.561722696,0.995541453,-0.712946534
5,99.991,1786752328992.962,29286915.362,0.000000000,-0.747747302,0.625406086,0.167368621,0.812944472,-1.130196929,-0.258526266,-0.604389608,1.061953187,-0.438752264,2.386074543,-0.707880020,-0.737235665,-1.127182722,-0.333568633,3.285408735,0.150673106,-0.259432226,-0.006934889,-0.579169035,0.069705948,0.326896995,-0.819634616,-1.381658316,-0.223829389,0.225694194,0.100232914,-0.485029876,1.035561204,-0.749432027
6,119.992,1786752329012.962,29286935.363,0.000000000,-1.189248681,0.766134918,0.399137825,0.974070489,-1.044619441,-0.273795009,-0.824133694,1.812324047,0.250826150,2.304436207,-0.560171008,-1.278050542,-1.612265944,-0.472670645,4.406037331,0.490600705,-0.551065445,-0.118120886,-0.885804951,0.272162020,0.311727375,-0.945611358,-1.485286236,-0.112311997,0.224973723,-0.092996761,-0.356498361,0.943568349,-0.854071617
7,139.992,1786752329032.963,29286955.363,0.000000000,-1.419446468,1.049850225,0.552943587,1.153588414,-1.498209596,-0.670743108,-1.071974993,2.835806608,0.379063547,2.539640665,-1.003451109,-1.333748698,-1.842396140,-0.532377720,4.796882629,0.680303633,-0.549189806,-0.161583513,-0.848410606,0.354747087,0.428601176,-1.097200155,-1.722357750,-0.001091456,0.158942580,-0.352030843,-0.270859271,0.868419528,-1.168940544
8,159.993,1786752329052.964,29286975.364,0.000000000,-1.396605492,1.180045962,0.516517878,1.354046583,-1.617769361,-1.161477208,-1.415928006,3.255173683,0.413320363,2.691133738,-0.732901216,-1.411054015,-1.864820242,-0.526946962,5.069911003,0.911696017,-0.428720206,-0.152323544,-0.822836399,0.465685964,0.568796098,-1.129562259,-1.904434919,-0.067903616,0.118787527,-0.394617796,-0.106633015,0.629708290,-1.433911443
9,179.989,1786752329072.959,29286995.360,0.000000000,-1.370988488,1.276544929,0.269338071,1.493292332,-1.353902221,-1.531813025,-1.487187028,2.827575684,0.227478206,2.596586466,0.151729167,-1.573033690,-1.759901047,-0.342188448,5.123154640,0.968550026,-0.302326113,-0.090340309,-0.830384851,0.513508916,0.725255251,-1.070134282,-1.891460061,-0.166402400,0.060049690,-0.362164736,0.192601129,0.531153202,-1.670698404
