index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_ax,base_ay,base_az
0,0.000,1786752328892.971,29286815.371,0.000000000,0.567342281,0.000284536,-10.379991531
1,19.994,1786752328912.965,29286835.365,0.000000000,-11.132443428,-1.992250204,-4.582195282
2,39.992,1786752328932.963,29286855.363,0.000000000,2.168617964,-3.860098839,-8.352730751
3,59.991,1786752328952.962,29286875.362,0.000000000,8.816015244,0.077534415,-10.550304413
4,79.993,1786752328972.964,29286895.364,0.000000000,10.255207062,-0.896071672,-5.812119961
5,99.991,1786752328992.962,29286915.362,0.000000000,2.950939655,6.693547249,4.470086098
6,119.992,1786752329012.962,29286935.363,0.000000000,-7.588880539,17.908874512,14.892560005
7,139.992,1786752329032.963,29286955.363,0.000000000,-1.080143690,13.090839386,13.802522659
8,159.993,1786752329052.964,29286975.364,0.000000000,-2.897023201,6.047761440,8.601033211
9,179.989,1786752329072.959,29286995.360,0.000000000,-1.474292994,-3.014054537,2.238765240
10,199.991,1786752329092.961,29287015.361,0.000000000,-3.820265293,-1.628368855,-1.683038116
11,219.990,1786752329112.961,29287035.361,0.000000000,-1.080188036,2.878795862,-0.407974571
12,239.991,1786752329132.962,29287055.362,0.000000000,1.969914675,4.029942036,-2.233296156
13,259.997,1786752329152.968,29287075.368,0.000000000,6.001245975,4.564795971,-4.429064274
14,279.994,1786752329172.965,29287095.365,0.000000000,0.270401299,1.020275593,-8.208392143
15,299.993,1786752329192.963,29287115.363,0.000000000,-1.646951675,0.520456374,-8.699301720
16,319.993,1786752329212.963,29287135.363,0.000000000,-0.566016555,-0.911232889,-8.929606438
17,339.992,1786752329232.962,29287155.362,0.000000000,3.615392447,6.897810459,-4.214420319
18,359.991,1786752329252.961,29287175.362,0.000000000,1.137897611,10.806429863,12.796969414
19,379.988,1786752329272.959,29287195.359,0.000000000,0.719159067,6.892753124,12.936372757
20,399.993,1786752329292.964,29287215.364,0.000000000,-1.726235151,5.635024548,10.965694427
21,419.991,1786752329312.962,29287235.362,0.000000000,-2.182745457,4.059990406,8.267707825
