index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,motion_name
71,1419.993,1786752330312.964,29288235.364,0.000000000,"s_batido_v3_recovery_sonic"
72,1439.990,1786752330332.961,29288255.361,0.000000000,"s_batido_v3_recovery_sonic"
73,1459.990,1786752330352.960,29288275.361,0.000000000,"s_batido_v3_recovery_sonic"
74,1479.991,1786752330372.961,29288295.361,0.000000000,"s_batido_v3_recovery_sonic"
75,1499.989,1786752330392.960,29288315.360,0.000000000,"s_batido_v3_recovery_sonic"
76,1519.989,1786752330412.960,29288335.360,0.000000000,"s_batido_v3_recovery_sonic"
77,1539.989,1786752330432.960,29288355.360,0.000000000,"s_batido_v3_recovery_sonic"
78,1559.990,1786752330452.961,29288375.361,0.000000000,"s_batido_v3_recovery_sonic"
79,1579.989,1786752330472.960,29288395.360,0.000000000,"s_batido_v3_recovery_sonic"
80,1599.989,1786752330492.960,29288415.360,0.000000000,"s_batido_v3_recovery_sonic"
81,1619.989,1786752330512.960,29288435.360,0.000000000,"s_batido_v3_recovery_sonic"
82,1639.989,1786752330532.960,29288455.360,0.000000000,"s_batido_v3_recovery_sonic"
83,1659.989,1786752330552.959,29288475.360,0.000000000,"s_batido_v3_recovery_sonic"
84,1679.989,1786752330572.959,29288495.359,0.000000000,"s_batido_v3_recovery_sonic"
85,1699.993,1786752330592.964,29288515.364,0.000000000,"s_batido_v3_recovery_sonic"
86,1719.991,1786752330612.962,29288535.362,0.000000000,"s_batido_v3_recovery_sonic"
87,1739.991,1786752330632.961,29288555.361,0.000000000,"s_batido_v3_recovery_sonic"
88,1759.990,1786752330652.961,29288575.361,0.000000000,"s_batido_v3_recovery_sonic"
89,1779.993,1786752330672.964,29288595.364,0.000000000,"s_batido_v3_recovery_sonic"
90,1799.996,1786752330692.967,29288615.367,0.000000000,"s_batido_v3_recovery_sonic"
91,1819.993,1786752330712.964,29288635.364,0.000000000,"s_batido_v3_recovery_sonic"
92,1839.990,1786752330732.961,29288655.361,0.000000000,"s_batido_v3_recovery_sonic"
93,1859.989,1786752330752.960,29288675.360,0.000000000,"s_batido_v3_recovery_sonic"
94,1879.989,1786752330772.960,29288695.360,0.000000000,"s_batido_v3_recovery_sonic"
95,1899.990,1786752330792.960,29288715.360,0.000000000,"s_batido_v3_recovery_sonic"
96,1919.990,1786752330812.960,29288735.360,0.000000000,"s_batido_v3_recovery_sonic"
97,1939.990,1786752330832.960,29288755.361,0.000000000,"s_batido_v3_recovery_sonic"
98,1959.990,1786752330852.961,29288775.361,0.000000000,"s_batido_v3_recovery_sonic"
99,1980.003,1786752330872.974,29288795.374,0.000000000,"s_batido_v3_recovery_sonic"
100,1999.996,1786752330892.967,29288815.367,0.000000000,"s_batido_v3_recovery_sonic"
101,2019.991,1786752330912.962,29288835.362,0.000000000,"s_batido_v3_recovery_sonic"
102,2039.993,1786752330932.964,29288855.364,0.000000000,"s_batido_v3_recovery_sonic"
103,2059.990,1786752330952.960,29288875.360,0.000000000,"s_batido_v3_recovery_sonic"
104,2079.990,1786752330972.960,29288895.361,0.000000000,"s_batido_v3_recovery_sonic"
105,2099.992,1786752330992.962,29288915.363,0.000000000,"s_batido_v3_recovery_sonic"
106,2119.990,1786752331012.961,29288935.361,0.000000000,"s_batido_v3_recovery_sonic"
107,2139.991,1786752331032.961,29288955.362,0.000000000,"s_batido_v3_recovery_sonic"
108,2159.997,1786752331052.968,29288975.368,0.000000000,"s_batido_v3_recovery_sonic"
109,2179.996,1786752331072.967,29288995.367,0.000000000,"s_batido_v3_recovery_sonic"
