index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_ax,torso_ay,torso_az
0,0.000,1786884190706.506,18978524.441,0.000000000,0.000000000,0.000000000,0.000000000
1,20.002,1786884190726.508,18978544.443,0.000000000,0.000000000,0.000000000,0.000000000
2,39.996,1786884190746.502,18978564.437,0.000000000,0.000000000,0.000000000,0.000000000
3,59.995,1786884190766.500,18978584.436,0.000000000,0.000000000,0.000000000,0.000000000
4,79.999,1786884190786.504,18978604.439,0.000000000,0.000000000,0.000000000,0.000000000
5,100.015,1786884190806.521,18978624.456,0.000000000,0.000000000,0.000000000,0.000000000
6,120.007,1786884190826.513,18978644.448,0.000000000,0.000000000,0.000000000,0.000000000
7,140.017,1786884190846.522,18978664.458,0.000000000,0.000000000,0.000000000,0.000000000
8,160.018,1786884190866.524,18978684.459,0.000000000,0.000000000,0.000000000,0.000000000
9,180.017,1786884190886.522,18978704.458,0.000000000,0.000000000,0.000000000,0.000000000
10,200.008,1786884190906.514,18978724.449,0.000000000,0.000000000,0.000000000,0.000000000
11,220.003,1786884190926.509,18978744.444,0.000000000,0.000000000,0.000000000,0.000000000
12,240.006,1786884190946.512,18978764.447,0.000000000,0.000000000,0.000000000,0.000000000
13,260.006,1786884190966.511,18978784.447,0.000000000,0.000000000,0.000000000,0.000000000
14,280.011,1786884190986.517,18978804.452,0.000000000,0.000000000,0.000000000,0.000000000
15,299.999,1786884191006.505,18978824.440,0.000000000,0.000000000,0.000000000,0.000000000
16,319.992,1786884191026.498,18978844.433,0.000000000,0.000000000,0.000000000,0.000000000
17,339.992,1786884191046.498,18978864.433,0.000000000,0.000000000,0.000000000,0.000000000
18,359.992,1786884191066.498,18978884.433,0.000000000,0.000000000,0.000000000,0.000000000
19,379.997,1786884191086.503,18978904.438,0.000000000,0.000000000,0.000000000,0.000000000
20,399.993,1786884191106.499,18978924.434,0.000000000,0.000000000,0.000000000,0.000000000
21,419.993,1786884191126.499,18978944.434,0.000000000,0.000000000,0.000000000,0.000000000
22,439.990,1786884191146.496,18978964.431,0.000000000,0.000000000,0.000000000,0.000000000
23,459.997,1786884191166.503,18978984.438,0.000000000,0.000000000,0.000000000,0.000000000
24,479.992,1786884191186.498,18979004.433,0.000000000,0.000000000,0.000000000,0.000000000
25,499.991,1786884191206.498,18979024.432,0.000000000,0.000000000,0.000000000,0.000000000
26,519.991,1786884191226.497,18979044.432,0.000000000,0.000000000,0.000000000,0.000000000
27,539.992,1786884191246.498,18979064.433,0.000000000,0.000000000,0.000000000,0.000000000
28,559.993,1786884191266.499,18979084.434,0.000000000,0.000000000,0.000000000,0.000000000
29,579.990,1786884191286.496,18979104.431,0.000000000,0.000000000,0.000000000,0.000000000
30,599.995,1786884191306.501,18979124.436,0.000000000,0.000000000,0.000000000,0.000000000
31,619.991,1786884191326.497,18979144.432,0.000000000,0.000000000,0.000000000,0.000000000
32,640.002,1786884191346.508,18979164.443,0.000000000,0.000000000,0.000000000,0.000000000
33,659.994,1786884191366.500,18979184.435,0.000000000,0.000000000,0.000000000,0.000000000
34,679.995,1786884191386.500,18979204.436,0.000000000,0.000000000,0.000000000,0.000000000
35,699.997,1786884191406.503,18979224.438,0.000000000,0.000000000,0.000000000,0.000000000
36,719.994,1786884191426.500,18979244.434,0.000000000,0.000000000,0.000000000,0.000000000
37,740.000,1786884191446.506,18979264.441,0.000000000,0.000000000,0.000000000,0.000000000
38,760.001,1786884191466.507,18979284.442,0.000000000,0.000000000,0.000000000,0.000000000
39,779.995,1786884191486.501,18979304.436,0.000000000,0.000000000,0.000000000,0.000000000
40,799.993,1786884191506.499,18979324.434,0.000000000,0.000000000,0.000000000,0.000000000
41,819.995,1786884191526.501,18979344.436,0.000000000,0.000000000,0.000000000,0.000000000
42,839.992,1786884191546.498,18979364.433,0.000000000,0.000000000,0.000000000,0.000000000
43,860.007,1786884191566.513,18979384.448,0.000000000,0.000000000,0.000000000,0.000000000
44,880.006,1786884191586.512,18979404.447,0.000000000,0.000000000,0.000000000,0.000000000
45,899.995,1786884191606.501,18979424.436,0.000000000,0.000000000,0.000000000,0.000000000
46,919.997,1786884191626.502,18979444.437,0.000000000,0.000000000,0.000000000,0.000000000
47,939.994,1786884191646.500,18979464.435,0.000000000,0.000000000,0.000000000,0.000000000
48,959.996,1786884191666.502,18979484.437,0.000000000,0.000000000,0.000000000,0.000000000
49,979.992,1786884191686.498,18979504.433,0.000000000,0.000000000,0.000000000,0.000000000
50,999.994,1786884191706.500,18979524.435,0.000000000,0.000000000,0.000000000,0.000000000
51,1019.992,1786884191726.498,18979544.433,0.000000000,0.000000000,0.000000000,0.000000000
52,1039.993,1786884191746.499,18979564.434,0.000000000,0.000000000,0.000000000,0.000000000
53,1059.992,1786884191766.498,18979584.433,0.000000000,0.000000000,0.000000000,0.000000000
54,1080.007,1786884191786.512,18979604.447,0.000000000,0.000000000,0.000000000,0.000000000
55,1100.000,1786884191806.505,18979624.440,0.000000000,0.000000000,0.000000000,0.000000000
56,1120.003,1786884191826.509,18979644.444,0.000000000,0.000000000,0.000000000,0.000000000
57,1139.997,1786884191846.503,18979664.438,0.000000000,0.000000000,0.000000000,0.000000000
58,1159.992,1786884191866.498,18979684.433,0.000000000,0.000000000,0.000000000,0.000000000
59,1179.993,1786884191886.499,18979704.434,0.000000000,0.000000000,0.000000000,0.000000000
60,1199.995,1786884191906.500,18979724.436,0.000000000,0.000000000,0.000000000,0.000000000
61,1219.992,1786884191926.498,18979744.433,0.000000000,0.000000000,0.000000000,0.000000000
62,1239.991,1786884191946.497,18979764.432,0.000000000,0.000000000,0.000000000,0.000000000
63,1259.996,1786884191966.502,18979784.437,0.000000000,0.000000000,0.000000000,0.000000000
64,1279.991,1786884191986.497,18979804.432,0.000000000,0.000000000,0.000000000,0.000000000
65,1299.994,1786884192006.500,18979824.435,0.000000000,0.000000000,0.000000000,0.000000000
66,1319.991,1786884192026.497,18979844.432,0.000000000,0.000000000,0.000000000,0.000000000
67,1339.992,1786884192046.498,18979864.433,0.000000000,0.000000000,0.000000000,0.000000000
68,1359.991,1786884192066.496,18979884.431,0.000000000,0.000000000,0.000000000,0.000000000
69,1379.992,1786884192086.498,18979904.433,0.000000000,0.000000000,0.000000000,0.000000000
70,1399.991,1786884192106.497,18979924.432,0.000000000,0.000000000,0.000000000,0.000000000
71,1419.991,1786884192126.496,18979944.431,0.000000000,0.000000000,0.000000000,0.000000000
72,1439.995,1786884192146.500,18979964.436,0.000000000,0.000000000,0.000000000,0.000000000
73,1459.991,1786884192166.497,18979984.432,0.000000000,0.000000000,0.000000000,0.000000000
74,1479.994,1786884192186.500,18980004.435,0.000000000,0.000000000,0.000000000,0.000000000
75,1499.990,1786884192206.496,18980024.431,0.000000000,0.000000000,0.000000000,0.000000000
76,1519.994,1786884192226.500,18980044.435,0.000000000,0.000000000,0.000000000,0.000000000
77,1539.992,1786884192246.498,18980064.433,0.000000000,0.000000000,0.000000000,0.000000000
78,1560.000,1786884192266.506,18980084.441,0.000000000,0.000000000,0.000000000,0.000000000
79,1579.992,1786884192286.498,18980104.433,0.000000000,0.000000000,0.000000000,0.000000000
80,1599.995,1786884192306.500,18980124.436,0.000000000,0.000000000,0.000000000,0.000000000
81,1619.992,1786884192326.498,18980144.433,0.000000000,0.000000000,0.000000000,0.000000000
82,1639.991,1786884192346.498,18980164.432,0.000000000,0.000000000,0.000000000,0.000000000
83,1659.994,1786884192366.500,18980184.435,0.000000000,0.000000000,0.000000000,0.000000000
84,1679.991,1786884192386.497,18980204.432,0.000000000,0.000000000,0.000000000,0.000000000
85,1700.004,1786884192406.510,18980224.445,0.000000000,0.000000000,0.000000000,0.000000000
86,1720.006,1786884192426.512,18980244.447,0.000000000,0.000000000,0.000000000,0.000000000
87,1740.000,1786884192446.506,18980264.441,0.000000000,0.000000000,0.000000000,0.000000000
88,1759.993,1786884192466.499,18980284.434,0.000000000,0.000000000,0.000000000,0.000000000
89,1779.995,1786884192486.500,18980304.436,0.000000000,0.000000000,0.000000000,0.000000000
90,1800.003,1786884192506.509,18980324.444,0.000000000,0.000000000,0.000000000,0.000000000
91,1820.000,1786884192526.506,18980344.441,0.000000000,0.000000000,0.000000000,0.000000000
92,1839.994,1786884192546.500,18980364.435,0.000000000,0.000000000,0.000000000,0.000000000
93,1859.992,1786884192566.498,18980384.432,0.000000000,0.000000000,0.000000000,0.000000000
94,1879.993,1786884192586.499,18980404.434,0.000000000,0.000000000,0.000000000,0.000000000
