index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_qw,base_qx,base_qy,base_qz
52,1039.986,1786752447555.176,29405477.576,0.000000000,0.938721776,-0.182238489,-0.282554239,-0.075853102
53,1059.987,1786752447575.176,29405497.576,0.000000000,0.931748927,-0.204485729,-0.291712314,-0.070238896
54,1079.996,1786752447595.186,29405517.586,0.000000000,0.922853827,-0.230103791,-0.302218556,-0.063694514
55,1099.990,1786752447615.179,29405537.579,0.000000000,0.912413836,-0.242606074,-0.322028905,-0.070289738
56,1119.987,1786752447635.176,29405557.576,0.000000000,0.900281489,-0.253449917,-0.344728559,-0.080116026
57,1139.987,1786752447655.177,29405577.577,0.000000000,0.890869081,-0.261885375,-0.360812157,-0.087079778
58,1159.985,1786752447675.174,29405597.574,0.000000000,0.881003499,-0.266083419,-0.379038930,-0.096757188
59,1179.985,1786752447695.174,29405617.574,0.000000000,0.873360515,-0.265074015,-0.395244747,-0.103724256
60,1199.985,1786752447715.174,29405637.574,0.000000000,0.863176584,-0.272218317,-0.411389172,-0.107621118
61,1219.985,1786752447735.174,29405657.574,0.000000000,0.846214890,-0.287657022,-0.433932573,-0.113473877
62,1239.985,1786752447755.174,29405677.574,0.000000000,0.822892010,-0.306527644,-0.463425875,-0.118852921
63,1259.984,1786752447775.173,29405697.573,0.000000000,0.798478901,-0.322989196,-0.492796451,-0.123535700
64,1279.988,1786752447795.177,29405717.577,0.000000000,0.776024818,-0.336446971,-0.517898679,-0.127944529
65,1299.987,1786752447815.176,29405737.577,0.000000000,0.755515516,-0.345759898,-0.539479017,-0.136413857
66,1319.986,1786752447835.176,29405757.576,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
67,1339.987,1786752447855.176,29405777.576,0.000000000,0.999792695,-0.000294543,0.018484127,-0.008531106
68,1359.986,1786752447875.175,29405797.576,0.000000000,0.999879301,-0.003124875,0.012697142,-0.008388845
69,1379.988,1786752447895.177,29405817.577,0.000000000,0.999722719,0.006168841,0.016967895,-0.015118480
70,1399.985,1786752447915.174,29405837.575,0.000000000,0.999556065,0.010109577,0.007709927,-0.026945405
71,1419.985,1786752447935.174,29405857.574,0.000000000,0.999546885,0.002721881,-0.008342824,-0.028793583
72,1439.985,1786752447955.174,29405877.574,0.000000000,0.999330521,-0.011551766,-0.029220216,-0.018742235
73,1459.985,1786752447975.175,29405897.575,0.000000000,0.998527646,-0.023742015,-0.048580449,-0.004332992
74,1479.986,1786752447995.175,29405917.575,0.000000000,0.997471631,-0.036694519,-0.060243983,-0.008630979
75,1499.985,1786752448015.174,29405937.574,0.000000000,0.996504605,-0.045093022,-0.068700254,-0.015016451
76,1519.985,1786752448035.174,29405957.574,0.000000000,0.995792568,-0.039842252,-0.081601925,-0.012282890
77,1539.984,1786752448055.173,29405977.573,0.000000000,0.995347798,-0.030686021,-0.090667978,-0.010973805
78,1559.984,1786752448075.173,29405997.573,0.000000000,0.994842350,-0.020302694,-0.097819388,-0.017544910
79,1579.984,1786752448095.173,29406017.573,0.000000000,0.994216740,-0.015703412,-0.103505850,-0.023938749
80,1599.984,1786752448115.174,29406037.574,0.000000000,0.993101656,-0.015265420,-0.112688363,-0.028589817
81,1619.984,1786752448135.174,29406057.574,0.000000000,0.992389798,-0.017646156,-0.118354358,-0.029039700
82,1639.983,1786752448155.172,29406077.573,0.000000000,0.992167532,-0.021368004,-0.120005094,-0.027309440
83,1659.983,1786752448175.172,29406097.572,0.000000000,0.992036223,-0.026828647,-0.120266668,-0.026082493
84,1679.984,1786752448195.173,29406117.573,0.000000000,0.991465211,-0.035308477,-0.122676708,-0.026467063
