index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20,tau_21,tau_22,tau_23,tau_24,tau_25,tau_26,tau_27,tau_28
12,239.985,1786752446755.174,29404677.574,0.000000000,-26.703937531,14.110521317,-13.919695854,-7.053596973,-0.741133690,0.496347547,20.902210236,-45.056724548,21.740726471,-5.309952736,50.000000000,-15.227220535,11.956731796,-16.559259415,2.172387838,-2.016588211,8.376847267,5.355030060,-1.931616068,-0.297313660,-1.022248030,1.080358982,-8.984415054,2.310658455,2.940975666,-4.141589165,-0.358680189,-0.801606596,0.615980327
13,259.985,1786752446775.174,29404697.574,0.000000000,-4.454150677,8.615188599,-7.233408451,-2.378140688,0.821665347,0.258867621,9.374473572,-12.521448135,-6.709909916,-5.088841915,50.000000000,-12.661812782,11.220056534,-18.861173630,-1.899851322,-2.365972519,5.847170353,4.022611141,-2.395233393,-0.549060106,-1.019060135,1.339282751,-9.946817398,1.505517364,2.027412653,-6.288724899,-0.109611966,-1.786739826,0.496147752
14,279.984,1786752446795.174,29404717.574,0.000000000,12.280403137,-5.281730175,-3.296693802,-3.176067352,1.164556146,0.288443089,4.850703239,12.923546791,-13.170865059,-4.381099701,40.883594513,-10.086197853,1.612183332,-15.832323074,-8.979531288,-3.505151033,2.783199072,1.296484351,-3.129737854,-0.228094772,-1.237617373,0.991990626,-7.943892479,0.687582135,0.320820928,-6.350053787,-0.281336486,-2.548334122,0.017329264
15,299.984,1786752446815.173,29404737.573,0.000000000,18.691385269,-13.948041916,9.551716805,1.935079575,0.255102128,0.005579136,-8.193028450,30.599435806,-17.426076889,-22.618919373,1.543362260,-1.274143577,-3.654894114,-10.668220520,-13.178900719,-5.630900860,0.463433683,-1.086095810,-4.282773495,-0.269838780,-1.581046462,0.217959970,-5.240683556,0.167812020,-1.242694497,-5.796583652,0.166831061,-2.588861465,-0.443799734
16,319.984,1786752446835.173,29404757.574,0.000000000,23.330476761,-17.208969116,17.403612137,9.497609138,0.381586045,-0.142242849,-11.415423393,30.869634628,-23.274780273,-33.617740631,-7.348604679,0.491669059,-1.143089533,-5.370972157,-16.126791000,-7.152804852,-0.385615557,-0.660763860,-6.370328903,-0.460183263,-2.137780905,-0.196208462,-4.382419109,-0.899479449,-2.392482281,-5.058901310,-0.006698984,-2.066507101,-0.686627388
17,339.984,1786752446855.174,29404777.574,0.000000000,23.104274750,-18.046945572,17.622455597,7.954428673,1.059383273,-0.048601404,-14.977218628,31.767877579,-25.691701889,-8.258871078,-0.894931018,0.546802640,-6.400147438,-1.053975940,-11.264708519,-8.905309677,-0.352614999,-0.181136489,-8.887807846,-0.355201483,-2.776163816,-0.370320439,-3.579197407,-2.371589661,-3.880397797,-3.522273540,0.305809706,-1.293976188,-0.733450472
18,359.984,1786752446875.173,29404797.573,0.000000000,10.139056206,-13.293522835,11.380015373,3.707077980,-0.558642507,-0.272679746,-6.754943848,23.447942734,-13.992141724,-2.190433264,0.772879422,0.005193792,-10.550270081,-1.879279613,-5.957688332,-8.579183578,0.654343307,-0.307433724,-5.583438396,0.039461505,-2.572484493,-0.432802618,-2.251007318,-2.238821745,-3.503543139,-1.071395159,-0.110921159,-0.680285931,-0.884494543
19,379.982,1786752446895.171,29404817.572,0.000000000,-4.293829918,1.931826711,-0.118465662,1.506795645,-0.226429984,-0.203947023,6.244985580,-0.955727994,10.415418625,-1.173507810,0.345948130,-0.375123501,-6.398516178,-5.375379086,-3.502437115,-5.815332413,1.509833932,-0.052096553,-0.936942041,0.447454244,-0.978436112,-0.188009486,-1.171906471,-1.793826699,-1.787394881,0.219329342,-0.515529394,-0.101448201,-0.711217225
20,399.984,1786752446915.173,29404837.573,0.000000000,-21.919931412,24.277233124,-13.114527702,-0.056370258,-0.187194958,-0.105616860,37.358730316,-48.629898071,43.471900940,-77.589904785,50.000000000,-17.574745178,9.824727058,-16.710430145,-13.114691734,-1.937476397,4.126356602,0.961263180,-1.099816918,0.438232303,-0.375993460,0.188386127,-2.633877993,-1.094836950,0.022043748,-1.467696428,-0.394973159,-0.098208398,-0.017677194
21,419.984,1786752446935.173,29404857.574,0.000000000,-22.675033569,20.591699600,-17.413618088,1.434785962,-0.078332216,0.094677776,42.588714600,-56.348304749,61.118846893,-121.973899841,50.000000000,-26.227733612,16.615240097,-27.647123337,-20.871501923,1.204458833,7.657931805,2.890003920,-2.109727383,0.348465025,-0.606094956,0.589520156,-5.019267082,1.733943343,1.707181573,-3.770137787,-0.258279443,-0.764240980,0.470558554
