index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,playing_0
0,0.000,1786879976529.433,14764347.367,0.000000000,0.000000000
1,19.988,1786879976549.420,14764367.355,0.000000000,0.000000000
2,39.989,1786879976569.422,14764387.357,0.000000000,0.000000000
3,59.989,1786879976589.421,14764407.356,0.000000000,0.000000000
4,79.985,1786879976609.418,14764427.353,0.000000000,0.000000000
5,99.987,1786879976629.419,14764447.354,0.000000000,0.000000000
6,119.985,1786879976649.418,14764467.353,0.000000000,0.000000000
7,139.987,1786879976669.419,14764487.355,0.000000000,0.000000000
8,159.988,1786879976689.420,14764507.355,0.000000000,0.000000000
9,179.992,1786879976709.425,14764527.360,0.000000000,0.000000000
10,199.992,1786879976729.424,14764547.359,0.000000000,0.000000000
11,219.989,1786879976749.422,14764567.357,0.000000000,0.000000000
12,239.990,1786879976769.423,14764587.358,0.000000000,0.000000000
13,259.987,1786879976789.420,14764607.355,0.000000000,0.000000000
14,279.990,1786879976809.422,14764627.357,0.000000000,0.000000000
15,299.988,1786879976829.420,14764647.355,0.000000000,0.000000000
16,319.988,1786879976849.420,14764667.355,0.000000000,0.000000000
17,339.986,1786879976869.418,14764687.353,0.000000000,0.000000000
18,359.985,1786879976889.418,14764707.353,0.000000000,0.000000000
19,379.986,1786879976909.419,14764727.354,0.000000000,0.000000000
20,399.989,1786879976929.422,14764747.357,0.000000000,0.000000000
21,419.991,1786879976949.423,14764767.358,0.000000000,0.000000000
22,439.992,1786879976969.424,14764787.359,0.000000000,0.000000000
23,459.990,1786879976989.423,14764807.358,0.000000000,0.000000000
24,479.989,1786879977009.421,14764827.356,0.000000000,0.000000000
25,499.992,1786879977029.424,14764847.359,0.000000000,0.000000000
26,519.994,1786879977049.426,14764867.361,0.000000000,0.000000000
27,539.994,1786879977069.426,14764887.361,0.000000000,0.000000000
28,559.994,1786879977089.427,14764907.362,0.000000000,0.000000000
29,579.997,1786879977109.430,14764927.365,0.000000000,0.000000000
30,599.989,1786879977129.422,14764947.357,0.000000000,0.000000000
31,619.986,1786879977149.419,14764967.354,0.000000000,0.000000000
32,639.991,1786879977169.423,14764987.358,0.000000000,0.000000000
33,659.991,1786879977189.423,14765007.358,0.000000000,0.000000000
34,679.992,1786879977209.425,14765027.360,0.000000000,0.000000000
35,699.993,1786879977229.426,14765047.360,0.000000000,0.000000000
36,719.986,1786879977249.418,14765067.353,0.000000000,0.000000000
37,739.988,1786879977269.421,14765087.356,0.000000000,0.000000000
38,759.988,1786879977289.420,14765107.355,0.000000000,0.000000000
39,779.989,1786879977309.421,14765127.356,0.000000000,0.000000000
40,799.988,1786879977329.420,14765147.356,0.000000000,0.000000000
41,819.986,1786879977349.418,14765167.353,0.000000000,0.000000000
42,839.986,1786879977369.419,14765187.354,0.000000000,0.000000000
43,859.986,1786879977389.418,14765207.354,0.000000000,0.000000000
44,879.986,1786879977409.418,14765227.353,0.000000000,0.000000000
45,899.990,1786879977429.423,14765247.358,0.000000000,0.000000000
46,919.988,1786879977449.420,14765267.355,0.000000000,0.000000000
47,939.988,1786879977469.420,14765287.355,0.000000000,0.000000000
48,959.991,1786879977489.424,14765307.359,0.000000000,0.000000000
49,979.991,1786879977509.424,14765327.358,0.000000000,0.000000000
50,999.991,1786879977529.423,14765347.358,0.000000000,0.000000000
51,1019.989,1786879977549.421,14765367.357,0.000000000,0.000000000
52,1039.989,1786879977569.421,14765387.356,0.000000000,0.000000000
53,1059.989,1786879977589.421,14765407.356,0.000000000,0.000000000
54,1079.987,1786879977609.419,14765427.354,0.000000000,0.000000000
55,1099.987,1786879977629.419,14765447.354,0.000000000,0.000000000
56,1119.986,1786879977649.418,14765467.353,0.000000000,0.000000000
57,1139.989,1786879977669.421,14765487.356,0.000000000,0.000000000
58,1159.991,1786879977689.423,14765507.358,0.000000000,0.000000000
59,1179.994,1786879977709.426,14765527.361,0.000000000,0.000000000
60,1199.992,1786879977729.424,14765547.359,0.000000000,0.000000000
61,1219.991,1786879977749.424,14765567.358,0.000000000,0.000000000
62,1239.991,1786879977769.423,14765587.358,0.000000000,0.000000000
63,1259.990,1786879977789.422,14765607.357,0.000000000,0.000000000
64,1279.989,1786879977809.422,14765627.357,0.000000000,0.000000000
65,1299.989,1786879977829.422,14765647.357,0.000000000,0.000000000
66,1319.987,1786879977849.420,14765667.355,0.000000000,1.000000000
67,1339.988,1786879977869.420,14765687.356,0.000000000,1.000000000
68,1359.987,1786879977889.419,14765707.354,0.000000000,1.000000000
69,1379.987,1786879977909.419,14765727.354,0.000000000,1.000000000
70,1399.988,1786879977929.421,14765747.356,0.000000000,1.000000000
71,1419.986,1786879977949.419,14765767.354,0.000000000,1.000000000
