index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,left_hand_dq_0,left_hand_dq_1,left_hand_dq_2,left_hand_dq_3,left_hand_dq_4,left_hand_dq_5,left_hand_dq_6
36,719.989,1786879788869.479,14576687.413,0.000000000,0.001542816,-0.010074602,1.729892612,-1.748012424,-1.727890372,-1.753084183,-1.726321340
37,739.988,1786879788889.477,14576707.412,0.000000000,0.001436609,-0.009670607,1.728690386,-1.747221351,-1.727448344,-1.750388384,-1.725700378
38,759.992,1786879788909.481,14576727.416,0.000000000,0.001359705,-0.009403074,1.729977250,-1.740016818,-1.728050709,-1.741827488,-1.726577044
39,779.992,1786879788929.481,14576747.416,0.000000000,0.001336832,-0.009408660,1.732011080,-1.733828425,-1.729506612,-1.735824943,-1.728442430
40,799.990,1786879788949.479,14576767.414,0.000000000,0.001358987,-0.009547017,1.734997034,-1.730578423,-1.731954694,-1.733983994,-1.731879115
41,819.990,1786879788969.479,14576787.414,0.000000000,0.001484342,-0.009951834,1.737317204,-1.736636043,-1.734766841,-1.740862012,-1.735719919
42,839.989,1786879788989.478,14576807.413,0.000000000,0.001664249,-0.009555252,1.738374949,-1.714531302,-1.735628605,-1.715435147,-1.737043738
43,859.989,1786879789009.478,14576827.413,0.000000000,0.001678089,-0.009257856,1.738615513,-1.608309507,-1.735483527,-1.604435921,-1.736911654
44,879.988,1786879789029.477,14576847.412,0.000000000,0.001588547,-0.009267481,1.737904906,-1.443405628,-1.734812021,-1.438956857,-1.736039281
45,899.991,1786879789049.480,14576867.415,0.000000000,0.001565834,-0.009481907,1.736584544,-1.298248529,-1.734080553,-1.295348525,-1.734841704
46,919.996,1786879789069.485,14576887.420,0.000000000,0.001596606,-0.009827444,1.697925091,-1.093328953,-1.732928157,-1.094001889,-1.733262181
47,939.992,1786879789089.481,14576907.416,0.000000000,0.001701262,-0.010107261,1.579584837,-0.889552057,-1.731181264,-0.889579415,-1.730976105
48,959.992,1786879789109.481,14576927.416,0.000000000,0.001723858,-0.010003132,1.409370303,-0.691896677,-1.676808000,-0.689407408,-1.676416159
49,979.991,1786879789129.480,14576947.415,0.000000000,0.001650447,-0.009940338,1.210836530,-0.510066152,-1.549558282,-0.504925728,-1.549399614
50,999.990,1786879789149.479,14576967.414,0.000000000,0.001540210,-0.009916923,1.002104044,-0.350738198,-1.375738263,-0.345330566,-1.375771284
51,1019.989,1786879789169.478,14576987.413,0.000000000,0.001443398,-0.009833853,0.796680510,-0.214568421,-1.176446557,-0.211173579,-1.176799536
52,1039.989,1786879789189.478,14577007.413,0.000000000,0.001389050,-0.009802351,0.603948534,-0.102306895,-0.968227983,-0.102136932,-0.969097793
53,1059.989,1786879789209.478,14577027.413,0.000000000,0.001377335,-0.009858986,0.430494100,-0.021386068,-0.764219582,-0.022765899,-0.765566707
54,1079.992,1786879789229.481,14577047.416,0.000000000,0.001394111,-0.009801620,0.280426770,-0.007742490,-0.574110329,-0.007986818,-0.575695038
55,1099.992,1786879789249.481,14577067.416,0.000000000,0.001396874,-0.009789309,0.155719429,-0.006741103,-0.404580504,-0.006888299,-0.406051904
56,1119.993,1786879789269.482,14577087.417,0.000000000,0.001395143,-0.009893266,0.055996578,-0.006822041,-0.258653969,-0.006936478,-0.260065645
57,1139.991,1786879789289.480,14577107.415,0.000000000,0.001412448,-0.010023400,0.014601850,-0.006960966,-0.165546358,-0.007068392,-0.166788995
58,1159.990,1786879789309.479,14577127.414,0.000000000,0.001431181,-0.010095461,0.007282465,-0.007037931,-0.062882230,-0.007113035,-0.063889727
59,1179.991,1786879789329.479,14577147.415,0.000000000,0.001438713,-0.010147236,0.006664278,-0.007070834,-0.011729632,-0.007118834,-0.011875453
60,1199.990,1786879789349.479,14577167.414,0.000000000,0.001424833,-0.010140280,0.006560867,-0.007007175,-0.006940050,-0.007042253,-0.006964230
61,1219.990,1786879789369.479,14577187.414,0.000000000,0.001405423,-0.010164671,0.006508130,-0.006964012,-0.006514133,-0.007026156,-0.006530973
62,1239.989,1786879789389.478,14577207.413,0.000000000,0.001402239,-0.010160779,0.006480240,-0.006944119,-0.006455299,-0.007015854,-0.006474668
63,1259.992,1786879789409.481,14577227.416,0.000000000,0.001414486,-0.010125937,0.006473517,-0.006945500,-0.006449432,-0.007016473,-0.006461349
64,1279.991,1786879789429.480,14577247.415,0.000000000,0.001430964,-0.010090724,0.006464198,-0.006952476,-0.006441542,-0.007003245,-0.006448995
65,1299.990,1786879789449.479,14577267.414,0.000000000,0.001445250,-0.010089047,0.006452286,-0.006988762,-0.006430003,-0.007012303,-0.006434273
66,1319.990,1786879789469.479,14577287.414,0.000000000,0.001452986,-0.010091688,0.006439047,-0.007020266,-0.006417223,-0.007027660,-0.006418362
67,1339.989,1786879789489.478,14577307.413,0.000000000,0.001448221,-0.010079279,0.006424455,-0.007026703,-0.006402625,-0.007034927,-0.006402445
68,1359.989,1786879789509.478,14577327.413,0.000000000,0.001437159,-0.010055701,0.006409562,-0.007020616,-0.006387223,-0.007034571,-0.006387017
69,1379.989,1786879789529.478,14577347.413,0.000000000,0.001427666,-0.010039407,0.006393279,-0.007021207,-0.006370221,-0.007035534,-0.006370161
70,1399.993,1786879789549.482,14577367.417,0.000000000,0.001418835,-0.010005655,0.006377743,-0.006992787,-0.006355001,-0.007007869,-0.006355226
71,1419.993,1786879789569.482,14577387.417,0.000000000,0.001405772,-0.009971812,0.006357830,-0.006965080,-0.006335163,-0.006985081,-0.006335813
72,1439.990,1786879789589.479,14577407.414,0.000000000,0.001391844,-0.009928595,0.006338171,-0.006929667,-0.006315298,-0.006954765,-0.006317116
73,1459.990,1786879789609.479,14577427.414,0.000000000,0.001377702,-0.009884638,0.006316998,-0.006888874,-0.006294189,-0.006921509,-0.006296925
74,1479.989,1786879789629.478,14577447.413,0.000000000,0.001355296,-0.009794814,0.006295277,-0.006799089,-0.006273056,-0.006851625,-0.006277566
75,1499.993,1786879789649.482,14577467.417,0.000000000,0.001331208,-0.009704675,0.006274297,-0.006710718,-0.006251362,-0.006786851,-0.006259513
76,1519.992,1786879789669.481,14577487.416,0.000000000,0.001314373,-0.009635295,0.006251529,-0.006640268,-0.006229036,-0.006723638,-0.006239449
77,1540.241,1786879789689.730,14577507.665,0.000000000,0.001311310,-0.009540791,0.006218705,-0.006531458,-0.006199746,-0.006607262,-0.006208946
78,1559.989,1786879789709.478,14577527.413,0.000000000,0.001293391,-0.009323279,0.006166711,-0.006262150,-0.006152081,-0.006338277,-0.006167287
79,1579.995,1786879789729.484,14577547.419,0.000000000,0.001235702,-0.009401465,0.006064927,-0.006141884,-0.006051416,-0.006244620,-0.006075208
80,1599.995,1786879789749.483,14577567.418,0.000000000,0.001166231,-0.009465695,0.005998415,-0.006036902,-0.005985101,-0.006215520,-0.006022279
81,1619.990,1786879789769.479,14577587.414,0.000000000,0.001182714,-0.008930360,0.006220820,-0.006052908,-0.006233627,-0.006188613,-0.006217872
82,1639.987,1786879789789.477,14577607.411,0.000000000,0.001280737,-0.009259705,0.006375211,-0.006748318,-0.006370930,-0.006925798,-0.006333889
83,1659.990,1786879789809.479,14577627.414,0.000000000,0.001406896,-0.009792974,0.006253280,-0.007285943,-0.006181489,-0.007100618,-0.006242721
84,1680.028,1786879789829.516,14577647.452,0.000000000,0.001482825,-0.009742742,0.006181748,-0.007175940,-0.006131835,-0.006906795,-0.006159631
85,1700.022,1786879789849.511,14577667.446,0.000000000,0.001419003,-0.009790859,0.006149657,-0.007027003,-0.006110010,-0.007122782,-0.006113825
86,1720.030,1786879789869.519,14577687.454,0.000000000,0.001490358,-0.010440716,0.006013987,-0.007120361,-0.005997731,-0.007249708,-0.005962844
87,1740.079,1786879789889.568,14577707.503,0.000000000,0.001664183,-0.010696034,0.005880525,-0.007088909,-0.005870075,-0.006950661,-0.005831406
88,1759.991,1786879789909.480,14577727.415,0.000000000,0.001717179,-0.009983914,0.005761873,-0.006713484,-0.005762728,-0.006350246,-0.005717556
89,1780.026,1786879789929.515,14577747.450,0.000000000,0.001546860,-0.009354884,0.005705009,-0.006047541,-0.005724991,-0.005801480,-0.005667600
90,1800.022,1786879789949.511,14577767.446,0.000000000,0.001335541,-0.008637827,0.005728807,-0.005461426,-0.005738372,-0.005302597,-0.005722453
91,1820.033,1786879789969.522,14577787.457,0.000000000,0.001138331,-0.008871283,0.005671995,-0.005342283,-0.005697458,-0.005534150,-0.005672727
92,1840.032,1786879789989.521,14577807.455,0.000000000,0.001050076,-0.008374532,0.005729904,-0.004947739,-0.005756969,-0.005258569,-0.005754483
93,1860.030,1786879790009.519,14577827.454,0.000000000,0.001111280,-0.008267446,0.005840694,-0.005239332,-0.005838955,-0.005329903,-0.005877474
94,1880.027,1786879790029.516,14577847.451,0.000000000,0.001197420,-0.008220789,0.005991530,-0.005639591,-0.005984264,-0.005558851,-0.006009867
95,1899.990,1786879790049.479,14577867.414,0.000000000,0.001237899,-0.008465660,0.006103878,-0.006136589,-0.006101130,-0.006071225,-0.006089220
96,1920.027,1786879790069.516,14577887.451,0.000000000,0.001228520,-0.008860244,0.006136604,-0.006600168,-0.006115573,-0.006645971,-0.006102821
97,1940.027,1786879790089.515,14577907.451,0.000000000,0.001301954,-0.008895686,0.006094882,-0.006697923,-0.006056700,-0.006623059,-0.006063303
98,1960.026,1786879790109.515,14577927.450,0.000000000,0.001315226,-0.008834328,0.005961802,-0.006379842,-0.005929011,-0.006370041,-0.005939379
99,1980.027,1786879790129.516,14577947.451,0.000000000,0.001314980,-0.009033683,0.005797391,-0.006222478,-0.005765046,-0.006292331,-0.005783164
100,2000.021,1786879790149.510,14577967.445,0.000000000,0.001339437,-0.009310785,0.005671283,-0.006245510,-0.005641500,-0.006321824,-0.005657113
101,2020.026,1786879790169.515,14577987.450,0.000000000,0.001352800,-0.009494357,0.005584511,-0.006279779,-0.005559674,-0.006323220,-0.005569093
102,2040.029,1786879790189.518,14578007.453,0.000000000,0.001339311,-0.009538377,0.005551190,-0.006295831,-0.005537391,-0.006331660,-0.005525132
103,2060.025,1786879790209.514,14578027.449,0.000000000,0.001338424,-0.009529384,0.005601797,-0.006458180,-0.005589148,-0.006437704,-0.005567492
104,2080.026,1786879790229.515,14578047.450,0.000000000,0.001301235,-0.009317996,0.005624800,-0.006393397,-0.005607213,-0.006289013,-0.005600063
105,2100.019,1786879790249.508,14578067.443,0.000000000,0.001249424,-0.009088823,0.005664876,-0.006288749,-0.005650482,-0.006180498,-0.005646126
106,2120.024,1786879790269.513,14578087.448,0.000000000,0.001202799,-0.008592737,0.005758657,-0.006056888,-0.005745505,-0.005950170,-0.005747491
107,2140.023,1786879790289.512,14578107.447,0.000000000,0.001144302,-0.008112471,0.005917404,-0.005942304,-0.005899666,-0.005925328,-0.005909448
108,2160.024,1786879790309.513,14578127.448,0.000000000,0.001112440,-0.008549326,0.006019427,-0.006454325,-0.005996589,-0.006772181,-0.005974435
109,2180.061,1786879790329.550,14578147.485,0.000000000,0.001159327,-0.009046503,0.005797147,-0.006710632,-0.005720594,-0.006721549,-0.005786681
110,2200.021,1786879790349.510,14578167.445,0.000000000,0.001172042,-0.009073792,0.005627669,-0.006398974,-0.005586213,-0.006318086,-0.005620358
111,2219.992,1786879790369.481,14578187.416,0.000000000,0.001210907,-0.009057246,0.005579809,-0.006350053,-0.005554611,-0.006100100,-0.005577190
112,2239.990,1786879790389.479,14578207.414,0.000000000,0.001231042,-0.009313732,0.005468139,-0.006213267,-0.005461771,-0.006280775,-0.005453509
113,2259.989,1786879790409.478,14578227.413,0.000000000,0.001297850,-0.009090766,0.005397853,-0.006023044,-0.005373008,-0.005952454,-0.005401501
