index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_wx,base_wy,base_wz
0,0.000,1786876906281.490,11694099.424,0.000000000,-0.182696417,1.125872731,-0.071837455
1,19.992,1786876906301.481,11694119.416,0.000000000,-0.778202772,1.811163545,0.207630768
2,39.991,1786876906321.481,11694139.416,0.000000000,-1.033629179,1.168604970,0.530156851
3,59.991,1786876906341.480,11694159.415,0.000000000,-0.661346495,1.259940028,0.986425757
4,80.002,1786876906361.491,11694179.426,0.000000000,-1.310703397,1.196214557,0.674778521
5,99.990,1786876906381.479,11694199.414,0.000000000,-1.293982267,0.224998549,-0.810327888
6,119.990,1786876906401.480,11694219.415,0.000000000,-0.870016336,-1.100369453,-1.474887848
7,139.991,1786876906421.481,11694239.416,0.000000000,-0.257011592,-1.879644156,-0.930579484
8,159.990,1786876906441.480,11694259.415,0.000000000,0.378832072,-1.525917172,-0.639690340
9,179.990,1786876906461.480,11694279.415,0.000000000,1.588643432,-0.663581192,0.212686464
10,199.991,1786876906481.480,11694299.415,0.000000000,2.967025757,-1.331387043,0.355551988
11,219.990,1786876906501.480,11694319.415,0.000000000,0.096815482,0.720105588,0.108478710
12,239.990,1786876906521.479,11694339.414,0.000000000,-1.284340143,0.825880051,-0.879871368
13,259.990,1786876906541.480,11694359.415,0.000000000,-1.886874676,0.858781695,-0.324423999
14,279.990,1786876906561.479,11694379.414,0.000000000,-1.724368811,1.591436625,0.307579160
15,299.991,1786876906581.481,11694399.416,0.000000000,-0.455624223,1.194102407,0.112663008
16,319.990,1786876906601.479,11694419.415,0.000000000,0.886363447,0.167594194,-0.778744936
17,339.992,1786876906621.481,11694439.416,0.000000000,1.100387096,-0.392131031,-1.783132076
18,359.991,1786876906641.480,11694459.415,0.000000000,1.098269701,-1.060119867,-2.516819715
19,379.991,1786876906661.480,11694479.415,0.000000000,1.114286661,-0.454889983,-1.175749183
20,399.991,1786876906681.480,11694499.415,0.000000000,0.761018217,-0.435141653,-0.126111522
21,419.998,1786876906701.488,11694519.423,0.000000000,0.192027956,-0.585074127,0.694742739
22,440.001,1786876906721.490,11694539.425,0.000000000,-0.368469387,-0.554724097,1.053718090
23,459.994,1786876906741.483,11694559.418,0.000000000,-0.745339513,-0.280493259,0.510237992
24,479.993,1786876906761.483,11694579.418,0.000000000,-0.591259241,-0.722518682,-0.961565912
25,499.993,1786876906781.483,11694599.418,0.000000000,0.499528974,-0.337603122,-0.462346733
26,519.991,1786876906801.480,11694619.415,0.000000000,0.606792390,0.141265526,0.244488433
27,539.990,1786876906821.479,11694639.414,0.000000000,0.303490996,0.103889041,0.457139909
28,559.991,1786876906841.480,11694659.415,0.000000000,0.136850148,-0.127843574,0.116639748
29,579.990,1786876906861.479,11694679.414,0.000000000,-0.094249070,-0.508243322,0.457290173
30,599.993,1786876906881.483,11694699.418,0.000000000,-0.003185449,-0.430822104,-0.126218751
31,619.992,1786876906901.481,11694719.416,0.000000000,0.222682178,-0.287321746,-0.532452285
32,639.991,1786876906921.481,11694739.416,0.000000000,0.225636587,-0.541116953,-0.541255176
33,660.003,1786876906941.492,11694759.427,0.000000000,0.113122351,-0.364266455,-0.300772846
34,679.995,1786876906961.484,11694779.419,0.000000000,0.074382246,-0.089084767,0.003356695
35,699.990,1786876906981.480,11694799.415,0.000000000,0.087032095,0.129412577,0.275530875
36,720.003,1786876907001.492,11694819.427,0.000000000,0.038283102,0.195672423,0.494336754
37,740.028,1786876907021.518,11694839.453,0.000000000,0.018598264,0.144798711,0.631545722
38,759.997,1786876907041.487,11694859.422,0.000000000,0.083276466,0.027408972,0.684223354
39,779.996,1786876907061.486,11694879.420,0.000000000,0.103531554,0.149123028,0.639341176
40,800.015,1786876907081.504,11694899.439,0.000000000,0.145096660,0.116914757,0.468844354
41,820.026,1786876907101.515,11694919.450,0.000000000,0.129865661,0.110190421,0.300045311
42,840.024,1786876907121.513,11694939.448,0.000000000,0.112711258,0.176285028,0.230806246
43,860.026,1786876907141.515,11694959.450,0.000000000,0.073792420,0.232233420,0.199857265
44,880.011,1786876907161.500,11694979.436,0.000000000,0.032894604,0.195227668,0.179308519
45,899.997,1786876907181.487,11694999.421,0.000000000,-0.013356443,0.203555197,0.128158361
46,920.017,1786876907201.507,11695019.441,0.000000000,-0.029768096,0.175096259,0.092682905
47,940.014,1786876907221.503,11695039.438,0.000000000,-0.028275745,0.191584840,0.081833817
48,960.027,1786876907241.517,11695059.452,0.000000000,-0.023970218,0.203688577,0.085400060
49,980.011,1786876907261.500,11695079.435,0.000000000,-0.025362926,0.199467167,0.096722990
50,1000.026,1786876907281.515,11695099.450,0.000000000,-0.011668188,0.167614788,0.070953809
51,1020.026,1786876907301.516,11695119.451,0.000000000,-0.010977667,0.135988474,0.065777220
52,1040.072,1786876907321.561,11695139.496,0.000000000,-0.019501243,0.105143197,0.046610221
53,1060.006,1786876907341.496,11695159.431,0.000000000,-0.024880055,0.082895197,0.042879485
54,1080.030,1786876907361.520,11695179.455,0.000000000,-0.028225701,0.070326380,0.039217982
55,1100.025,1786876907381.514,11695199.449,0.000000000,-0.028348707,0.062589474,0.031874895
56,1120.027,1786876907401.516,11695219.451,0.000000000,-0.028199771,0.049197972,0.030157058
57,1139.996,1786876907421.485,11695239.420,0.000000000,-0.029823799,0.043136254,0.034195326
58,1160.027,1786876907441.516,11695259.451,0.000000000,-0.031698823,0.038807243,0.045226939
59,1179.998,1786876907461.488,11695279.423,0.000000000,-0.032409836,0.035585970,0.057820503
60,1199.995,1786876907481.485,11695299.420,0.000000000,-0.031052865,0.035193741,0.068637706
61,1220.025,1786876907501.514,11695319.449,0.000000000,-0.023652077,0.052112225,0.070464224
62,1239.997,1786876907521.487,11695339.422,0.000000000,-0.020556642,0.063740149,0.073202312
63,1259.999,1786876907541.489,11695359.424,0.000000000,-0.029726572,0.070128769,0.079980671
64,1280.027,1786876907561.516,11695379.451,0.000000000,-0.039979193,0.072786421,0.095234618
65,1299.998,1786876907581.488,11695399.423,0.000000000,-0.053066567,0.077713527,0.106338419
66,1320.010,1786876907601.499,11695419.434,0.000000000,-0.057164151,0.074164554,0.088860512
67,1339.993,1786876907621.483,11695439.418,0.000000000,-0.057896230,0.076053873,0.058639031
68,1359.992,1786876907641.481,11695459.416,0.000000000,-0.061365865,0.068476468,0.049062535
69,1379.991,1786876907661.480,11695479.415,0.000000000,-0.061786268,0.059124872,0.049710903
70,1399.991,1786876907681.481,11695499.415,0.000000000,-0.062646687,0.053797256,0.050959442
71,1419.992,1786876907701.482,11695519.417,0.000000000,-0.064000197,0.044764929,0.053055722
72,1440.025,1786876907721.514,11695539.449,0.000000000,-0.065462232,0.037242513,0.055731066
73,1459.996,1786876907741.486,11695559.421,0.000000000,-0.068236351,0.035733458,0.060330778
74,1479.996,1786876907761.486,11695579.420,0.000000000,-0.071193337,0.033818204,0.066366702
75,1499.994,1786876907781.484,11695599.419,0.000000000,-0.055107899,0.022983132,0.052201364
76,1520.020,1786876907801.510,11695619.445,0.000000000,-0.056418955,0.009215039,0.045633908
