index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_qw,torso_qx,torso_qy,torso_qz
0,0.000,1786876906281.490,11694099.424,0.000000000,0.963620842,-0.108106539,0.242502972,-0.030661240
1,19.992,1786876906301.481,11694119.416,0.000000000,0.966974974,-0.103767291,0.231156632,-0.027538124
2,39.991,1786876906321.481,11694139.416,0.000000000,0.971576989,-0.098710887,0.214330837,-0.018882714
3,59.991,1786876906341.480,11694159.415,0.000000000,0.976663589,-0.095569901,0.192305893,-0.003611310
4,80.002,1786876906361.491,11694179.426,0.000000000,0.982098877,-0.090230040,0.164839223,0.012976924
5,99.990,1786876906381.479,11694199.414,0.000000000,0.987455845,-0.076735303,0.136186138,0.022269621
6,119.990,1786876906401.480,11694219.415,0.000000000,0.991793513,-0.057205819,0.112520859,0.020301063
7,139.991,1786876906421.481,11694239.416,0.000000000,0.993980229,-0.042464755,0.100529470,0.009685933
8,159.990,1786876906441.480,11694259.415,0.000000000,0.995227456,-0.028088113,0.092747562,-0.011458674
9,179.990,1786876906461.480,11694279.415,0.000000000,0.994764805,-0.022938000,0.093505852,-0.034255993
10,199.991,1786876906481.480,11694299.415,0.000000000,0.991895378,-0.032996494,0.110987857,-0.052311394
11,219.990,1786876906501.480,11694319.415,0.000000000,0.986550152,-0.051308982,0.140784755,-0.065313436
12,239.990,1786876906521.479,11694339.414,0.000000000,0.983101904,-0.063536443,0.159393549,-0.063776642
13,259.990,1786876906541.480,11694359.415,0.000000000,0.981056571,-0.070682094,0.173154905,-0.050492238
14,279.990,1786876906561.479,11694379.414,0.000000000,0.980654001,-0.068891764,0.180227458,-0.033010833
15,299.991,1786876906581.481,11694399.416,0.000000000,0.981889963,-0.059233990,0.179046094,-0.018054495
16,319.990,1786876906601.479,11694419.415,0.000000000,0.983312488,-0.046769336,0.175451353,-0.011225678
17,339.992,1786876906621.481,11694439.416,0.000000000,0.984678864,-0.034036681,0.170363054,-0.015015564
18,359.991,1786876906641.480,11694459.415,0.000000000,0.985938668,-0.022905648,0.163546011,-0.025552398
19,379.991,1786876906661.480,11694479.415,0.000000000,0.986944437,-0.016575189,0.156469122,-0.034400012
20,399.991,1786876906681.480,11694499.415,0.000000000,0.987615585,-0.015167839,0.152017772,-0.035720661
